MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I
CT>GG	0.02689284	0.01260764	0.01813322	0.01951283	0.01025026	0.00315309	0.02448196	0.01691809	0.00799866
CT>TA	0.02342408	0.05053144	0.01052540	0.01372802	0.00372735	0.00630104	0.00834186	0.00373299	0.02544741
CT>TC	0.00503431	0.00362159	0.00280471	0.01097297	0.00337464	0.00208357	0.00201286	0.00935372	0.00243243
CT>TG	0.01598923	0.00556957	0.00730750	0.04608339	0.01472659	0.00827096	0.04123949	0.02939725	0.01685767
GC>AA	0.00002220	0.00002830	0.65028733	0.00002482	0.00001458	0.01468293	0.00001616	0.00002024	0.00002837
GC>AG	0.02625864	0.01388372	0.00298892	0.01121303	0.01934642	0.00714748	0.02208422	0.02495417	0.01815164
GC>AT	0.09369297	0.02625463	0.00783995	0.01573923	0.03012382	0.00712877	0.02193152	0.04091112	0.03430437
GC>CA	0.00841258	0.03523593	0.00759631	0.00004722	0.01176626	0.00086366	0.04173297	0.01729578	0.01246411
GC>CG	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
GC>TA	0.01763905	0.01983890	0.00189491	0.01622868	0.00431038	0.00803121	0.01751761	0.00236421	0.00828910
TA>AT	0.05233950	0.00974548	0.00336326	0.00004581	0.00905856	0.00004693	0.01051896	0.03682622	0.00119896
TA>CG	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
TA>CT	0.02416807	0.01839331	0.00867372	0.01562893	0.01030176	0.00735693	0.00918469	0.00359866	0.02082569
TA>GC	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
TA>GG	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
TA>GT	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
TC>AA	0.00002359	0.00002138	0.01833821	0.00002357	0.00867122	0.00747760	0.00002194	0.01219744	0.43780728
TC>AG	0.00417309	0.00003399	0.01433895	0.00001911	0.01111390	0.00001428	0.34287139	0.02606040	0.00001745
TC>AT	0.00002433	0.00002689	0.02437922	0.00001891	0.53763588	0.00001315	0.00641374	0.00002353	0.00002121
TC>CA	0.03925506	0.01442172	0.00172080	0.01440957	0.00275426	0.02132127	0.00171161	0.00301127	0.00005792
TC>CG	0.01351462	0.01500561	0.00617051	0.02071023	0.01912810	0.00292504	0.03933999	0.01069015	0.00621244
TC>CT	0.04822960	0.04313073	0.00445599	0.05029343	0.00966294	0.00418705	0.00694965	0.02133809	0.01891450
TC>GA	0.00002365	0.26431290	0.00808193	0.00542166	0.00788142	0.01273161	0.00001897	0.00969686	0.03324085
TC>GG	0.00909540	0.00983145	0.00411281	0.00893812	0.00854172	0.00242675	0.02342063	0.01419651	0.00005760
TC>GT	0.01042855	0.04455174	0.00005715	0.00704658	0.02596664	0.00792490	0.04534878	0.01425558	0.01804097
TG>AA	0.04600750	0.00003726	0.01095590	0.03346735	0.00252101	0.01533644	0.00406509	0.02540159	0.03941034
TG>AC	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
TG>AT	0.02094346	0.03331591	0.01950503	0.01419162	0.01784529	0.00003240	0.01571009	0.06492166	0.01829034
TG>CA	0.00530116	0.00627679	0.00095894	0.00443212	0.00102948	0.00512371	0.01022426	0.00262985	0.00863662
TG>CC	0.00621407	0.00006558	0.00283459	0.00487561	0.00190556	0.00139296	0.00738545	0.00413056	0.00812246
TG>CT	0.03135176	0.01110415	0.01110191	0.01864615	0.01530054	0.01299183	0.04345174	0.02168434	0.02157156
TG>GA	0.00337473	0.00520013	0.00168115	0.00220321	0.00642359	0.00185772	0.01312058	0.00767998	0.00662899
TG>GC	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
TG>GT	0.01007932	0.02343753	0.00665003	0.01459996	0.00004382	0.01720885	0.00931192	0.00458157	0.00539033
TT>AA	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
TT>AC	0.00571020	0.01684470	0.00531389	0.01332715	0.01254304	0.00374528	0.00628148	0.02059670	0.01115172
TT>AG	0.00856536	0.00541237	0.00195479	0.00746963	0.00297146	0.00398673	0.00283395	0.00295063	0.00774918
TT>CA	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
TT>CC	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
TT>CG	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
TT>GA	0.00730133	0.00357297	0.00169380	0.00079947	0.00302900	0.00618588	0.01099731	0.00533547	0.00444242
TT>GC	0.00006743	0.00007563	0.00007456	0.00007000	0.00006539	0.00007354	0.00006818	0.00007107	0.00007488
TT>GG	0.00323059	0.00598750	0.00448484	0.00721441	0.00626252	0.00133830	0.00861032	0.00640398	0.00670484
