MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I
CC>TA	7.11E-03	1.80E-02	8.30E-03	1.90E-02	1.28E-02	8.61E-03	8.93E-03	1.71E-02	3.99E-06
CC>TG	6.75E-03	9.07E-03	2.06E-03	4.99E-03	5.24E-03	2.69E-03	2.01E-03	6.01E-03	3.32E-03
CC>TT	2.08E-03	9.24E-06	1.18E-02	8.86E-03	9.72E-03	2.07E-02	7.48E-06	3.92E-02	5.70E-06
CG>AT	4.07E-03	2.50E-03	3.09E-03	3.10E-03	1.96E-03	1.33E-03	3.95E-03	3.24E-03	4.22E-03
CG>GC	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
CG>GT	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
CG>TA	1.95E-03	4.55E-03	2.02E-03	1.75E-03	2.88E-03	1.55E-03	4.00E-03	1.89E-03	1.58E-03
CG>TC	9.53E-03	1.07E-02	4.68E-03	1.30E-02	5.17E-03	2.77E-03	9.55E-03	5.14E-03	1.20E-02
CG>TT	7.02E-03	8.05E-03	2.06E-03	1.85E-03	8.08E-03	4.03E-03	1.33E-03	3.20E-03	5.58E-03
CT>AA	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
CT>AC	5.13E-03	3.63E-03	1.72E-03	3.39E-03	1.92E-03	1.69E-03	3.88E-03	1.11E-03	3.89E-03
CT>AG	6.42E-03	1.07E-02	2.21E-03	9.23E-03	3.38E-03	4.46E-03	1.26E-02	8.81E-03	3.55E-03
CT>GA	3.55E-03	6.95E-03	3.55E-03	6.27E-03	8.50E-03	5.63E-03	5.12E-03	4.55E-03	4.61E-03
CT>GC	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
CT>GG	1.14E-02	7.20E-03	9.23E-03	1.03E-02	7.28E-03	3.11E-03	1.06E-02	1.08E-02	5.63E-03
CT>TA	9.80E-03	1.42E-02	6.01E-03	8.06E-03	3.69E-03	6.23E-03	8.30E-03	3.69E-03	8.76E-03
CT>TC	3.54E-03	2.00E-03	1.53E-03	3.57E-03	1.89E-03	1.41E-03	1.96E-03	3.64E-03	1.66E-03
CT>TG	9.04E-03	5.53E-03	5.05E-03	1.66E-02	8.47E-03	5.84E-03	1.56E-02	1.56E-02	1.28E-02
GC>AA	2.76E-06	4.50E-06	3.19E-02	3.12E-06	2.08E-06	1.47E-02	2.68E-06	3.54E-06	2.78E-06
GC>AG	1.28E-02	7.79E-03	2.95E-03	6.53E-03	9.22E-03	4.95E-03	1.12E-02	9.59E-03	8.76E-03
GC>AT	2.76E-02	1.51E-02	5.68E-03	1.10E-02	1.51E-02	7.11E-03	1.56E-02	1.77E-02	1.92E-02
GC>CA	4.87E-03	1.23E-02	3.93E-03	4.45E-06	5.67E-03	8.19E-04	1.33E-02	9.16E-03	7.71E-03
GC>CG	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
GC>TA	7.48E-03	1.23E-02	1.84E-03	8.66E-03	3.28E-03	3.12E-03	8.69E-03	1.62E-03	5.79E-03
TA>AT	1.57E-02	5.68E-03	1.99E-03	3.25E-06	4.15E-03	3.38E-06	8.17E-03	1.18E-02	1.15E-03
TA>CG	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
TA>CT	9.11E-03	8.83E-03	5.21E-03	7.66E-03	5.74E-03	4.24E-03	5.16E-03	3.56E-03	1.22E-02
TA>GC	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
TA>GG	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
TA>GT	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
TC>AA	2.08E-06	3.04E-06	1.27E-02	2.83E-06	8.66E-03	7.46E-03	2.88E-06	1.22E-02	4.27E-02
TC>AG	4.15E-03	8.38E-06	1.04E-02	3.39E-06	1.11E-02	2.84E-06	3.55E-02	1.45E-02	3.95E-06
TC>AT	3.44E-06	3.64E-06	1.69E-02	3.50E-06	3.29E-02	2.26E-06	6.38E-03	2.76E-06	5.29E-06
TC>CA	1.28E-02	6.99E-03	1.13E-03	6.84E-03	1.99E-03	7.65E-03	1.66E-03	2.05E-03	4.91E-06
TC>CG	7.97E-03	1.04E-02	4.35E-03	1.02E-02	1.09E-02	2.88E-03	1.44E-02	6.07E-03	4.80E-03
TC>CT	3.03E-02	1.50E-02	4.43E-03	1.64E-02	6.74E-03	4.15E-03	6.92E-03	1.34E-02	1.06E-02
TC>GA	3.21E-06	3.54E-02	8.07E-03	5.40E-03	7.87E-03	8.91E-03	2.74E-06	9.68E-03	1.87E-02
TC>GG	5.07E-03	5.49E-03	2.83E-03	4.34E-03	4.06E-03	2.37E-03	8.01E-03	5.29E-03	2.41E-06
TC>GT	1.04E-02	1.95E-02	1.09E-05	4.88E-03	8.89E-03	5.55E-03	1.42E-02	7.33E-03	1.27E-02
TG>AA	1.86E-02	3.92E-06	6.56E-03	1.16E-02	2.49E-03	8.84E-03	4.03E-03	1.24E-02	1.86E-02
TG>AC	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
TG>AT	9.89E-03	1.87E-02	8.25E-03	8.44E-03	1.10E-02	3.54E-06	1.01E-02	2.30E-02	1.05E-02
TG>CA	2.95E-03	3.18E-03	8.97E-04	2.45E-03	9.77E-04	2.14E-03	3.86E-03	1.79E-03	4.05E-03
TG>CC	3.99E-03	2.35E-06	2.77E-03	2.72E-03	1.28E-03	1.33E-03	3.51E-03	2.92E-03	4.16E-03
TG>CT	1.54E-02	1.11E-02	1.11E-02	1.00E-02	7.69E-03	6.25E-03	1.72E-02	1.21E-02	1.07E-02
TG>GA	3.32E-03	3.58E-03	1.62E-03	2.14E-03	4.64E-03	1.79E-03	7.03E-03	2.87E-03	4.60E-03
TG>GC	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
TG>GT	5.76E-03	8.63E-03	3.73E-03	8.31E-03	2.97E-06	6.13E-03	5.56E-03	4.53E-03	4.11E-03
TT>AA	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
TT>AC	4.22E-03	8.03E-03	3.05E-03	6.95E-03	4.80E-03	3.69E-03	4.41E-03	9.72E-03	7.27E-03
TT>AG	3.58E-03	3.19E-03	1.32E-03	3.15E-03	1.66E-03	2.21E-03	1.93E-03	2.03E-03	3.24E-03
TT>CA	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
TT>CC	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
TT>CG	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
TT>GA	3.45E-03	2.44E-03	1.14E-03	7.38E-04	1.68E-03	2.34E-03	4.16E-03	3.33E-03	2.47E-03
TT>GC	1.62E-06	1.50E-06	1.03E-06	1.44E-06	1.54E-06	8.77E-07	2.00E-06	1.78E-06	1.57E-06
TT>GG	2.21E-03	2.89E-03	2.96E-03	3.52E-03	2.64E-03	1.28E-03	4.23E-03	3.11E-03	4.18E-03
