MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K
CG>TA	1.66E-03	3.37E-03	1.75E-06	1.53E-06	5.54E-03	3.69E-03	3.99E-03	1.33E-03	4.26E-03	2.75E-03	3.08E-03
CG>TC	1.23E-02	1.06E-02	5.63E-03	2.51E-06	1.33E-02	3.56E-03	9.97E-03	6.38E-03	6.64E-03	2.75E-06	1.08E-02
CG>TT	1.72E-02	7.62E-03	7.91E-04	3.57E-06	1.08E-02	1.48E-02	4.15E-03	1.56E-02	4.20E-03	1.10E-02	4.01E-06
CT>AA	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
CT>AC	3.06E-06	2.34E-03	1.56E-03	2.02E-03	4.36E-03	2.51E-03	3.02E-03	3.57E-03	2.55E-03	4.22E-03	3.79E-03
CT>AG	1.39E-02	2.74E-06	4.02E-03	4.22E-03	1.68E-02	8.08E-03	6.62E-03	9.12E-03	1.48E-02	9.88E-03	6.00E-03
CT>GA	1.77E-02	3.91E-03	2.92E-03	1.51E-03	5.96E-03	3.33E-06	4.87E-03	7.45E-03	9.91E-03	9.31E-03	7.93E-03
CT>GC	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
CT>GG	2.28E-02	9.94E-03	4.25E-03	5.13E-03	5.86E-03	4.53E-03	8.31E-03	7.85E-03	8.58E-03	2.70E-06	7.41E-03
CT>TA	1.43E-02	1.81E-02	3.03E-03	6.72E-03	8.81E-03	7.38E-03	1.96E-02	7.78E-03	1.35E-02	1.01E-02	3.68E-03
CT>TC	5.06E-03	1.89E-03	1.59E-03	1.07E-03	3.32E-03	1.49E-03	2.89E-03	3.17E-03	4.74E-03	2.43E-03	3.84E-03
CT>TG	1.33E-02	2.56E-02	4.95E-03	3.06E-06	1.05E-02	5.30E-03	1.15E-02	3.54E-06	1.33E-02	8.81E-03	3.91E-03
GC>AA	5.73E-06	2.83E-06	1.99E-02	3.61E-06	3.82E-06	3.02E-06	3.10E-06	2.63E-06	4.08E-06	3.61E-06	3.33E-06
GC>AG	1.68E-02	9.61E-03	3.44E-06	3.69E-03	1.10E-02	9.37E-03	1.21E-02	1.59E-02	2.06E-02	1.04E-02	1.51E-02
GC>AT	4.31E-06	3.04E-06	8.04E-03	7.04E-03	4.08E-02	2.46E-06	9.82E-03	7.12E-03	2.47E-02	6.92E-03	1.11E-02
GC>CA	4.41E-03	1.72E-02	1.35E-03	3.35E-03	4.02E-06	4.33E-03	4.23E-06	2.86E-02	1.38E-03	4.42E-03	9.38E-03
GC>CG	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
GC>TA	6.63E-03	8.72E-03	2.79E-06	2.19E-03	4.37E-03	7.39E-04	4.97E-03	7.77E-03	8.66E-03	1.66E-03	2.82E-06
TA>AT	8.97E-03	1.54E-02	4.79E-03	1.07E-03	7.48E-03	4.62E-03	4.68E-03	7.65E-03	3.74E-06	9.12E-03	5.63E-03
TA>CG	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
TA>CT	8.69E-03	1.17E-02	2.69E-03	5.39E-03	1.65E-02	4.33E-03	7.10E-03	1.14E-02	1.18E-02	1.55E-02	7.04E-03
TA>GC	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
TA>GG	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
TA>GT	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
TC>AA	3.36E-06	3.28E-06	1.28E-02	9.76E-03	3.67E-06	1.78E-06	3.39E-06	3.58E-06	3.50E-06	3.90E-02	2.88E-06
TC>AG	2.90E-06	5.53E-06	2.96E-06	1.69E-02	3.66E-06	1.13E-02	1.33E-02	4.48E-02	3.90E-06	1.33E-02	1.16E-02
TC>AT	3.91E-06	4.24E-06	1.18E-02	1.42E-02	3.65E-06	3.97E-02	2.93E-06	1.91E-05	2.69E-06	2.59E-06	2.32E-06
TC>CA	1.06E-02	1.23E-02	4.19E-03	5.23E-03	6.77E-03	8.36E-03	1.45E-02	5.53E-03	7.97E-03	8.29E-03	3.38E-06
TC>CG	1.42E-02	1.92E-02	4.56E-06	4.74E-03	2.00E-02	3.19E-03	6.04E-03	9.46E-03	1.46E-02	5.31E-03	1.00E-02
TC>CT	2.17E-02	7.91E-03	3.69E-03	9.35E-03	1.56E-02	1.11E-02	1.43E-02	6.04E-03	1.63E-02	1.43E-02	1.37E-02
TC>GA	3.96E-06	8.61E-03	3.36E-06	1.41E-02	2.59E-06	7.00E-03	3.32E-06	1.36E-02	4.16E-02	1.69E-02	6.83E-03
TC>GG	1.48E-02	4.91E-03	2.67E-03	3.70E-03	6.23E-03	3.02E-03	7.11E-03	6.81E-03	6.79E-03	4.06E-03	3.10E-06
TC>GT	1.10E-02	1.47E-02	3.46E-06	4.93E-03	1.69E-02	1.06E-02	1.03E-02	1.67E-02	1.19E-02	2.60E-06	7.42E-03
TG>AA	1.32E-02	1.74E-02	7.08E-03	8.29E-03	5.54E-03	3.78E-06	1.27E-02	1.53E-02	1.60E-02	1.01E-02	1.30E-02
TG>AC	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
TG>AT	3.04E-02	1.36E-02	3.33E-06	3.52E-06	2.46E-02	1.13E-02	9.76E-03	7.55E-03	9.29E-03	1.50E-02	5.19E-03
TG>CA	4.13E-03	3.20E-03	1.15E-03	2.05E-03	3.48E-03	1.89E-06	3.66E-03	3.20E-03	5.47E-03	1.33E-03	2.25E-03
TG>CC	2.85E-06	2.88E-06	9.49E-04	2.80E-03	4.52E-03	2.78E-06	4.12E-03	4.21E-03	1.44E-03	5.36E-03	2.88E-06
TG>CT	3.99E-06	5.73E-06	5.32E-03	8.33E-03	2.99E-02	4.52E-03	1.36E-02	7.67E-03	5.53E-03	4.19E-06	8.02E-06
TG>GA	3.17E-06	3.02E-03	2.80E-03	2.26E-06	4.42E-03	2.29E-06	3.83E-03	6.69E-03	6.89E-03	4.15E-03	3.22E-03
TG>GC	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
TG>GT	5.63E-03	1.80E-02	4.18E-03	3.95E-03	5.25E-03	1.60E-03	3.19E-06	6.66E-03	3.00E-03	4.57E-06	2.90E-06
TT>AA	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
TT>AC	7.26E-03	3.02E-03	2.89E-03	3.31E-06	2.65E-03	4.48E-03	9.98E-03	1.58E-02	3.62E-03	3.13E-03	1.14E-02
TT>AG	2.68E-03	4.76E-03	1.45E-03	2.00E-03	3.87E-03	2.48E-03	2.16E-06	2.15E-03	3.77E-03	1.51E-03	4.59E-03
TT>CA	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
TT>CC	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
TT>CG	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
TT>GA	1.66E-03	4.85E-03	8.10E-04	1.68E-03	3.06E-03	2.01E-03	5.03E-03	4.19E-03	4.55E-03	2.64E-03	1.33E-03
TT>GC	2.43E-06	2.17E-06	8.75E-07	9.70E-07	2.34E-06	1.13E-06	1.92E-06	1.84E-06	1.70E-06	1.25E-06	1.26E-06
TT>GG	5.54E-03	6.05E-03	1.85E-06	1.64E-03	1.95E-03	2.50E-03	3.29E-03	3.99E-03	3.01E-03	2.47E-03	3.41E-03
