MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L
CG>AT	0.00267619	0.00894936	0.01291504	0.00213447	0.00220409	0.00006214	0.00676995	0.00374135	0.00845954	0.00587063	0.01104813	0.00243053
CG>GC	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
CG>GT	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
CG>TA	0.00427671	0.00584975	0.01405313	0.00448371	0.00443825	0.00271447	0.00280344	0.00374231	0.00374449	0.00206260	0.00957686	0.00227898
CG>TC	0.00791471	0.04971665	0.01322797	0.02338812	0.01870212	0.00003853	0.01904366	0.02391296	0.00976475	0.00003406	0.00004245	0.02560705
CG>TT	0.00338340	0.00794935	0.00713932	0.00959485	0.00749893	0.00005246	0.02095235	0.00336203	0.01563470	0.01111292	0.00577816	0.03240943
CT>AA	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
CT>AC	0.00202296	0.00575309	0.00516664	0.00575085	0.00149543	0.00282689	0.00339056	0.01378785	0.01374084	0.00005544	0.00855511	0.00227673
CT>AG	0.00654088	0.02730580	0.01404936	0.01608746	0.00895274	0.00004451	0.02116255	0.01499431	0.02071678	0.00822890	0.01953596	0.00516798
CT>GA	0.00113718	0.00937467	0.01948696	0.02630283	0.00174369	0.00493070	0.00918266	0.00863861	0.01069378	0.00527788	0.01491109	0.00749875
CT>GC	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
CT>GG	0.00802286	0.03266017	0.01573640	0.02360569	0.00418113	0.00876864	0.01810550	0.02289432	0.01888444	0.00387288	0.02940744	0.00004586
CT>TA	0.00003431	0.06013146	0.01663814	0.06208444	0.00002037	0.00296697	0.00401557	0.00455260	0.01426609	0.00002246	0.01166255	0.06335735
CT>TC	0.00205196	0.00464727	0.00282864	0.00990499	0.00005159	0.00196324	0.00365580	0.00810871	0.00171852	0.00924280	0.00243396	0.01141880
CT>TG	0.00371586	0.00003341	0.13569842	0.03640985	0.00897039	0.00513546	0.01166294	0.00002305	0.00739424	0.00666414	0.01024515	0.02319468
GC>AA	0.81134826	0.00002967	0.00002730	0.00002927	0.00000965	0.00002679	0.00002789	0.00002003	0.00002531	0.00001698	0.00002650	0.00002669
GC>AG	0.00824384	0.05143461	0.00757387	0.01357029	0.01638631	0.00003467	0.00618155	0.03059041	0.03448712	0.00935519	0.01278596	0.03820162
GC>AT	0.00555556	0.00003448	0.00003070	0.00002275	0.02230647	0.00526063	0.00002217	0.00002302	0.00002209	0.03075328	0.30475559	0.01815659
GC>CA	0.00109015	0.00609639	0.01840189	0.00003708	0.01104818	0.00265556	0.00373944	0.03096589	0.02020740	0.02445249	0.02683329	0.04145206
GC>CG	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
GC>TA	0.00112674	0.00938961	0.02337648	0.01357988	0.00526541	0.00139964	0.00375162	0.01124534	0.00675987	0.00753208	0.01567553	0.00227470
TA>AT	0.00577623	0.01111745	0.01382287	0.02312828	0.00504714	0.00486721	0.00004835	0.03957134	0.00004358	0.02642852	0.02309393	0.03060574
TA>CG	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
TA>CT	0.00667414	0.02091793	0.03732407	0.02493341	0.00417539	0.00359349	0.01938984	0.02526595	0.00763889	0.01266922	0.04385628	0.00741761
TA>GC	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
TA>GG	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
TA>GT	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
TC>AA	0.01163301	0.00003433	0.00002339	0.00002272	0.01023134	0.01260405	0.57360432	0.00001208	0.00002245	0.01257915	0.00002415	0.00002405
TC>AG	0.01224521	0.00002726	0.00002805	0.00002148	0.00648421	0.01691973	0.01231969	0.32800187	0.00002493	0.02233381	0.00003019	0.01522796
TC>AT	0.00001304	0.00002763	0.00003174	0.00001808	0.66832215	0.00001543	0.00002123	0.00004920	0.00001845	0.00002029	0.00001957	0.00002629
TC>CA	0.00250639	0.03528735	0.00829818	0.07005763	0.00556782	0.01399698	0.00557667	0.00003921	0.00709101	0.00121976	0.02872096	0.00661973
TC>CG	0.00111498	0.00889147	0.03838774	0.03517314	0.01434961	0.01036151	0.01552725	0.02684679	0.00834512	0.00977518	0.03574855	0.01585504
TC>CT	0.00555451	0.23439443	0.00003676	0.00002261	0.00002041	0.00002670	0.02690862	0.00002503	0.03676052	0.00998320	0.02197798	0.00002556
TC>GA	0.00001862	0.00004052	0.00002973	0.00002418	0.00001199	0.02496109	0.00896597	0.00970984	0.03141870	0.01107203	0.00002107	0.35301691
TC>GG	0.00360131	0.02793746	0.01950065	0.01789167	0.00250136	0.01020717	0.01393742	0.00655977	0.00703852	0.00447271	0.00763931	0.00557986
TC>GT	0.00003988	0.00952994	0.00419695	0.00417603	0.02903692	0.00004254	0.02215885	0.07160254	0.00004353	0.02194391	0.02867838	0.01725741
TG>AA	0.00565255	0.01126435	0.05768118	0.01655276	0.01210740	0.00521626	0.00003363	0.02808286	0.01111480	0.01189535	0.03052705	0.03250594
TG>AC	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
TG>AT	0.00002767	0.04114578	0.02622805	0.03171778	0.01011236	0.00002597	0.01209416	0.04398967	0.01992297	0.00861073	0.00877895	0.05891971
TG>CA	0.00196704	0.00465160	0.00435260	0.01060295	0.00133277	0.00529883	0.00469322	0.00367228	0.00112927	0.00435509	0.00283020	0.01122746
TG>CC	0.00006715	0.00957264	0.00421331	0.01205792	0.00005020	0.00126733	0.00006355	0.00781416	0.00848875	0.00171722	0.00457185	0.00951413
TG>CT	0.00185624	0.04750699	0.01109717	0.09273057	0.00799315	0.00491389	0.00279411	0.03240964	0.01426898	0.00666477	0.02149570	0.00809950
TG>GA	0.00006948	0.00847012	0.00006531	0.00609244	0.00130423	0.00006510	0.00006765	0.00005469	0.00005999	0.01523294	0.00201350	0.01071073
TG>GC	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
TG>GT	0.00113049	0.01382180	0.02355876	0.02396497	0.00237729	0.00761768	0.01123667	0.00653360	0.00189049	0.00004180	0.02444709	0.00516304
TT>AA	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
TT>AC	0.00179262	0.02772209	0.01916589	0.00933178	0.01238703	0.00354202	0.01335398	0.00933722	0.00006138	0.00004675	0.00770849	0.01043006
TT>AG	0.00217299	0.00227534	0.01312558	0.00005346	0.00344674	0.00098693	0.01055716	0.00445599	0.00683614	0.00371374	0.00597528	0.00365948
TT>CA	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
TT>CC	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
TT>CG	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
TT>GA	0.00490224	0.00812890	0.00676601	0.00434273	0.00246864	0.00117021	0.00006590	0.00895580	0.00700976	0.00397561	0.00282857	0.00409475
TT>GC	0.00007745	0.00007276	0.00007228	0.00006487	0.00006431	0.00007514	0.00007662	0.00006486	0.00006871	0.00006916	0.00007102	0.00007545
TT>GG	0.00224236	0.00584732	0.00807721	0.00156618	0.00491437	0.00113475	0.00957664	0.00544715	0.00245094	0.00164023	0.00282749	0.01062294
