MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
1:Ins:T:4	3.33E-03	4.29E-06	2.12E-06	2.60E-06	1.19E-03	8.26E-04	2.72E-03	1.50E-03	3.59E-03	2.69E-04	3.41E-03	2.04E-03
1:Ins:T:5	2.31E-06	3.76E-09	1.04E-06	8.57E-07	1.87E-06	1.10E-02	2.14E-06	9.24E-03	1.71E-02	1.53E-02	1.64E-03	4.76E-02
2:Del:R:0	1.45E-06	2.96E-07	1.43E-07	1.33E-06	1.26E-06	3.23E-03	8.10E-07	1.60E-02	3.29E-02	1.80E-06	3.01E-06	2.49E-03
2:Del:R:1	1.36E-06	2.66E-03	1.44E-06	4.96E-03	1.94E-03	1.58E-05	3.19E-03	1.17E-03	2.51E-03	3.14E-03	5.82E-03	2.47E-03
2:Del:R:2	1.67E-06	2.24E-06	1.70E-06	2.33E-06	3.00E-06	2.24E-07	3.48E-04	7.56E-07	3.60E-04	9.86E-04	5.48E-04	4.75E-04
2:Del:R:3	3.86E-04	1.99E-06	1.47E-06	6.21E-04	1.97E-06	1.71E-07	2.27E-04	1.04E-04	2.42E-04	3.84E-04	4.92E-04	9.73E-05
2:Del:R:4	1.33E-03	1.63E-06	1.70E-06	2.31E-06	4.44E-04	2.14E-07	2.17E-06	3.41E-04	1.29E-04	6.35E-04	1.90E-04	5.12E-04
2:Del:R:5	1.89E-06	2.08E-06	1.68E-06	2.60E-06	2.25E-06	2.37E-07	2.77E-06	4.13E-07	1.07E-06	1.27E-06	1.55E-06	1.15E-06
3:Del:R:0	2.27E-06	5.23E-05	5.28E-05	9.59E-06	4.31E-07	2.05E-03	4.23E-05	7.90E-03	1.79E-02	7.48E-03	4.23E-02	1.91E-02
3:Del:R:1	3.71E-04	1.73E-06	1.25E-06	8.95E-04	4.54E-06	1.26E-03	1.97E-04	4.56E-04	2.22E-03	1.31E-03	8.17E-04	1.69E-03
3:Del:R:2	1.47E-06	3.52E-06	1.15E-06	1.87E-06	1.05E-04	1.74E-07	2.35E-06	1.59E-04	5.21E-04	7.30E-04	5.47E-04	6.20E-04
3:Del:R:3	1.89E-06	2.08E-06	1.68E-06	2.60E-06	2.25E-06	2.37E-07	2.77E-06	4.13E-07	1.07E-06	1.27E-06	1.55E-06	1.15E-06
3:Del:R:4	1.89E-06	2.08E-06	1.68E-06	2.60E-06	2.25E-06	2.37E-07	2.77E-06	4.13E-07	1.07E-06	1.27E-06	1.55E-06	1.15E-06
3:Del:R:5	1.89E-06	2.08E-06	1.68E-06	2.60E-06	2.25E-06	2.37E-07	2.77E-06	4.13E-07	1.07E-06	1.27E-06	1.55E-06	1.15E-06
4:Del:R:0	5.96E-07	1.49E-02	4.28E-07	7.75E-06	6.70E-03	1.06E-03	8.62E-03	3.82E-03	9.89E-03	1.43E-02	1.56E-02	1.88E-02
4:Del:R:1	1.55E-06	2.33E-04	1.99E-06	1.87E-06	1.84E-06	1.44E-07	4.00E-04	7.26E-05	4.15E-04	8.12E-04	5.57E-04	3.98E-04
4:Del:R:2	1.89E-06	2.08E-06	1.68E-06	2.60E-06	2.25E-06	2.37E-07	2.77E-06	4.13E-07	1.07E-06	1.27E-06	1.55E-06	1.15E-06
4:Del:R:3	1.89E-06	2.08E-06	1.68E-06	2.60E-06	2.25E-06	2.37E-07	2.77E-06	4.13E-07	1.07E-06	1.27E-06	1.55E-06	1.15E-06
4:Del:R:4	1.89E-06	2.08E-06	1.68E-06	2.60E-06	2.25E-06	2.37E-07	2.77E-06	4.13E-07	1.07E-06	1.27E-06	1.55E-06	1.15E-06
4:Del:R:5	1.89E-06	2.08E-06	1.68E-06	2.60E-06	2.25E-06	2.37E-07	2.77E-06	4.13E-07	1.07E-06	1.27E-06	1.55E-06	1.15E-06
5:Del:R:0	1.46E-06	6.57E-07	8.99E-07	2.64E-07	7.76E-07	8.63E-07	6.20E-07	2.46E-02	5.76E-07	2.80E-06	2.93E-06	1.32E-06
5:Del:R:1	1.89E-06	2.08E-06	1.68E-06	2.60E-06	2.25E-06	2.37E-07	2.77E-06	4.13E-07	1.07E-06	1.27E-06	1.55E-06	1.15E-06
5:Del:R:2	1.89E-06	2.08E-06	1.68E-06	2.60E-06	2.25E-06	2.37E-07	2.77E-06	4.13E-07	1.07E-06	1.27E-06	1.55E-06	1.15E-06
5:Del:R:3	1.89E-06	2.08E-06	1.68E-06	2.60E-06	2.25E-06	2.37E-07	2.77E-06	4.13E-07	1.07E-06	1.27E-06	1.55E-06	1.15E-06
5:Del:R:4	1.89E-06	2.08E-06	1.68E-06	2.60E-06	2.25E-06	2.37E-07	2.77E-06	4.13E-07	1.07E-06	1.27E-06	1.55E-06	1.15E-06
5:Del:R:5	1.89E-06	2.08E-06	1.68E-06	2.60E-06	2.25E-06	2.37E-07	2.77E-06	4.13E-07	1.07E-06	1.27E-06	1.55E-06	1.15E-06
2:Ins:R:0	5.08E-04	1.63E-06	7.63E-03	2.93E-06	2.72E-03	1.66E-08	2.98E-03	7.01E-04	1.88E-03	6.72E-03	7.44E-03	3.16E-03
2:Ins:R:1	9.72E-07	1.09E-02	7.33E-04	3.80E-06	1.70E-06	2.63E-04	3.01E-06	3.27E-03	3.19E-03	1.05E-02	9.03E-03	1.31E-02
2:Ins:R:2	1.13E-06	2.94E-06	3.61E-06	1.78E-06	3.25E-06	6.56E-09	4.84E-03	1.63E-03	2.20E-03	5.24E-03	5.44E-03	3.33E-03
2:Ins:R:3	1.82E-06	2.15E-06	1.64E-06	2.50E-06	2.16E-06	2.98E-04	2.59E-06	4.71E-07	2.23E-06	5.25E-06	1.29E-05	2.80E-04
2:Ins:R:4	2.41E-03	1.64E-06	1.29E-06	2.65E-04	4.24E-04	2.94E-04	6.39E-04	2.64E-04	6.26E-05	4.78E-04	1.15E-03	8.47E-04
2:Ins:R:5	2.14E-06	1.13E-03	1.22E-06	6.82E-04	3.51E-06	2.82E-04	2.27E-04	3.04E-04	5.94E-04	1.55E-03	1.26E-03	1.33E-03
3:Ins:R:0	5.70E-03	1.47E-06	2.15E-06	6.80E-03	2.06E-03	7.50E-04	3.34E-06	1.35E-03	1.01E-03	2.39E-03	3.56E-03	2.05E-03
3:Ins:R:1	2.57E-06	1.76E-06	2.30E-06	1.68E-06	1.07E-03	1.12E-07	2.71E-03	8.16E-04	2.98E-03	1.24E-03	2.69E-03	1.47E-03
3:Ins:R:2	6.15E-07	1.94E-06	8.83E-07	1.31E-03	2.89E-06	3.26E-04	8.61E-06	4.79E-04	5.80E-04	1.12E-03	1.54E-03	1.63E-03
3:Ins:R:3	1.89E-06	2.08E-06	1.68E-06	2.60E-06	2.25E-06	2.37E-07	2.77E-06	4.13E-07	1.07E-06	1.27E-06	1.55E-06	1.15E-06
3:Ins:R:4	1.49E-06	2.71E-06	1.57E-06	2.20E-06	3.01E-06	2.29E-04	2.47E-06	1.06E-04	4.35E-05	3.82E-04	1.15E-03	6.53E-04
3:Ins:R:5	4.96E-04	1.88E-06	1.35E-06	4.15E-03	1.27E-04	3.14E-04	4.63E-04	3.22E-04	2.85E-04	5.09E-04	9.53E-04	9.91E-04
4:Ins:R:0	1.28E-06	1.55E-06	9.88E-07	1.98E-06	4.10E-06	1.21E-04	2.11E-06	7.52E-04	9.49E-04	2.12E-03	2.13E-03	2.02E-03
4:Ins:R:1	9.99E-07	1.40E-06	1.37E-06	4.41E-06	1.85E-03	9.55E-04	1.44E-03	9.74E-04	6.84E-03	4.72E-03	2.64E-03	1.77E-03
4:Ins:R:2	1.47E-06	1.89E-06	1.28E-06	9.09E-06	4.49E-06	1.34E-07	2.15E-04	2.63E-04	1.55E-04	3.34E-04	1.00E-03	9.06E-04
4:Ins:R:3	1.89E-06	2.08E-06	1.68E-06	2.60E-06	2.25E-06	2.37E-07	2.77E-06	4.13E-07	1.07E-06	1.27E-06	1.55E-06	1.15E-06
4:Ins:R:4	1.89E-06	2.08E-06	1.68E-06	2.60E-06	2.25E-06	2.37E-07	2.77E-06	4.13E-07	1.07E-06	1.27E-06	1.55E-06	1.15E-06
4:Ins:R:5	1.78E-06	1.90E-06	3.84E-04	2.67E-04	2.05E-06	1.56E-07	2.42E-06	9.04E-05	1.50E-04	5.55E-04	3.37E-04	2.77E-04
5:Ins:R:0	2.21E-06	1.46E-06	9.50E-07	2.90E-03	2.46E-03	3.41E-46	4.43E-03	1.51E-03	1.32E-03	2.57E-03	5.13E-03	1.84E-03
5:Ins:R:1	1.67E-06	2.95E-06	1.10E-06	6.49E-06	2.18E-06	1.75E-08	8.70E-03	2.42E-03	3.33E-03	8.68E-03	5.09E-03	4.04E-03
5:Ins:R:2	1.89E-06	2.08E-06	1.68E-06	2.60E-06	2.25E-06	2.37E-07	2.77E-06	4.13E-07	1.07E-06	1.27E-06	1.55E-06	1.15E-06
5:Ins:R:3	1.89E-06	2.08E-06	1.68E-06	2.60E-06	2.25E-06	2.37E-07	2.77E-06	4.13E-07	1.07E-06	1.27E-06	1.55E-06	1.15E-06
5:Ins:R:4	1.68E-06	1.84E-06	1.48E-06	2.38E-06	2.41E-04	1.51E-04	2.35E-06	6.69E-05	1.76E-04	1.99E-04	5.18E-04	3.60E-04
5:Ins:R:5	1.65E-06	1.75E-06	7.64E-04	7.94E-04	2.03E-06	1.18E-04	2.32E-06	1.29E-04	2.87E-04	2.68E-04	1.70E-04	5.64E-04
2:Del:M:1	4.87E-07	4.88E-07	6.09E-07	1.70E-06	8.99E-07	5.34E-04	1.62E-02	2.70E-03	1.25E-02	2.00E-02	2.04E-02	1.14E-02
3:Del:M:1	1.10E-06	7.80E-07	3.86E-07	7.44E-07	1.31E-06	3.62E-03	3.84E-06	4.30E-03	1.16E-02	1.02E-02	2.60E-02	2.25E-02
3:Del:M:2	9.98E-06	1.57E-06	1.71E-06	2.16E-06	2.60E-03	1.24E-03	5.58E-03	9.74E-04	5.53E-03	5.77E-03	9.61E-03	3.97E-03
4:Del:M:1	9.69E-07	2.49E-06	2.33E-06	1.73E-06	5.27E-03	5.19E-04	1.24E-06	3.28E-03	9.45E-03	5.51E-03	1.49E-02	1.87E-02
4:Del:M:2	1.11E-06	2.53E-06	1.22E-06	1.15E-06	2.12E-04	5.59E-04	4.45E-03	6.78E-04	7.31E-03	6.43E-03	1.03E-03	2.98E-03
4:Del:M:3	4.05E-03	6.91E-04	1.15E-06	1.88E-06	1.12E-04	3.96E-08	1.40E-03	1.81E-04	9.70E-04	1.65E-03	1.38E-03	1.50E-03
5:Del:M:1	6.39E-08	5.44E-07	1.51E-06	2.75E-06	1.39E-06	2.89E-07	2.45E-06	2.52E-02	1.55E-02	5.41E-02	2.33E-06	1.80E-06
5:Del:M:2	1.01E-07	2.00E-06	1.09E-06	2.18E-03	3.94E-06	3.50E-06	1.79E-02	9.00E-03	7.82E-03	1.91E-02	5.63E-03	2.01E-03
5:Del:M:3	1.36E-06	1.95E-06	2.87E-04	2.05E-06	2.21E-06	3.42E-08	4.32E-05	2.50E-03	4.87E-04	8.13E-03	3.93E-03	2.18E-03
5:Del:M:4	1.67E-03	2.63E-03	1.40E-06	3.81E-03	1.66E-06	2.35E-04	5.33E-04	1.02E-03	4.68E-04	1.80E-03	1.88E-03	2.75E-03
5:Del:M:5	1.31E-06	1.55E-03	1.36E-03	1.32E-03	4.46E-04	7.10E-08	1.65E-03	3.02E-04	1.94E-04	1.12E-03	1.51E-03	6.93E-04
