MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K
CC>AG	5.14E-03	8.57E-03	3.18E-03	1.19E-02	6.28E-03	3.48E-03	2.52E-02	9.96E-03	1.73E-05	1.26E-02	1.29E-02
CC>AT	2.89E-02	1.12E-02	6.34E-03	1.78E-02	1.45E-02	2.29E-02	2.34E-02	8.91E-03	0.00E+00	2.57E-02	3.07E-02
CC>GA	7.04E-03	2.06E-02	2.54E-09	1.04E-02	2.93E-03	1.24E-02	9.64E-03	5.99E-03	1.61E-02	6.31E-03	6.15E-03
CC>GG	1.06E-07	2.13E-03	1.40E-07	5.13E-03	2.80E-07	6.79E-07	3.17E-06	2.59E-03	4.90E-03	1.75E-06	1.06E-06
CC>GT	4.56E-03	3.35E-07	8.71E-03	1.97E-03	1.06E-02	9.65E-03	2.44E-02	2.24E-02	4.95E-07	1.32E-02	5.48E-02
CC>TA	1.63E-02	1.99E-07	8.76E-03	1.93E-02	6.84E-03	2.63E-03	5.02E-03	1.11E-06	1.31E-06	5.18E-07	4.65E-06
CC>TG	4.67E-03	6.56E-07	2.94E-03	3.31E-07	4.56E-07	2.63E-03	3.42E-06	5.54E-07	1.10E-06	8.71E-07	5.19E-07
CC>TT	1.13E-02	7.16E-03	2.72E-02	6.32E-03	1.33E-02	1.78E-02	1.33E-02	1.30E-02	4.85E-03	8.26E-02	2.08E-02
CG>AT	2.48E-07	8.45E-08	1.51E-07	4.84E-07	5.46E-03	7.47E-07	3.14E-06	7.09E-07	3.67E-06	1.94E-06	1.19E-06
CG>GC	1.58E-07	5.57E-07	1.40E-07	4.61E-07	3.04E-07	6.83E-07	3.13E-06	7.67E-07	1.07E-06	1.79E-06	8.62E-07
CG>GT	1.85E-03	1.08E-06	1.35E-07	2.74E-07	4.09E-03	8.98E-07	1.44E-02	1.14E-06	7.81E-07	8.15E-03	4.07E-03
CG>TA	2.52E-07	3.73E-07	2.68E-07	1.35E-07	1.71E-07	2.59E-07	3.13E-06	1.36E-02	1.44E-02	5.40E-06	4.07E-03
CG>TC	1.58E-07	5.57E-07	1.40E-07	4.61E-07	3.04E-07	6.83E-07	3.13E-06	7.67E-07	1.07E-06	1.79E-06	8.62E-07
CG>TT	1.58E-07	5.57E-07	1.40E-07	4.61E-07	3.04E-07	6.83E-07	3.13E-06	7.67E-07	1.07E-06	1.79E-06	8.62E-07
CT>AA	1.01E-02	1.68E-02	4.47E-03	1.75E-02	7.10E-03	1.50E-02	2.16E-06	9.71E-03	2.23E-06	8.40E-03	8.66E-07
CT>AC	8.49E-03	3.44E-07	2.07E-07	4.48E-07	5.76E-03	7.00E-07	3.38E-06	8.12E-07	1.41E-06	1.92E-06	8.58E-07
CT>AG	6.78E-08	9.40E-03	2.81E-07	9.44E-03	1.30E-02	6.35E-03	3.55E-03	6.25E-03	2.69E-02	7.03E-03	1.85E-06
CT>GA	1.00E-07	7.82E-03	1.04E-07	1.61E-03	6.42E-03	6.71E-07	2.51E-06	9.15E-07	4.91E-03	1.90E-06	6.69E-07
CT>GC	1.36E-07	2.13E-03	6.96E-03	3.32E-07	2.44E-07	6.90E-07	3.08E-06	1.18E-06	1.96E-03	3.86E-03	4.19E-06
CT>GG	1.45E-07	6.18E-03	3.14E-03	3.21E-03	1.39E-07	1.02E-06	1.66E-03	7.60E-07	4.91E-03	2.10E-03	1.81E-02
CT>TA	1.09E-02	7.65E-03	1.04E-02	4.57E-03	8.10E-03	6.28E-03	1.11E-06	4.00E-03	1.02E-06	4.19E-02	6.48E-07
CT>TC	2.84E-07	5.30E-07	3.39E-03	3.88E-07	2.84E-07	1.70E-02	2.50E-02	3.54E-05	1.38E-06	1.02E-06	2.89E-02
CT>TG	1.06E-02	5.83E-03	2.03E-07	4.82E-07	3.70E-07	6.60E-07	1.58E-06	8.58E-07	3.19E-02	4.55E-03	5.59E-07
GC>AA	2.38E-02	8.79E-03	7.47E-03	1.24E-02	1.05E-02	2.51E-02	1.82E-02	1.69E-22	5.04E-02	3.56E-02	6.09E-03
GC>AG	1.84E-02	5.03E-03	9.43E-03	1.19E-02	7.64E-03	1.53E-02	8.28E-03	7.37E-03	2.53E-02	3.14E-02	1.05E-06
GC>AT	2.98E-03	1.28E-02	1.97E-07	1.04E-02	3.37E-07	6.35E-03	1.62E-02	2.12E-02	9.14E-07	9.51E-03	1.86E-02
GC>CA	2.24E-07	9.55E-03	4.79E-03	4.49E-07	2.37E-03	8.22E-07	1.92E-06	1.02E-06	1.33E-02	2.19E-06	6.04E-03
GC>CG	1.58E-07	5.57E-07	1.40E-07	4.61E-07	3.04E-07	6.83E-07	3.13E-06	7.67E-07	1.07E-06	1.79E-06	8.62E-07
GC>TA	2.26E-03	4.45E-03	1.69E-03	2.89E-07	1.15E-03	5.26E-03	3.07E-06	6.38E-03	8.37E-07	9.61E-06	4.07E-03
TA>AT	8.36E-03	4.26E-03	2.64E-03	1.05E-02	1.87E-03	7.71E-07	3.07E-06	3.34E-03	1.21E-02	7.89E-07	1.26E-02
TA>CG	1.93E-07	8.25E-03	1.51E-07	1.96E-07	4.52E-07	4.37E-07	2.92E-06	1.00E-06	1.17E-02	1.78E-06	8.74E-07
TA>CT	4.11E-03	8.83E-03	1.68E-07	1.23E-02	3.51E-03	6.00E-03	1.99E-06	1.53E-02	2.45E-03	1.65E-06	1.81E-02
TA>GC	1.58E-07	5.57E-07	1.40E-07	4.61E-07	3.04E-07	6.83E-07	3.13E-06	7.67E-07	1.07E-06	1.79E-06	8.62E-07
TA>GG	7.90E-08	4.65E-07	1.07E-07	2.40E-07	3.27E-07	5.37E-07	3.18E-06	5.34E-07	7.75E-03	1.85E-06	9.84E-07
TA>GT	2.62E-03	2.32E-07	2.69E-03	5.80E-03	2.30E-03	6.01E-03	2.06E-06	1.39E-02	7.06E-07	9.42E-06	5.05E-03
TC>AA	6.73E-03	1.57E-02	3.74E-03	1.47E-02	1.19E-02	3.34E-02	3.59E-02	3.07E-02	2.06E-02	2.41E-02	2.05E-02
TC>AG	5.10E-03	5.85E-03	1.38E-02	3.34E-03	0.00E+00	2.35E-02	5.00E-03	4.34E-02	4.90E-03	4.76E-07	1.19E-06
TC>AT	9.73E-03	3.96E-03	1.31E-02	1.09E-02	2.65E-02	1.12E-02	1.39E-02	4.91E-02	4.79E-03	1.99E-02	7.13E-03
TC>CA	2.33E-02	8.10E-03	2.36E-03	0.00E+00	1.47E-02	1.59E-02	5.56E-03	4.98E-07	7.74E-03	2.10E-03	1.36E-02
TC>CG	4.11E-07	3.74E-03	1.56E-03	4.60E-07	3.60E-07	1.72E-06	3.16E-06	9.98E-07	6.87E-03	3.86E-03	8.22E-07
TC>CT	1.09E-02	1.32E-02	8.71E-03	7.33E-03	3.56E-03	6.33E-03	6.47E-03	1.94E-02	3.56E-07	7.80E-03	2.72E-07
TC>GA	7.50E-03	2.43E-03	2.41E-07	9.38E-03	1.08E-02	4.91E-03	1.78E-02	2.35E-03	9.76E-03	1.31E-02	8.43E-07
TC>GG	1.36E-07	2.43E-03	3.01E-03	3.08E-07	2.39E-07	3.40E-07	6.84E-03	9.00E-07	1.44E-03	6.98E-03	8.26E-07
TC>GT	2.32E-07	1.35E-07	4.42E-03	1.42E-07	3.20E-03	5.06E-04	1.51E-06	8.87E-03	1.89E-02	2.22E-06	1.31E-02
TG>AA	7.41E-03	6.78E-03	1.53E-07	2.91E-07	3.55E-03	1.31E-03	5.88E-03	1.10E-06	9.81E-03	4.21E-03	6.75E-07
TG>AC	2.91E-07	3.92E-07	1.43E-07	1.61E-03	3.07E-07	8.66E-07	3.32E-03	8.89E-07	1.36E-06	4.61E-03	9.94E-07
TG>AT	2.70E-03	9.84E-03	2.25E-23	3.32E-03	6.91E-03	3.11E-03	3.54E-02	8.63E-03	2.62E-02	7.73E-03	4.06E-03
TG>CA	9.77E-03	1.20E-02	4.94E-03	2.36E-02	4.25E-03	2.61E-02	5.93E-03	9.57E-03	2.99E-02	1.64E-02	3.47E-07
TG>CC	5.96E-03	1.04E-06	3.18E-03	7.81E-03	1.68E-03	5.60E-03	1.77E-06	8.89E-03	9.08E-07	1.82E-02	8.37E-03
TG>CT	1.17E-02	2.77E-02	0.00E+00	2.30E-02	1.23E-02	1.86E-02	1.94E-02	3.23E-02	2.16E-02	3.64E-02	2.22E-07
TG>GA	1.70E-07	5.45E-03	8.38E-08	4.00E-07	4.17E-07	5.83E-07	3.10E-06	1.19E-06	4.91E-03	1.88E-06	6.60E-07
TG>GC	1.95E-07	3.95E-03	1.69E-07	4.64E-07	3.56E-07	5.36E-07	3.19E-06	1.10E-06	2.45E-03	1.98E-06	1.74E-02
TG>GT	4.05E-03	8.68E-03	3.91E-03	3.35E-03	1.15E-03	6.82E-03	1.91E-06	2.70E-02	7.90E-03	1.11E-06	1.93E-06
TT>AA	1.85E-03	8.41E-03	2.39E-03	2.97E-07	2.31E-07	3.94E-03	4.27E-02	8.64E-03	1.22E-02	8.15E-03	1.76E-02
TT>AC	1.77E-07	6.25E-03	8.43E-08	3.96E-07	2.79E-07	6.16E-07	3.07E-06	1.16E-06	4.91E-03	1.88E-06	1.06E-06
TT>AG	2.62E-07	4.18E-07	2.52E-07	4.03E-03	2.85E-07	2.81E-03	2.59E-06	6.45E-03	1.28E-06	1.70E-06	2.39E-02
TT>CA	1.05E-07	5.73E-07	2.12E-03	4.65E-07	3.22E-07	6.08E-07	3.13E-06	7.70E-07	1.35E-06	1.84E-06	8.74E-07
TT>CC	1.83E-07	5.83E-07	3.30E-03	1.61E-03	4.38E-07	8.27E-07	2.48E-03	7.05E-07	1.21E-06	1.06E-06	9.11E-07
TT>CG	3.00E-07	1.08E-06	1.27E-07	3.30E-07	6.33E-03	7.33E-07	4.31E-02	1.15E-06	7.70E-07	1.63E-02	4.07E-03
TT>GA	1.58E-07	5.57E-07	1.40E-07	4.61E-07	3.04E-07	6.83E-07	3.13E-06	7.67E-07	1.07E-06	1.79E-06	8.62E-07
TT>GC	2.38E-07	6.97E-07	3.31E-07	5.40E-07	2.35E-07	5.14E-07	2.87E-06	2.57E-02	1.10E-06	1.92E-06	4.11E-07
TT>GG	1.29E-07	3.58E-07	8.29E-08	5.79E-03	4.83E-07	5.62E-03	2.53E-06	8.18E-07	8.73E-07	1.96E-06	7.15E-07
