MutationType	ID83A	ID83B	ID83C	ID83D
2:Del:R:2	4.61E-08	1.23E-04	8.31E-05	9.69E-05
2:Del:R:3	4.23E-08	1.80E-04	1.17E-04	8.28E-05
2:Del:R:4	5.65E-08	3.40E-04	1.65E-04	1.02E-06
2:Del:R:5	4.93E-08	2.52E-06	3.07E-07	1.28E-06
3:Del:R:0	2.53E-05	9.60E-03	6.59E-03	9.28E-03
3:Del:R:1	1.35E-08	3.99E-04	3.03E-04	4.92E-04
3:Del:R:2	4.20E-08	2.57E-04	1.01E-04	1.97E-04
3:Del:R:3	4.93E-08	2.52E-06	3.07E-07	1.28E-06
3:Del:R:4	4.93E-08	2.52E-06	3.07E-07	1.28E-06
3:Del:R:5	4.93E-08	2.52E-06	3.07E-07	1.28E-06
4:Del:R:0	2.48E-09	5.69E-03	3.45E-03	5.50E-03
4:Del:R:1	4.37E-08	1.98E-04	1.61E-04	1.56E-04
4:Del:R:2	4.93E-08	2.52E-06	3.07E-07	1.28E-06
4:Del:R:3	4.93E-08	2.52E-06	3.07E-07	1.28E-06
4:Del:R:4	4.93E-08	2.52E-06	3.07E-07	1.28E-06
4:Del:R:5	4.93E-08	2.52E-06	3.07E-07	1.28E-06
5:Del:R:0	2.71E-09	1.11E-06	1.23E-02	2.48E-04
5:Del:R:1	4.93E-08	2.52E-06	3.07E-07	1.28E-06
5:Del:R:2	4.93E-08	2.52E-06	3.07E-07	1.28E-06
5:Del:R:3	4.93E-08	2.52E-06	3.07E-07	1.28E-06
5:Del:R:4	4.93E-08	2.52E-06	3.07E-07	1.28E-06
5:Del:R:5	4.93E-08	2.52E-06	3.07E-07	1.28E-06
2:Ins:R:0	2.63E-09	1.56E-03	9.98E-04	1.02E-03
2:Ins:R:1	2.91E-09	1.94E-03	1.73E-03	1.23E-03
2:Ins:R:2	2.74E-09	1.80E-03	1.20E-03	1.08E-03
2:Ins:R:3	5.27E-08	1.21E-05	2.39E-05	1.36E-04
2:Ins:R:4	4.11E-08	2.95E-04	1.17E-04	2.95E-04
2:Ins:R:5	8.94E-07	2.66E-04	2.17E-04	3.56E-04
3:Ins:R:0	3.24E-09	1.00E-03	8.65E-04	7.19E-04
3:Ins:R:1	3.45E-09	6.02E-04	4.81E-04	6.79E-04
3:Ins:R:2	2.19E-08	4.10E-04	2.59E-04	4.84E-04
3:Ins:R:3	4.93E-08	2.52E-06	3.07E-07	1.28E-06
3:Ins:R:4	4.25E-08	1.01E-04	1.01E-04	2.63E-04
3:Ins:R:5	4.32E-06	3.08E-04	1.58E-04	3.28E-04
4:Ins:R:0	4.33E-09	2.72E-04	4.84E-04	3.80E-04
4:Ins:R:1	2.97E-09	1.38E-03	8.63E-04	1.28E-03
4:Ins:R:2	3.46E-05	2.32E-04	1.57E-04	1.25E-04
4:Ins:R:3	4.93E-08	2.52E-06	3.07E-07	1.28E-06
4:Ins:R:4	4.93E-08	2.52E-06	3.07E-07	1.28E-06
4:Ins:R:5	5.17E-08	1.38E-04	2.98E-05	7.98E-05
5:Ins:R:0	2.65E-09	1.68E-03	9.18E-04	1.08E-03
5:Ins:R:1	2.60E-09	2.82E-03	1.77E-03	2.26E-03
5:Ins:R:2	4.93E-08	2.52E-06	3.07E-07	1.28E-06
5:Ins:R:3	4.93E-08	2.52E-06	3.07E-07	1.28E-06
5:Ins:R:4	5.38E-08	7.37E-05	5.75E-05	1.14E-04
5:Ins:R:5	5.98E-08	1.61E-04	5.45E-05	1.36E-04
2:Del:M:1	2.21E-09	7.35E-03	4.67E-03	4.71E-03
3:Del:M:1	2.85E-09	6.82E-03	4.02E-03	6.75E-03
3:Del:M:2	2.14E-09	2.59E-03	1.76E-03	2.42E-03
4:Del:M:1	2.46E-09	4.15E-03	2.80E-03	3.42E-03
4:Del:M:2	2.94E-09	1.40E-03	9.97E-04	1.54E-03
4:Del:M:3	3.69E-09	2.96E-04	2.91E-04	4.30E-04
5:Del:M:1	2.52E-09	9.77E-03	1.17E-02	8.77E-03
5:Del:M:2	2.44E-09	5.59E-03	3.65E-03	1.78E-03
5:Del:M:3	3.08E-09	1.26E-03	1.15E-03	3.31E-04
5:Del:M:4	3.22E-09	6.01E-04	5.86E-04	2.61E-04
5:Del:M:5	1.91E-08	3.33E-04	3.25E-04	3.70E-05
