MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F
GC>TA	2.83E-03	1.74E-03	3.80E-07	3.32E-03	1.18E-02	1.75E-03
TA>AT	3.67E-03	5.24E-03	3.33E-03	6.28E-03	1.33E-02	1.47E-02
TA>CG	3.50E-07	4.67E-03	2.18E-07	3.99E-07	7.87E-03	1.88E-06
TA>CT	2.76E-03	9.59E-03	1.77E-07	1.10E-02	2.07E-03	2.20E-02
TA>GC	2.02E-07	1.47E-07	3.05E-07	3.95E-07	1.36E-06	1.28E-06
TA>GG	3.29E-07	1.12E-07	3.30E-07	4.44E-07	1.30E-06	9.04E-03
TA>GT	4.56E-03	4.66E-07	4.41E-07	1.74E-03	7.87E-03	1.08E-06
TC>AA	8.44E-03	1.89E-02	1.69E-03	1.66E-02	2.63E-02	3.30E-02
TC>AG	2.87E-03	5.75E-03	7.54E-03	2.11E-02	7.65E-03	5.42E-06
TC>AT	1.69E-02	6.99E-03	3.23E-02	1.42E-02	1.77E-02	1.60E-02
TC>CA	9.81E-03	2.05E-02	4.34E-03	1.12E-02	1.35E-02	1.54E-02
TC>CG	2.35E-03	3.70E-03	3.01E-07	5.64E-03	5.20E-03	7.81E-03
TC>CT	6.98E-03	4.45E-03	4.22E-03	7.95E-03	4.96E-03	8.29E-07
TC>GA	8.96E-03	1.33E-02	3.39E-07	7.95E-03	1.86E-02	1.80E-06
TC>GG	5.18E-04	2.29E-03	2.40E-03	2.09E-03	1.11E-06	1.67E-06
TC>GT	5.52E-03	1.06E-07	1.54E-03	7.82E-03	1.45E-02	1.69E-02
TG>AA	1.85E-03	7.18E-03	1.13E-07	4.48E-03	4.32E-03	1.15E-06
TG>AC	7.70E-08	2.61E-07	2.56E-07	1.41E-03	1.72E-03	1.07E-06
TG>AT	1.00E-02	4.52E-03	9.37E-08	9.05E-03	3.05E-03	1.84E-02
TG>CA	3.91E-03	3.83E-03	4.93E-03	9.73E-03	1.97E-02	1.11E-02
TG>CC	1.45E-03	3.67E-03	3.09E-03	1.08E-03	1.28E-03	4.87E-03
TG>CT	1.72E-02	1.37E-02	2.79E-07	1.69E-02	3.13E-02	2.47E-02
TG>GA	1.04E-07	2.32E-03	3.75E-07	3.06E-07	1.18E-06	1.32E-06
TG>GC	2.04E-07	4.10E-03	2.61E-07	2.84E-07	9.53E-07	3.53E-03
TG>GT	3.08E-03	7.24E-03	4.72E-03	6.98E-03	9.96E-03	7.73E-03
TT>AA	4.14E-03	6.93E-03	2.29E-03	2.05E-07	3.83E-03	1.13E-02
TT>AC	1.10E-07	3.68E-03	3.39E-07	3.02E-07	1.15E-06	1.51E-06
TT>AG	1.59E-03	2.62E-03	2.26E-07	8.28E-03	1.60E-06	1.32E-02
TT>CA	4.03E-07	2.37E-07	2.34E-03	5.23E-07	1.16E-06	1.33E-06
TT>CC	7.96E-04	3.42E-07	5.35E-03	1.41E-03	1.73E-03	7.87E-07
TT>CG	2.03E-07	1.74E-07	2.04E-07	2.72E-07	7.65E-03	4.07E-03
TT>GA	2.02E-07	1.47E-07	3.05E-07	3.95E-07	1.36E-06	1.28E-06
TT>GC	2.27E-07	1.31E-03	3.72E-03	2.68E-03	1.11E-06	9.75E-03
TT>GG	9.60E-04	1.85E-07	3.20E-07	1.08E-03	1.42E-06	1.45E-06
