MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
1:Ins:T:1	0.00000082	0.00000557	0.09933811	0.02308043	0.00000247	0.01076206	0.00000035	0.00000095	0.00971897	0.09123534	0.00467897	0.04659871	0.10372207
1:Ins:T:2	0.00000202	0.00000441	0.01980060	0.00906296	0.00000179	0.00467560	0.00849308	0.00000200	0.00183656	0.02322088	0.01171991	0.00795983	0.03175191
1:Ins:T:3	0.00466508	0.01424645	0.00941027	0.00000749	0.00830854	0.00282142	0.00843180	0.01176627	0.00274053	0.00961837	0.00393771	0.02350960	0.01019624
1:Ins:T:4	0.00376848	0.00432399	0.00038298	0.00000451	0.00000419	0.00203221	0.00309640	0.00000481	0.00110899	0.01257191	0.00036917	0.00664971	0.00470531
1:Ins:T:5	0.00000001	0.00000429	0.00000318	0.00000304	0.00000068	0.00000224	0.07550437	0.00000287	0.00800407	0.00332378	0.02310829	0.02967967	0.37765647
2:Del:R:0	0.00000035	0.00000138	0.00000245	0.00000047	0.00000083	0.00000004	0.01258148	0.00000087	0.01110570	0.00310955	0.50907731	0.00000224	0.00000314
2:Del:R:1	0.00240917	0.00233722	0.01157499	0.00000674	0.00000304	0.00203958	0.00067485	0.00000377	0.00235343	0.00969163	0.00628682	0.00544245	0.00691519
2:Del:R:2	0.00000352	0.00132623	0.00001169	0.00000642	0.00034250	0.00001100	0.00000113	0.00000490	0.00002022	0.00090505	0.00014884	0.00045755	0.00021029
2:Del:R:3	0.00050637	0.00000654	0.00118542	0.00000642	0.00000509	0.00001201	0.00000100	0.00000459	0.00019979	0.00027974	0.00029874	0.00099340	0.00031321
2:Del:R:4	0.00000269	0.00017587	0.00001073	0.00000526	0.00000509	0.00053753	0.00000082	0.00000412	0.00200798	0.00042781	0.00145857	0.00032976	0.00002083
2:Del:R:5	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00000156	0.00000639	0.00002325	0.00002796	0.00002641	0.00002572	0.00002686
3:Del:R:0	0.00090050	0.00001594	0.00448404	0.00093846	0.00001278	0.00974719	0.01589835	0.00015017	0.01320396	0.23738651	0.04860287	0.00899847	0.00016426
3:Del:R:1	0.00000276	0.00000426	0.00141284	0.00099071	0.00000491	0.00001000	0.00485462	0.00025115	0.00002204	0.00634079	0.00238626	0.00415694	0.00551709
3:Del:R:2	0.00000421	0.00052069	0.00001035	0.00018718	0.00108188	0.00027112	0.00005978	0.00000425	0.00045600	0.00034024	0.00123059	0.00114522	0.00096164
3:Del:R:3	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00000156	0.00000639	0.00002325	0.00002796	0.00002641	0.00002572	0.00002686
3:Del:R:4	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00000156	0.00000639	0.00002325	0.00002796	0.00002641	0.00002572	0.00002686
3:Del:R:5	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00000156	0.00000639	0.00002325	0.00002796	0.00002641	0.00002572	0.00002686
4:Del:R:0	0.02231477	0.00242380	0.00001498	0.00000285	0.00092320	0.00637506	0.00299611	0.00000472	0.02763143	0.04042814	0.02025862	0.04334236	0.02824136
4:Del:R:1	0.00000333	0.00000649	0.00019638	0.00001035	0.00000482	0.00000895	0.00021708	0.00000442	0.00036862	0.00152674	0.00100635	0.00122080	0.00057798
4:Del:R:2	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00000156	0.00000639	0.00002325	0.00002796	0.00002641	0.00002572	0.00002686
4:Del:R:3	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00000156	0.00000639	0.00002325	0.00002796	0.00002641	0.00002572	0.00002686
4:Del:R:4	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00000156	0.00000639	0.00002325	0.00002796	0.00002641	0.00002572	0.00002686
4:Del:R:5	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00000156	0.00000639	0.00002325	0.00002796	0.00002641	0.00002572	0.00002686
5:Del:R:0	0.00000001	0.00000074	0.00000179	0.00000001	0.00000001	0.00000026	0.00000080	0.00000101	0.72934545	0.00000389	0.00000335	0.00001332	0.00000495
5:Del:R:1	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00000156	0.00000639	0.00002325	0.00002796	0.00002641	0.00002572	0.00002686
5:Del:R:2	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00000156	0.00000639	0.00002325	0.00002796	0.00002641	0.00002572	0.00002686
5:Del:R:3	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00000156	0.00000639	0.00002325	0.00002796	0.00002641	0.00002572	0.00002686
5:Del:R:4	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00000156	0.00000639	0.00002325	0.00002796	0.00002641	0.00002572	0.00002686
5:Del:R:5	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00000156	0.00000639	0.00002325	0.00002796	0.00002641	0.00002572	0.00002686
2:Ins:R:0	0.00452099	0.00808457	0.00933142	0.00001180	0.00000397	0.00133486	0.00000002	0.00230754	0.00137808	0.01358665	0.00648002	0.02365650	0.00275967
2:Ins:R:1	0.00000267	0.00000429	0.00003165	0.00000891	0.00000993	0.00000489	0.00099273	0.00000329	0.00603364	0.03227730	0.01423081	0.01735423	0.03176229
2:Ins:R:2	0.00000260	0.00001164	0.00465919	0.00741767	0.00000489	0.00000950	0.00135182	0.00000414	0.00735440	0.01394637	0.00476567	0.01241856	0.00601653
2:Ins:R:3	0.00000386	0.00035685	0.00001162	0.00000699	0.00000603	0.00001101	0.00125774	0.00003109	0.00002171	0.00002579	0.00002549	0.00002464	0.00110918
2:Ins:R:4	0.00070790	0.00012270	0.00124887	0.00064293	0.00095161	0.00010434	0.00073023	0.00172122	0.00001875	0.00128331	0.00033367	0.00120822	0.00226274
2:Ins:R:5	0.00186550	0.00000499	0.00001361	0.00074520	0.00000466	0.00012724	0.00060511	0.00066450	0.00065308	0.00324774	0.00015098	0.00156165	0.00451604
3:Ins:R:0	0.00000250	0.00000401	0.00199091	0.00025431	0.00000807	0.00240626	0.00000016	0.00000445	0.00286330	0.00105946	0.00533822	0.01703755	0.00499787
3:Ins:R:1	0.00000180	0.01307573	0.00485057	0.00025254	0.00157284	0.00076833	0.00000056	0.00000398	0.00056142	0.01017874	0.00147648	0.00136514	0.00654862
3:Ins:R:2	0.00175106	0.00024697	0.00129391	0.00000483	0.00000363	0.00023228	0.00129816	0.00142263	0.00347615	0.00106154	0.00070829	0.00268689	0.00416583
3:Ins:R:3	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00000156	0.00000639	0.00002325	0.00002796	0.00002641	0.00002572	0.00002686
3:Ins:R:4	0.00000332	0.00000654	0.00027935	0.00000631	0.00000503	0.00009627	0.00197450	0.00000453	0.00030420	0.00083772	0.00002261	0.00021616	0.00140567
3:Ins:R:5	0.00052180	0.00078534	0.00119977	0.00019975	0.00079559	0.00000991	0.00102689	0.00041984	0.00028035	0.00058985	0.00096339	0.00117235	0.00199211
4:Ins:R:0	0.00139392	0.00895800	0.00318084	0.00111815	0.00263416	0.00000907	0.00000017	0.00067666	0.00196124	0.00117800	0.00206647	0.00593316	0.00406228
4:Ins:R:1	0.00000237	0.01528368	0.00567690	0.00413676	0.00473040	0.00370412	0.00000008	0.00481955	0.00340107	0.00876672	0.00366991	0.00034548	0.00352143
4:Ins:R:2	0.00000462	0.00000568	0.00064484	0.00019306	0.00000481	0.00000881	0.00000062	0.00064990	0.00042813	0.00222920	0.00036692	0.00414923	0.00027009
4:Ins:R:3	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00000156	0.00000639	0.00002325	0.00002796	0.00002641	0.00002572	0.00002686
4:Ins:R:4	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00000156	0.00000639	0.00002325	0.00002796	0.00002641	0.00002572	0.00002686
4:Ins:R:5	0.00032936	0.00033730	0.00009585	0.00000601	0.00000494	0.00000963	0.00000099	0.00017474	0.00023332	0.00111137	0.00038692	0.00047147	0.00099348
5:Ins:R:0	0.00212652	0.01073413	0.00592194	0.00000480	0.00000564	0.00284519	0.00059751	0.00202088	0.00336382	0.00622659	0.00369147	0.01088504	0.00410267
5:Ins:R:1	0.00000157	0.01071650	0.01850935	0.00640417	0.00000365	0.00001014	0.00000003	0.00000220	0.01153776	0.01564256	0.01524512	0.00207288	0.01268456
5:Ins:R:2	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00000156	0.00000639	0.00002325	0.00002796	0.00002641	0.00002572	0.00002686
5:Ins:R:3	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00000156	0.00000639	0.00002325	0.00002796	0.00002641	0.00002572	0.00002686
5:Ins:R:4	0.00000351	0.00114620	0.00057492	0.00000536	0.00000526	0.00001888	0.00015246	0.00000469	0.00001983	0.00155126	0.00107445	0.00086755	0.00002441
5:Ins:R:5	0.00028849	0.00033741	0.00018189	0.00000808	0.00000485	0.00000964	0.00000090	0.00034299	0.00038103	0.00028751	0.00031014	0.00095227	0.00118803
2:Del:M:1	0.00000200	0.01506427	0.00610465	0.01388572	0.00000114	0.00000285	0.00131426	0.00000050	0.00001075	0.09846573	0.06267527	0.00974358	0.01036622
3:Del:M:1	0.02194766	0.01396013	0.04209538	0.00000207	0.00000132	0.00000179	0.02671472	0.00000133	0.00691334	0.06527373	0.03851688	0.01303583	0.03964600
3:Del:M:2	0.00000912	0.01530324	0.01426748	0.00624966	0.00000607	0.00000980	0.01182545	0.00000267	0.00268945	0.03841620	0.00962983	0.00720913	0.00501804
4:Del:M:1	0.00778337	0.02642227	0.02963748	0.01363247	0.00000423	0.00000339	0.00226705	0.00000313	0.00525211	0.03206646	0.02581352	0.01939209	0.00687605
4:Del:M:2	0.00000253	0.01112822	0.00496344	0.00310891	0.00000369	0.00000597	0.00000001	0.00000197	0.00095764	0.01341763	0.01342160	0.00278250	0.00407858
4:Del:M:3	0.00243716	0.00182934	0.00274770	0.00056308	0.00000430	0.00012694	0.00009204	0.00061916	0.00039081	0.00276053	0.00276325	0.00062188	0.00234697
5:Del:M:1	0.00000012	0.00000090	0.00000305	0.00000257	0.00000149	0.00000327	0.00000039	0.00000001	0.08035468	0.00000676	0.02378381	0.38009102	0.00000523
5:Del:M:2	0.00000220	0.00000330	0.00000653	0.00000580	0.00000474	0.00708459	0.00000033	0.00000305	0.01698642	0.01705512	0.02761420	0.10091798	0.01887211
5:Del:M:3	0.00000275	0.00000844	0.00001012	0.00397594	0.00000322	0.00017385	0.00000002	0.00337876	0.00747278	0.00535940	0.00304498	0.02453566	0.01130048
5:Del:M:4	0.00000220	0.00255486	0.00693539	0.00000553	0.00000444	0.00001257	0.00000002	0.00000523	0.00306607	0.00568232	0.00337794	0.00694086	0.00510491
5:Del:M:5	0.00035124	0.00103541	0.00016215	0.00056278	0.00000424	0.00000841	0.00041090	0.00101790	0.00095268	0.00358942	0.00077922	0.00159711	0.00418955
