MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
2:Del:R:1	0.00607824	0.00352748	0.00000533	0.00828398	0.00252957	0.00000956	0.00006900	0.00285167	0.00001686	0.00080286	0.00628036	0.02731973	0.01098425	0.01117766
2:Del:R:2	0.00000287	0.00000143	0.00000892	0.00000436	0.00000610	0.00001595	0.00000056	0.00001266	0.00002023	0.00257064	0.00051408	0.00041771	0.00066372	0.00051975
2:Del:R:3	0.00000153	0.00000176	0.00018031	0.00000442	0.00000478	0.00001165	0.00000058	0.00036973	0.00007991	0.00166862	0.00015795	0.00075208	0.00055436	0.00038923
2:Del:R:4	0.00037096	0.00000097	0.00054967	0.00072030	0.00000445	0.00001356	0.00000037	0.00001112	0.00106584	0.00045370	0.00069518	0.00112598	0.00002137	0.00064751
2:Del:R:5	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00000123	0.00001468	0.00002249	0.00002216	0.00002641	0.00002533	0.00002596	0.00003231
3:Del:R:0	0.00000121	0.00000843	0.00001438	0.00002422	0.00020135	0.00000128	0.00814901	0.01190031	0.00000553	0.02611359	0.05309809	0.19234748	0.04025702	0.02666861
3:Del:R:1	0.00000479	0.00000104	0.00000778	0.00000310	0.00000575	0.00001112	0.00662944	0.00002981	0.00045663	0.00223120	0.00002803	0.00693033	0.01569838	0.00307528
3:Del:R:2	0.00000160	0.00000118	0.00000794	0.00256709	0.00066967	0.00028335	0.00000021	0.00062232	0.00014950	0.00011133	0.00199627	0.00076225	0.00150450	0.00027593
3:Del:R:3	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00000123	0.00001468	0.00002249	0.00002216	0.00002641	0.00002533	0.00002596	0.00003231
3:Del:R:4	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00000123	0.00001468	0.00002249	0.00002216	0.00002641	0.00002533	0.00002596	0.00003231
3:Del:R:5	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00000123	0.00001468	0.00002249	0.00002216	0.00002641	0.00002533	0.00002596	0.00003231
4:Del:R:0	0.00150835	0.00000091	0.00000364	0.00000635	0.00000097	0.00000179	0.00305242	0.01340664	0.00612822	0.03004141	0.00856357	0.18227903	0.01882951	0.01395455
4:Del:R:1	0.00000127	0.00000097	0.00044117	0.00128957	0.00051139	0.00001101	0.00000009	0.00001037	0.00026607	0.00077666	0.00179030	0.00274340	0.00019307	0.00179384
4:Del:R:2	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00000123	0.00001468	0.00002249	0.00002216	0.00002641	0.00002533	0.00002596	0.00003231
4:Del:R:3	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00000123	0.00001468	0.00002249	0.00002216	0.00002641	0.00002533	0.00002596	0.00003231
4:Del:R:4	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00000123	0.00001468	0.00002249	0.00002216	0.00002641	0.00002533	0.00002596	0.00003231
4:Del:R:5	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00000123	0.00001468	0.00002249	0.00002216	0.00002641	0.00002533	0.00002596	0.00003231
5:Del:R:0	0.00000064	0.00000006	0.00000121	0.00000019	0.00000002	0.00000207	0.00015299	0.00000329	0.71372597	0.00001645	0.00000259	0.00000256	0.00000313	0.00000475
5:Del:R:1	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00000123	0.00001468	0.00002249	0.00002216	0.00002641	0.00002533	0.00002596	0.00003231
5:Del:R:2	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00000123	0.00001468	0.00002249	0.00002216	0.00002641	0.00002533	0.00002596	0.00003231
5:Del:R:3	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00000123	0.00001468	0.00002249	0.00002216	0.00002641	0.00002533	0.00002596	0.00003231
5:Del:R:4	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00000123	0.00001468	0.00002249	0.00002216	0.00002641	0.00002533	0.00002596	0.00003231
5:Del:R:5	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00000123	0.00001468	0.00002249	0.00002216	0.00002641	0.00002533	0.00002596	0.00003231
2:Ins:R:0	0.00000050	0.00000103	0.01805451	0.00428889	0.00000449	0.00490025	0.00000000	0.00001234	0.00001505	0.00634711	0.00664716	0.01421808	0.01056417	0.00847699
2:Ins:R:1	0.01150952	0.00624160	0.00000627	0.01100747	0.00736448	0.00000482	0.00024768	0.01347420	0.00303635	0.01101090	0.01245918	0.01262776	0.01775414	0.01668405
2:Ins:R:2	0.00000070	0.00311310	0.00436949	0.00926520	0.00000471	0.00154604	0.00000000	0.00482707	0.00191484	0.01003746	0.01187824	0.00408962	0.00760975	0.01337551
2:Ins:R:3	0.00035260	0.00000314	0.00001031	0.00000459	0.00000592	0.00001348	0.00121645	0.00001372	0.00002148	0.00002208	0.00002606	0.00002675	0.00043300	0.00003247
2:Ins:R:4	0.00000145	0.00000137	0.00044129	0.00106981	0.00045241	0.00036223	0.00097627	0.00115517	0.00001915	0.00122247	0.00047188	0.00167260	0.00166605	0.00150072
2:Ins:R:5	0.00136236	0.00000108	0.00000948	0.00066093	0.00000531	0.00114537	0.00153609	0.00054007	0.00044473	0.00066017	0.00019243	0.00201554	0.00491127	0.00137980
3:Ins:R:0	0.00000078	0.00000036	0.00694953	0.00000286	0.00248348	0.00127498	0.00000001	0.00001228	0.00284924	0.01201767	0.00169162	0.00911506	0.00305209	0.01759847
3:Ins:R:1	0.00000071	0.00207565	0.00269988	0.00266412	0.00031336	0.00060843	0.00000000	0.00143238	0.00149065	0.00221911	0.00096566	0.01115674	0.00382140	0.00118390
3:Ins:R:2	0.00053731	0.00000125	0.00000786	0.00133113	0.00111794	0.00000849	0.00089416	0.00144828	0.00130598	0.00585713	0.00089584	0.00802757	0.00217695	0.00420945
3:Ins:R:3	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00000123	0.00001468	0.00002249	0.00002216	0.00002641	0.00002533	0.00002596	0.00003231
3:Ins:R:4	0.00000190	0.00000133	0.00078012	0.00038289	0.00062540	0.00001221	0.00235154	0.00056170	0.00008724	0.00066068	0.00002360	0.00023412	0.00131545	0.00146871
3:Ins:R:5	0.00079275	0.00000138	0.00050145	0.00000384	0.00071303	0.00013531	0.00146075	0.00126306	0.00030700	0.00085485	0.00046507	0.00019379	0.00274870	0.00149003
4:Ins:R:0	0.00000114	0.00000158	0.00042071	0.00071832	0.00248351	0.00078655	0.00000001	0.00000908	0.00033428	0.00262703	0.00219215	0.00380877	0.00264809	0.00638816
4:Ins:R:1	0.00000145	0.00000000	0.01367750	0.00000336	0.00000351	0.00163126	0.00000004	0.00042592	0.00001448	0.02985731	0.00220634	0.01203621	0.00607496	0.01441963
4:Ins:R:2	0.00000164	0.00000100	0.00000844	0.00019472	0.00000438	0.00006900	0.00000023	0.00119470	0.00002211	0.00037419	0.00089940	0.00283792	0.00125934	0.00232667
4:Ins:R:3	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00000123	0.00001468	0.00002249	0.00002216	0.00002641	0.00002533	0.00002596	0.00003231
4:Ins:R:4	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00000123	0.00001468	0.00002249	0.00002216	0.00002641	0.00002533	0.00002596	0.00003231
4:Ins:R:5	0.00000148	0.00000159	0.00000847	0.00019569	0.00000749	0.00039559	0.00011959	0.00001268	0.00002005	0.00031678	0.00054840	0.00087744	0.00104366	0.00057787
5:Ins:R:0	0.00810365	0.00228050	0.00336676	0.00000513	0.00333253	0.00000927	0.00000000	0.00411726	0.00409719	0.00625654	0.00507835	0.00620446	0.00676891	0.00581819
5:Ins:R:1	0.00000027	0.00000170	0.00000661	0.00064357	0.00000343	0.00000722	0.00180936	0.00329880	0.00685466	0.00845041	0.01314965	0.01217842	0.03251293	0.01226831
5:Ins:R:2	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00000123	0.00001468	0.00002249	0.00002216	0.00002641	0.00002533	0.00002596	0.00003231
5:Ins:R:3	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00000123	0.00001468	0.00002249	0.00002216	0.00002641	0.00002533	0.00002596	0.00003231
5:Ins:R:4	0.00000178	0.00000160	0.00000791	0.00000446	0.00000483	0.00031295	0.00019652	0.00001257	0.00001993	0.00013231	0.00070737	0.00049848	0.00031320	0.00087666
5:Ins:R:5	0.00000230	0.00000144	0.00000804	0.00038469	0.00000774	0.00027048	0.00006030	0.00025734	0.00014837	0.00031644	0.00002526	0.00100182	0.00115853	0.00083969
2:Del:M:1	0.00000007	0.00000012	0.00000339	0.03420063	0.01505011	0.00000385	0.00084637	0.00000381	0.00000895	0.01016637	0.05428867	0.08859584	0.02389278	0.02450047
3:Del:M:1	0.00563638	0.01436173	0.00000657	0.00000239	0.00000098	0.00000299	0.02810724	0.00000270	0.00783261	0.03872808	0.03028810	0.02782159	0.04136842	0.12493807
3:Del:M:2	0.00234125	0.00000139	0.01396640	0.00823825	0.00000316	0.00000765	0.00728144	0.00907634	0.00001092	0.00656031	0.01299869	0.02290524	0.00669389	0.04730136
4:Del:M:1	0.00071923	0.00000132	0.00000970	0.01046357	0.00000202	0.00000454	0.00166505	0.00000427	0.00466163	0.02834825	0.01985564	0.04666737	0.00888424	0.02294339
4:Del:M:2	0.00000130	0.00000118	0.00070529	0.01023457	0.00000471	0.00140338	0.00000000	0.00266922	0.00219321	0.00207083	0.00946858	0.00536372	0.00954805	0.01037677
4:Del:M:3	0.00000124	0.00000293	0.01162481	0.00177852	0.00000383	0.00027852	0.00000003	0.00112800	0.00048551	0.00185856	0.00291917	0.00299842	0.00497280	0.00217296
5:Del:M:1	0.00000001	0.00000074	0.00000441	0.00000099	0.00000182	0.00000733	0.00000119	0.00000391	0.11744813	0.33680392	0.02325573	0.00000466	0.00000498	0.00001061
5:Del:M:2	0.00000340	0.00000056	0.01544713	0.00164770	0.00000263	0.00679815	0.00012512	0.00001017	0.03391277	0.07439518	0.00940745	0.02604259	0.01389075	0.00915339
5:Del:M:3	0.00000057	0.00000074	0.00000534	0.00528292	0.00000482	0.00317452	0.00000000	0.00001831	0.00759148	0.01517514	0.00606619	0.00682054	0.00826048	0.01165670
5:Del:M:4	0.00000106	0.00103981	0.00000620	0.00286281	0.00000376	0.00087980	0.00112277	0.00001367	0.00314640	0.00135865	0.00283423	0.01481471	0.00043546	0.00609710
5:Del:M:5	0.00009011	0.00062567	0.00176213	0.00000368	0.00191204	0.00000972	0.00062112	0.00102497	0.00100650	0.00058219	0.00055308	0.00218289	0.00105299	0.00266063
