MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M
AT>CG	8.65E-08	1.82E-07	3.01E-07	6.01E-07	4.41E-07	5.38E-07	3.80E-07	3.22E-07	3.50E-07	1.02E-06	1.62E-06	1.88E-06	8.67E-07
AT>GA	1.70E-07	1.95E-03	7.51E-03	3.42E-07	4.74E-07	4.41E-03	7.56E-07	3.93E-07	5.73E-07	1.21E-06	1.01E-02	2.05E-06	2.33E-02
AT>GC	8.65E-08	1.82E-07	3.01E-07	6.01E-07	4.41E-07	5.38E-07	3.80E-07	3.22E-07	3.50E-07	1.02E-06	1.62E-06	1.88E-06	8.67E-07
AT>TA	6.94E-08	5.37E-03	5.95E-03	5.83E-03	2.47E-03	7.90E-07	1.18E-03	4.26E-03	6.52E-07	9.15E-07	1.90E-06	3.52E-06	1.30E-06
CC>AA	1.04E-02	2.62E-02	4.36E-02	1.81E-02	1.26E-02	5.48E-02	4.43E-03	1.49E-02	1.94E-02	2.56E-02	4.79E-02	9.79E-03	1.94E-02
CC>AG	2.21E-03	1.08E-02	1.15E-02	1.59E-02	1.81E-02	2.89E-07	7.65E-07	1.17E-02	1.79E-02	1.46E-02	1.26E-02	8.31E-03	7.14E-06
CC>AT	4.84E-03	1.92E-02	1.96E-02	2.08E-02	9.28E-03	2.06E-07	2.94E-03	1.77E-02	1.40E-02	1.95E-02	2.79E-02	2.64E-02	8.19E-03
CC>GA	2.94E-30	3.06E-03	1.30E-02	1.26E-02	1.17E-02	4.40E-03	2.93E-03	1.20E-02	8.51E-03	6.62E-03	3.37E-03	2.44E-05	1.92E-02
CC>GG	9.52E-08	2.65E-07	3.00E-07	2.13E-03	3.20E-03	5.24E-07	5.04E-07	3.52E-07	3.66E-07	9.56E-07	1.82E-06	1.87E-06	8.58E-07
CC>GT	5.30E-03	2.80E-46	8.28E-03	0.00E+00	0.00E+00	1.64E-02	1.77E-02	1.46E-08	9.86E-03	2.13E-02	2.09E-02	3.02E-02	2.54E-02
CC>TA	9.02E-03	5.55E-03	4.95E-03	3.28E-07	1.26E-02	7.15E-07	5.19E-03	2.87E-07	5.82E-07	1.07E-06	6.43E-03	1.81E-02	1.64E-02
CC>TG	2.11E-03	2.53E-03	2.32E-07	3.05E-07	4.84E-07	5.56E-07	4.89E-07	1.17E-07	5.63E-07	9.93E-07	1.57E-06	1.81E-06	1.01E-06
CC>TT	2.21E-02	1.03E-02	1.44E-02	7.96E-03	3.56E-02	1.28E-02	2.00E-02	9.35E-03	2.53E-02	9.11E-03	6.73E-03	6.56E-02	3.24E-02
CG>AT	4.67E-08	1.73E-07	7.80E-07	2.69E-07	6.28E-07	7.46E-07	1.17E-05	3.91E-07	4.76E-07	1.08E-06	3.37E-03	1.93E-06	1.20E-02
CG>GC	8.65E-08	1.82E-07	3.01E-07	6.01E-07	4.41E-07	5.38E-07	3.80E-07	3.22E-07	3.50E-07	1.02E-06	1.62E-06	1.88E-06	8.67E-07
CG>GT	1.61E-07	4.87E-03	2.20E-03	6.76E-07	5.05E-07	6.19E-07	5.34E-07	2.84E-07	3.39E-07	1.23E-06	9.30E-03	1.30E-02	6.39E-03
CG>TA	1.96E-07	3.02E-07	2.18E-07	5.24E-03	2.10E-07	3.89E-07	3.98E-07	5.26E-07	5.85E-03	1.58E-02	1.90E-02	1.15E-02	2.50E-02
CG>TC	8.65E-08	1.82E-07	3.01E-07	6.01E-07	4.41E-07	5.38E-07	3.80E-07	3.22E-07	3.50E-07	1.02E-06	1.62E-06	1.88E-06	8.67E-07
CG>TT	8.65E-08	1.82E-07	3.01E-07	6.01E-07	4.41E-07	5.38E-07	3.80E-07	3.22E-07	3.50E-07	1.02E-06	1.62E-06	1.88E-06	8.67E-07
CT>AA	6.52E-03	5.35E-03	2.84E-03	1.21E-02	1.98E-02	3.22E-02	6.31E-04	1.51E-02	4.30E-03	1.27E-02	6.47E-02	1.52E-02	3.96E-03
CT>AC	2.46E-07	4.68E-03	2.49E-07	6.64E-07	4.52E-07	4.37E-07	5.30E-03	3.32E-07	6.26E-07	1.10E-06	8.80E-03	2.60E-06	5.95E-07
CT>AG	1.52E-07	4.56E-03	4.89E-03	1.23E-02	6.54E-03	5.45E-07	4.84E-02	9.27E-03	8.60E-03	1.05E-02	1.78E-06	3.92E-03	1.02E-06
CT>GA	7.13E-08	1.85E-03	2.71E-03	7.96E-03	3.01E-07	4.47E-07	1.77E-03	7.82E-03	6.29E-07	1.13E-06	3.37E-03	2.19E-06	8.59E-07
CT>GC	4.16E-03	2.29E-07	3.47E-07	2.60E-03	3.38E-07	7.53E-07	5.30E-03	2.13E-03	5.51E-07	1.04E-06	1.50E-06	1.36E-02	1.34E-06
CT>GG	3.22E-03	2.49E-07	6.48E-03	7.94E-03	4.95E-03	6.07E-07	7.56E-07	4.25E-03	1.15E-02	1.08E-06	1.70E-06	7.24E-07	1.23E-06
CT>TA	1.70E-02	8.78E-03	6.65E-08	1.15E-06	9.27E-03	1.30E-02	1.19E-02	1.17E-07	8.60E-03	7.54E-03	1.87E-02	2.00E-06	2.58E-02
CT>TC	8.00E-03	2.53E-07	2.98E-07	5.03E-07	3.60E-07	1.40E-02	2.86E-07	1.04E-07	4.60E-07	1.14E-06	1.69E-06	1.86E-06	6.39E-03
CT>TG	2.08E-07	2.35E-07	2.11E-07	2.13E-03	5.83E-07	7.68E-07	1.56E-06	2.13E-03	6.22E-07	2.69E-02	1.95E-06	8.93E-03	7.08E-02
GC>AA	6.36E-03	9.99E-03	2.09E-02	4.12E-03	1.31E-02	2.69E-02	2.16E-02	2.02E-02	1.16E-02	8.01E-03	1.75E-02	5.74E-07	1.48E-02
GC>AG	7.91E-03	1.30E-02	1.07E-02	7.12E-03	5.77E-03	4.26E-07	2.57E-02	9.86E-03	4.30E-03	5.79E-08	1.76E-02	2.65E-06	2.39E-02
GC>AT	2.10E-07	1.94E-07	1.06E-02	5.94E-07	1.12E-02	6.01E-07	5.24E-07	2.01E-08	1.63E-02	7.23E-03	1.90E-02	1.90E-02	4.32E-07
GC>CA	3.09E-03	1.95E-03	1.09E-07	4.25E-03	4.37E-07	9.78E-07	3.54E-03	8.24E-03	1.16E-02	7.33E-03	3.37E-03	9.67E-03	1.61E-02
GC>CG	8.65E-08	1.82E-07	3.01E-07	6.01E-07	4.41E-07	5.38E-07	3.80E-07	3.22E-07	3.50E-07	1.02E-06	1.62E-06	1.88E-06	8.67E-07
GC>TA	2.13E-07	1.18E-02	2.54E-07	4.25E-03	3.78E-07	5.53E-07	7.08E-07	6.38E-03	6.84E-07	7.33E-03	1.84E-02	1.15E-02	1.15E-05
TA>AT	2.13E-03	1.85E-03	1.91E-07	6.31E-03	3.80E-03	1.06E-06	1.77E-03	1.02E-02	6.25E-03	6.08E-03	3.37E-03	1.88E-06	2.21E-02
TA>CG	1.45E-07	1.63E-07	2.60E-07	4.26E-03	4.50E-07	6.18E-07	4.00E-07	3.60E-07	2.65E-07	1.10E-06	1.80E-06	1.90E-06	9.79E-03
TA>CT	1.77E-07	1.25E-03	5.42E-07	3.97E-03	2.13E-03	4.44E-07	1.77E-03	5.94E-03	2.56E-02	1.23E-02	1.80E-06	1.24E-02	4.65E-06
TA>GC	8.65E-08	1.82E-07	3.01E-07	6.01E-07	4.41E-07	5.38E-07	3.80E-07	3.22E-07	3.50E-07	1.02E-06	1.62E-06	1.88E-06	8.67E-07
TA>GG	1.10E-07	1.70E-07	1.98E-07	6.30E-07	2.46E-07	6.32E-07	3.36E-07	3.61E-07	2.82E-07	7.33E-03	1.96E-06	1.91E-06	1.72E-02
TA>GT	1.73E-07	7.40E-03	2.52E-07	3.56E-03	4.18E-07	6.53E-07	7.16E-07	7.52E-03	7.84E-07	7.15E-03	1.86E-02	5.77E-03	8.88E-07
TC>AA	3.11E-03	2.76E-02	7.29E-03	5.85E-03	2.72E-02	3.89E-02	4.55E-02	8.07E-03	2.43E-02	1.49E-02	1.01E-02	1.66E-02	3.31E-02
TC>AG	1.42E-02	8.43E-03	0.00E+00	2.13E-03	1.46E-02	2.17E-02	7.58E-07	4.25E-03	4.30E-03	3.16E-02	1.90E-02	1.04E-06	6.19E-07
TC>AT	1.69E-02	1.40E-02	2.13E-03	6.99E-03	4.44E-03	3.05E-10	2.52E-02	7.71E-03	1.58E-02	8.88E-03	3.13E-02	3.41E-02	2.07E-03
TC>CA	6.44E-03	8.07E-03	4.24E-03	1.24E-02	1.37E-02	1.16E-02	1.49E-02	1.03E-02	9.33E-03	2.59E-02	2.28E-06	3.14E-02	9.00E-07
TC>CG	2.52E-07	9.12E-03	2.34E-07	1.04E-02	3.73E-07	7.04E-07	8.40E-07	4.26E-03	5.30E-07	1.25E-06	7.01E-03	1.28E-02	8.20E-03
TC>CT	1.27E-02	6.54E-03	1.39E-02	1.02E-02	4.43E-07	9.94E-07	4.68E-07	1.19E-02	1.16E-24	3.22E-03	5.51E-02	2.97E-03	1.35E-06
TC>GA	5.06E-09	1.12E-02	7.43E-03	5.83E-03	2.31E-02	4.91E-03	1.26E-02	1.06E-02	5.71E-07	3.23E-03	4.99E-03	3.01E-06	1.14E-06
TC>GG	5.04E-03	2.72E-07	5.16E-03	3.98E-03	4.95E-03	2.58E-07	9.00E-07	4.26E-03	6.19E-07	1.15E-06	1.60E-06	2.16E-06	1.17E-06
TC>GT	1.70E-03	3.70E-03	4.22E-30	2.13E-07	3.94E-07	5.79E-07	1.77E-03	2.32E-07	2.09E-02	2.14E-02	1.83E-02	1.31E-02	2.39E-02
TG>AA	1.86E-07	4.19E-03	5.29E-03	6.19E-03	7.43E-03	7.07E-07	5.83E-04	4.26E-03	7.89E-07	1.35E-06	3.67E-03	2.89E-06	1.07E-06
TG>AC	1.08E-07	2.48E-07	6.76E-03	2.14E-07	2.47E-03	6.81E-07	3.67E-07	3.29E-07	1.92E-07	1.11E-06	1.60E-06	2.36E-06	1.19E-06
TG>AT	8.14E-08	4.64E-03	4.65E-03	9.27E-03	3.33E-02	1.14E-03	1.12E-02	1.45E-02	2.66E-02	5.26E-03	1.37E-02	6.56E-06	3.98E-02
TG>CA	3.76E-03	5.43E-03	1.88E-03	9.01E-03	1.47E-02	3.84E-02	2.13E-06	1.61E-02	6.85E-08	2.20E-02	1.28E-06	1.41E-02	2.93E-02
TG>CC	3.21E-03	2.46E-07	3.62E-07	7.12E-03	5.46E-07	5.58E-07	9.47E-03	4.24E-03	7.02E-07	9.65E-03	1.25E-02	6.02E-03	4.52E-07
TG>CT	1.23E-43	5.05E-03	9.01E-03	2.52E-02	2.78E-02	6.49E-07	3.69E-02	1.15E-02	4.30E-03	2.17E-02	2.53E-03	9.66E-02	1.93E-05
TG>GA	6.91E-08	2.37E-07	3.65E-07	4.25E-03	4.74E-07	6.10E-07	6.00E-07	5.21E-03	2.21E-07	1.15E-06	1.55E-06	1.65E-06	1.09E-06
TG>GC	5.88E-08	2.33E-07	1.92E-07	4.24E-03	2.19E-07	5.77E-07	2.92E-07	8.51E-03	6.59E-03	1.04E-06	1.75E-06	1.96E-06	6.39E-03
TG>GT	3.91E-03	6.20E-03	1.55E-07	7.79E-03	4.54E-03	1.02E-06	7.70E-07	4.26E-03	5.96E-07	9.97E-03	1.26E-02	3.92E-03	1.58E-03
TT>AA	3.72E-03	5.55E-03	2.19E-03	1.06E-02	3.15E-03	8.65E-07	8.91E-07	1.04E-02	7.22E-03	1.10E-06	1.84E-02	7.63E-03	2.24E-02
TT>AC	5.16E-08	2.44E-07	2.90E-07	3.97E-03	2.55E-07	5.80E-07	6.28E-07	7.82E-03	2.90E-07	1.19E-06	1.52E-06	1.64E-06	1.11E-06
TT>AG	1.78E-07	2.51E-07	1.49E-07	7.86E-03	5.67E-07	4.49E-07	4.74E-07	3.11E-03	1.30E-02	6.06E-07	1.55E-06	1.65E-06	4.35E-06
TT>CA	5.07E-03	2.20E-07	3.73E-07	6.16E-07	4.46E-07	6.39E-07	3.16E-07	1.41E-07	5.75E-07	1.04E-06	1.64E-06	1.97E-06	8.71E-07
TT>CC	3.26E-03	2.66E-07	3.00E-03	8.15E-07	5.62E-07	5.99E-07	4.10E-07	1.41E-07	7.66E-07	1.17E-06	1.81E-06	2.17E-06	7.76E-07
TT>CG	1.89E-07	2.59E-07	2.20E-03	5.71E-07	6.26E-07	6.44E-07	7.11E-07	3.78E-07	6.01E-07	1.18E-06	2.86E-02	1.89E-02	9.92E-07
TT>GA	8.65E-08	1.82E-07	3.01E-07	6.01E-07	4.41E-07	5.38E-07	3.80E-07	3.22E-07	3.50E-07	1.02E-06	1.62E-06	1.88E-06	8.67E-07
TT>GC	2.46E-07	2.70E-07	1.27E-07	5.24E-03	5.30E-05	8.11E-07	5.42E-07	1.72E-07	2.15E-02	5.26E-03	1.84E-06	1.90E-06	5.15E-07
TT>GG	7.48E-08	2.40E-07	5.66E-07	3.56E-03	6.60E-07	5.58E-07	5.34E-07	6.78E-03	2.02E-07	1.03E-06	1.63E-06	1.98E-06	9.09E-07
