MutationType	DBS2	DBS13	DBS20	DBS78A	DBS78C
CG>TA	0.00000000	0.00065557	0.00051120	0.00542837	0.00398857
CG>TC	0.00215045	0.00221426	0.00127668	0.02287615	0.00732561
CG>TT	0.00556118	0.00164313	0.00039108	0.01244932	0.00890277
CT>AA	0.00321068	0.06168987	0.00960691	0.00007257	0.00007288
CT>AC	0.00000000	0.02589689	0.00569839	0.00456749	0.00352205
CT>AG	0.00058712	0.01328834	0.00057029	0.02821334	0.01237682
CT>GA	0.00001810	0.00109409	0.00312897	0.00337397	0.01067078
CT>GC	0.00013403	0.00388039	0.00063377	0.00007257	0.00007288
CT>GG	0.00008980	0.00264999	0.00050315	0.01268327	0.00910315
CT>TA	0.00338071	0.03108580	0.01808698	0.03520218	0.01836321
CT>TC	0.00003840	0.00851099	0.00065994	0.00745084	0.00248971
CT>TG	0.00039008	0.00391349	0.00600496	0.02914111	0.01551810
GC>AA	0.00508108	0.00000003	0.01018321	0.00001298	0.37538045
GC>AG	0.00032507	0.01696915	0.00971442	0.01984447	0.01284849
GC>AT	0.00095320	0.01737239	0.01683102	0.05160890	0.02250656
GC>CA	0.00106022	0.01039921	0.00996847	0.00549993	0.00671444
GC>CG	0.00006690	0.00086487	0.00098246	0.00007257	0.00007288
GC>TA	0.00073616	0.00003390	0.00031415	0.01891492	0.00326150
TA>AT	0.00275058	0.00624589	0.16094933	0.01854146	0.01312640
TA>CG	0.00001890	0.00024471	0.00644311	0.00007257	0.00007288
TA>CT	0.00028006	0.01638484	0.11690854	0.02899981	0.00856804
TA>GC	0.00008220	0.00012677	0.00286647	0.00007257	0.00007288
TA>GG	0.00007890	0.00059345	0.00980494	0.00007257	0.00007288
TA>GT	0.00130028	0.00614737	0.05618043	0.00007257	0.00007288
TC>AA	0.00145031	0.06810894	0.18018691	0.01676570	0.03542147
TC>AG	0.00020004	0.06721666	0.00799556	0.04632040	0.00895045
TC>AT	0.00000000	0.15791239	0.02395770	0.00002026	0.00763499
TC>CA	0.00068214	0.03750799	0.01512029	0.01020311	0.01449880
TC>CG	0.00000389	0.00722690	0.00047311	0.01888236	0.01181858
TC>CT	0.00335071	0.03250165	0.01822673	0.02921647	0.02289413
TC>GA	0.00088519	0.01158433	0.00704212	0.07569427	0.01832811
TC>GG	0.00000987	0.01538438	0.00095776	0.00293140	0.00994582
TC>GT	0.00008570	0.03331173	0.00543547	0.01509425	0.00304890
TG>AA	0.00296063	0.01924088	0.02281667	0.00604549	0.03231855
TG>AC	0.00022005	0.00442355	0.00386415	0.00007257	0.00007288
TG>AT	0.00429091	0.01851971	0.04884615	0.05201166	0.01088195
TG>CA	0.00014403	0.02863780	0.00243813	0.00317621	0.00304006
TG>CC	0.00005940	0.00520651	0.00013112	0.00509090	0.00246418
TG>CT	0.00307065	0.01650479	0.01212043	0.02910325	0.01440243
TG>GA	0.00147031	0.00610512	0.01915110	0.01374107	0.00206911
TG>GC	0.00027206	0.00219436	0.00051919	0.00007257	0.00007288
TG>GT	0.00640136	0.01916183	0.00525343	0.01301077	0.01266042
TT>AA	0.00431091	0.01318549	0.06266200	0.00007257	0.00007288
TT>AC	0.00034507	0.00147249	0.01054644	0.01202958	0.00303542
TT>AG	0.00021505	0.00579217	0.01556096	0.00806810	0.00308370
TT>CA	0.00000000	0.00380848	0.00064064	0.00007257	0.00007288
TT>CC	0.00000298	0.00000105	0.00275531	0.00007257	0.00007288
TT>CG	0.00001520	0.00085676	0.00098567	0.00007257	0.00007288
TT>GA	0.00004790	0.00282684	0.00134789	0.00736162	0.00269466
TT>GC	0.00000154	0.00075511	0.00271044	0.00007257	0.00007288
TT>GG	0.00000000	0.00000232	0.00018887	0.00344042	0.00289940
