MutationType	DBS1	DBS2	DBS4	DBS6	DBS10	DBS11	DBS13	DBS17	DBS18	DBS78I	DBS78K	DBS78L
CG>GC	0.00000542	0.00036908	0.00000510	0.00059013	0.00001900	0.00016599	0.00117069	0.00233536	0.00003220	0.00000763	0.00000265	0.00000710
CG>GT	0.00000170	0.00128027	0.00000000	0.00322069	0.00001020	0.00117992	0.00236357	0.00476132	0.00161280	0.02754960	0.00000145	0.05187272
CG>TA	0.00035609	0.00000000	0.00000000	0.00000000	0.35801552	0.00000000	0.00065557	0.00584808	0.00025472	0.02214739	0.00000194	0.01370382
CG>TC	0.00001260	0.00215045	0.00000000	0.00891191	0.00265012	0.00068495	0.00221426	0.00563701	0.00120722	0.00000763	0.00000265	0.00000710
CG>TT	0.00012403	0.00556118	0.00036116	0.01870401	0.00777034	0.00069895	0.00164313	0.01232192	0.00254547	0.00000763	0.00000265	0.00000710
CT>AA	0.00002770	0.00321068	0.00000000	0.00448096	0.00393017	0.00439970	0.06168987	0.01041216	0.02653683	0.01585743	0.03576775	0.01370274
CT>AC	0.00041911	0.00000000	0.00000000	0.00195042	0.01300056	0.00234984	0.02589689	0.01459908	0.02614757	0.00000697	0.00000304	0.00000629
CT>AG	0.00000000	0.00058712	0.00036316	0.03950848	0.02650115	0.00049597	0.01328834	0.00812751	0.00726700	0.05770078	0.01910389	0.00831486
CT>GA	0.00008920	0.00001810	0.00067330	0.00734158	0.00000000	0.01159921	0.00109409	0.00552022	0.00364736	0.00264942	0.00000230	0.00000502
CT>GC	0.00025206	0.00013403	0.00007220	0.00179038	0.00000000	0.00610958	0.00388039	0.01109459	0.00122454	0.00000374	0.00507498	0.00000584
CT>GG	0.00001080	0.00008980	0.00092641	0.00681146	0.00000000	0.00401973	0.00264999	0.00774922	0.00198528	0.00529019	0.01874843	0.02456935
CT>TA	0.00781198	0.00338071	0.00000000	0.00008840	0.00403018	0.04169716	0.03108580	0.00091217	0.00952199	0.01687530	0.01692257	0.02054829
CT>TC	0.01050267	0.00003840	0.00000000	0.00000000	0.00275012	0.00298980	0.00851099	0.01873298	0.00632082	0.00000448	0.01249705	0.06024840
CT>TG	0.00224057	0.00039008	0.00003080	0.01120240	0.04570198	0.00147990	0.00391349	0.02444075	0.00259603	0.02214218	0.00749861	0.00000565
GC>AA	0.00158040	0.00508108	0.32814716	0.00000000	0.00408018	0.00099993	0.00000003	0.12592949	0.03483500	0.05205751	0.01590783	0.06643780
GC>AG	0.00010703	0.00032507	0.01130507	0.00366079	0.00000000	0.00328978	0.01696915	0.01890403	0.04229653	0.01645109	0.00583628	0.01491224
GC>AT	0.00004870	0.00095320	0.00924415	0.00188040	0.00775034	0.02719815	0.01737239	0.04625069	0.05069040	0.03840323	0.03813269	0.01947917
GC>CA	0.00005760	0.00106022	0.01190534	0.00869187	0.00010501	0.00210986	0.01039921	0.01134939	0.02342080	0.02859062	0.00457923	0.03944619
GC>CG	0.00000515	0.00006690	0.00000098	0.00000000	0.00000000	0.00403973	0.00086487	0.00036973	0.00193531	0.00000763	0.00000265	0.00000710
GC>TA	0.00000083	0.00073616	0.01770794	0.00082918	0.00281012	0.00024298	0.00003390	0.00875514	0.01902483	0.00000807	0.00000204	0.02055437
TA>AT	0.00050513	0.00275058	0.03041364	0.00857184	0.01040045	0.00222985	0.00624589	0.00876246	0.01045004	0.00738619	0.01166292	0.01832107
TA>CG	0.00000755	0.00001890	0.00038918	0.00025906	0.00411018	0.00058396	0.00024471	0.00728658	0.00192574	0.01003270	0.00915863	0.00000534
TA>CT	0.00070218	0.00028006	0.00872391	0.02610560	0.00162007	0.00337977	0.01638484	0.01692123	0.01114200	0.00264517	0.01874912	0.02456775
TA>GC	0.00002010	0.00008220	0.00007020	0.00026406	0.00000000	0.00101993	0.00012677	0.00070131	0.00026241	0.00000763	0.00000265	0.00000710
TA>GG	0.00007030	0.00007890	0.00222100	0.00021805	0.00859037	0.00037497	0.00059345	0.00588205	0.00374396	0.01477054	0.00915864	0.00000601
TA>GT	0.00115029	0.00130028	0.00806362	0.00006250	0.00361016	0.00266982	0.00614737	0.01238385	0.00703109	0.00000651	0.00000252	0.00000639
TC>AA	0.00001090	0.00145031	0.37917005	0.04580983	0.00756033	0.00021698	0.06810894	0.05815784	0.00367499	0.06560414	0.12032121	0.02950052
TC>AG	0.00000309	0.00020004	0.00187084	0.00828178	0.00027101	0.04739677	0.06721666	0.00023258	0.01185058	0.00562648	0.02453097	0.02074798
TC>AT	0.00246063	0.00000000	0.00841377	0.00059413	0.00309013	0.08459423	0.15791239	0.00131200	0.07356488	0.01587582	0.02856052	0.02948232
TC>CA	0.00000442	0.00068214	0.08463796	0.01180253	0.02520109	0.00028198	0.03750799	0.00534883	0.01880728	0.00869188	0.00624905	0.01240502
TC>CG	0.00003300	0.00000389	0.00040018	0.00086219	0.00084204	0.00323978	0.00722690	0.00164163	0.00219228	0.00264910	0.00000189	0.00000519
TC>CT	0.00190048	0.00335071	0.00000828	0.00939202	0.02620114	0.02009863	0.03250165	0.02070633	0.02551303	0.00000194	0.00000197	0.02055283
TC>GA	0.00006420	0.00088519	0.03641633	0.00734158	0.04380190	0.00023498	0.01158433	0.00622415	0.00190081	0.00793088	0.00416805	0.01595694
TC>GG	0.00041110	0.00000987	0.00001040	0.00151032	0.00000000	0.00732950	0.01538438	0.00028347	0.00183872	0.00000561	0.00000160	0.00000536
TC>GT	0.00510130	0.00008570	0.00000000	0.00000000	0.04590199	0.01519896	0.03331173	0.00038857	0.00812228	0.00000465	0.01874738	0.01720651
TG>AA	0.00137035	0.00296063	0.00763342	0.02550547	0.00142006	0.00782947	0.01924088	0.00824444	0.01004784	0.00000549	0.00000286	0.00000422
TG>AC	0.00023706	0.00022005	0.00011805	0.01010217	0.00020701	0.00086594	0.00442355	0.00232139	0.00451536	0.00000740	0.00000265	0.00000676
TG>AT	0.00241061	0.00429091	0.00000000	0.22104743	0.00250011	0.01049928	0.01851971	0.00910307	0.02696959	0.00015095	0.03944827	0.01431073
TG>CA	0.00027907	0.00014403	0.00080436	0.01140245	0.02920127	0.05609617	0.02863780	0.14554516	0.01573682	0.00870247	0.04590192	0.00279193
TG>CC	0.00010303	0.00005940	0.00012005	0.00789169	0.00019001	0.00312979	0.00520651	0.01729274	0.00378254	0.01278167	0.00000316	0.00685683
TG>CT	0.00185047	0.00307065	0.00008210	0.27505902	0.00433019	0.00557962	0.01650479	0.00373540	0.01057465	0.17004220	0.04348781	0.00723352
TG>GA	0.00040710	0.00147031	0.00785352	0.00744160	0.00002020	0.00730950	0.00610512	0.00996574	0.00077124	0.00529285	0.00000229	0.00000545
TG>GC	0.00008890	0.00027206	0.00060427	0.00560120	0.00000000	0.00611958	0.00219436	0.00747641	0.00083096	0.00000613	0.00625094	0.01207425
TG>GT	0.00190048	0.00640136	0.00003230	0.02740588	0.00217009	0.00523964	0.01916183	0.00323767	0.00310198	0.00264534	0.01833574	0.00000400
TT>AA	0.00549140	0.00431091	0.00001800	0.00019304	0.01450063	0.00476968	0.01318549	0.00021184	0.02723286	0.08482970	0.00624923	0.01452915
TT>AC	0.00072018	0.00034507	0.00000066	0.00012803	0.00000000	0.00103993	0.00147249	0.01197658	0.01746798	0.00529257	0.00000252	0.00000626
TT>AG	0.00041811	0.00021505	0.00000000	0.00212045	0.00696030	0.00126991	0.00579217	0.00640216	0.00804527	0.00000530	0.00000261	0.01833613
TT>CA	0.00072518	0.00000000	0.00000000	0.00000000	0.00129006	0.00201986	0.00380848	0.01389748	0.01696879	0.00000573	0.00000184	0.00000625
TT>CC	0.00542138	0.00000298	0.00000000	0.00000000	0.00288012	0.00399973	0.00000105	0.00000380	0.00000021	0.00000691	0.00000206	0.00000599
TT>CG	0.00008380	0.00001520	0.00000000	0.00001120	0.00858037	0.00000000	0.00085676	0.00637330	0.00382531	0.03196143	0.00000238	0.00000698
TT>GA	0.00186047	0.00004790	0.00000000	0.00000000	0.00869038	0.00070695	0.00282684	0.00866266	0.00135720	0.00000763	0.00000265	0.00000710
TT>GC	0.00106027	0.00000154	0.00000000	0.00000041	0.02580112	0.00000578	0.00075511	0.01817436	0.00270108	0.00000714	0.00000243	0.00000636
TT>GG	0.00161041	0.00000000	0.00000000	0.00000000	0.08470367	0.00000000	0.00000232	0.00000475	0.00000040	0.00000673	0.00000380	0.00000720
