MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M
GC>AT	2.94E-06	3.62E-06	4.57E-06	1.40E-02	3.63E-06	4.91E-02	3.61E-06	9.96E-03	1.59E-02	1.25E-02	4.04E-06	1.35E-02	2.25E-02
GC>CA	8.49E-03	2.28E-03	8.75E-03	4.57E-03	7.64E-03	4.53E-03	6.07E-03	1.75E-03	5.96E-03	7.00E-03	1.56E-02	1.17E-02	7.72E-03
GC>CG	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
GC>TA	2.47E-02	4.19E-06	9.23E-03	3.46E-06	2.34E-03	1.56E-02	8.68E-03	6.59E-03	3.77E-06	3.88E-06	1.06E-02	4.23E-03	2.73E-03
TA>AT	1.39E-02	1.15E-03	1.40E-02	6.88E-03	3.03E-06	5.86E-03	1.06E-02	7.12E-03	2.88E-03	7.99E-03	1.40E-02	7.38E-03	8.23E-03
TA>CG	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
TA>CT	8.27E-03	2.29E-03	5.86E-03	3.08E-06	6.34E-03	1.17E-02	1.89E-02	2.96E-06	6.15E-03	5.86E-03	1.33E-02	9.52E-03	5.24E-03
TA>GC	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
TA>GG	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
TA>GT	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
TC>AA	2.59E-06	2.25E-06	3.81E-06	1.93E-06	3.20E-06	4.47E-06	3.65E-06	2.58E-06	2.89E-02	2.98E-06	3.57E-06	2.97E-06	5.21E-06
TC>AG	3.64E-06	3.38E-06	4.56E-06	1.94E-02	3.29E-06	3.94E-06	3.30E-06	2.99E-06	3.22E-06	3.29E-06	6.30E-06	4.09E-02	1.05E-02
TC>AT	3.59E-06	2.37E-06	4.17E-06	2.91E-02	9.81E-03	1.29E-05	3.35E-06	3.19E-06	2.85E-06	3.14E-06	4.84E-06	1.97E-03	3.83E-06
TC>CA	2.53E-02	6.04E-03	5.28E-03	3.02E-03	7.92E-03	4.86E-06	1.32E-02	3.85E-03	4.69E-03	2.77E-03	1.74E-02	5.02E-06	6.63E-03
TC>CG	1.85E-02	3.11E-03	8.39E-03	2.22E-03	3.77E-06	1.52E-02	1.44E-02	9.49E-03	6.38E-03	7.32E-03	3.01E-03	1.11E-02	1.21E-02
TC>CT	4.25E-06	3.21E-03	2.83E-06	7.22E-03	8.57E-03	3.35E-06	4.44E-02	1.48E-02	3.09E-06	3.22E-06	1.04E-02	1.08E-02	1.38E-02
TC>GA	3.19E-06	5.90E-03	3.81E-06	2.56E-06	9.02E-03	4.05E-06	4.21E-06	1.49E-02	3.55E-06	1.51E-02	3.83E-06	4.46E-06	4.02E-02
TC>GG	1.21E-02	2.66E-03	6.79E-03	3.29E-06	4.94E-03	1.38E-02	9.80E-03	6.53E-03	2.48E-06	4.94E-03	6.86E-03	4.15E-03	9.01E-03
TC>GT	9.12E-03	5.86E-03	1.66E-02	1.25E-02	4.97E-06	2.75E-02	3.85E-06	1.28E-02	4.15E-03	2.12E-02	3.51E-02	2.13E-02	7.19E-03
TG>AA	2.04E-02	4.41E-03	1.77E-02	3.61E-06	4.26E-03	1.60E-02	1.51E-02	1.64E-02	9.11E-03	9.57E-03	1.95E-02	4.05E-06	2.21E-02
TG>AC	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
TG>AT	6.65E-03	4.28E-03	3.24E-02	4.34E-03	1.20E-02	1.28E-02	1.59E-02	7.67E-03	8.93E-03	1.69E-02	5.29E-06	8.85E-03	4.29E-06
TG>CA	6.74E-03	1.87E-06	7.84E-03	2.20E-03	1.85E-03	2.98E-03	2.90E-03	1.66E-03	1.84E-03	1.95E-03	3.22E-03	4.03E-03	4.78E-03
TG>CC	4.43E-03	2.89E-06	3.69E-03	2.01E-03	2.89E-06	7.38E-03	6.73E-03	2.64E-03	2.83E-06	6.63E-03	1.06E-02	7.21E-03	2.90E-03
TG>CT	2.04E-02	4.37E-03	2.37E-03	1.00E-03	2.29E-03	1.51E-02	2.09E-02	2.34E-02	1.00E-05	1.29E-02	3.79E-06	1.24E-02	1.73E-02
TG>GA	7.68E-03	3.51E-06	9.93E-03	2.66E-03	2.99E-06	3.69E-06	1.11E-02	3.85E-03	3.26E-06	5.90E-03	5.54E-03	3.91E-03	3.01E-03
TG>GC	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
TG>GT	1.11E-02	2.93E-03	9.17E-03	5.69E-03	4.92E-03	3.69E-03	6.02E-03	2.69E-06	3.63E-03	1.33E-03	6.04E-03	1.74E-03	6.27E-03
TT>AA	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
TT>AC	1.48E-02	3.21E-06	1.12E-02	7.56E-03	4.24E-03	2.22E-03	2.56E-03	3.94E-03	4.79E-03	9.06E-03	7.42E-03	4.26E-06	8.02E-03
TT>AG	5.08E-03	1.77E-03	4.32E-03	1.15E-03	1.90E-06	6.61E-03	2.76E-03	3.52E-03	2.76E-03	1.51E-03	5.64E-03	2.07E-03	3.48E-03
TT>CA	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
TT>CC	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
TT>CG	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
TT>GA	8.29E-03	1.97E-03	1.05E-02	2.43E-03	1.81E-03	6.35E-03	3.16E-03	1.51E-03	2.98E-03	3.02E-03	2.08E-03	2.80E-03	3.40E-03
TT>GC	2.79E-06	8.83E-07	2.76E-06	1.40E-06	9.11E-07	2.23E-06	1.84E-06	1.76E-06	1.00E-06	1.39E-06	2.13E-06	2.54E-06	1.99E-06
TT>GG	3.99E-03	1.84E-03	6.33E-03	1.44E-03	2.38E-03	1.75E-03	5.53E-03	3.02E-03	1.67E-06	2.22E-03	8.99E-03	3.88E-03	2.80E-03
