MutationType	DBS1	DBS2	DBS78A	DBS78B	DBS78C	DBS78D	DBS78F	DBS78G	DBS78H	DBS78I	DBS78K	DBS78L	DBS78M
AT>CG	0.00000398	0.00000000	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
AT>GA	0.00212054	0.00016804	0.00788743	0.00424709	0.02668994	0.00119551	0.00617882	0.00190519	0.00171419	0.00453148	0.00959912	0.00420482	0.00466155
AT>GC	0.00017404	0.00000585	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
AT>TA	0.00234060	0.00045810	0.00198746	0.00536597	0.02492910	0.00003669	0.06966313	0.00515838	0.00179238	0.01685494	0.00004639	0.00740698	0.00559815
CC>AA	0.00001060	0.72415324	0.00002737	0.00002406	0.00002706	0.00001388	0.00002560	0.00003357	0.00002161	0.00001584	0.00002110	0.00001532	0.00002691
CC>AG	0.00001230	0.07261537	0.00002604	0.00914945	0.00002400	0.02884233	0.00003289	0.00002818	0.51910766	0.01260163	0.00003036	0.00001866	0.00002925
CC>AT	0.01870475	0.10002116	0.00606777	0.00505232	0.00003635	0.02246866	0.01108835	0.00280783	0.01330921	0.00724059	0.30411252	0.01158354	0.00003523
CC>GA	0.00013403	0.01770375	0.00626376	0.00601149	0.00784520	0.00002696	0.02261475	0.04982371	0.02216996	0.04678593	0.01551011	0.02756509	0.03275382
CC>GG	0.00009820	0.00045010	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
CC>GT	0.00692176	0.00110023	0.01902520	0.00401918	0.02297055	0.00477327	0.04292109	0.02428744	0.00004032	0.00762455	0.02670577	0.01184359	0.01480942
CC>TA	0.01040264	0.01600339	0.01050564	0.00002001	0.02670240	0.00001324	0.01454023	0.09688627	0.02013620	0.01146887	0.03358718	0.05642662	0.03253328
CC>TG	0.00255065	0.00023705	0.02454708	0.00004763	0.01220065	0.00148085	0.02803293	0.00515994	0.01072484	0.00599999	0.01944465	0.01629514	0.00669546
CC>TT	0.85821813	0.00000000	0.00002560	0.00001132	0.00002618	0.00002224	0.00002386	0.00002544	0.00002357	0.00001083	0.00003426	0.01358472	0.00002648
CG>AT	0.00000060	0.00115024	0.02094319	0.00120717	0.01228689	0.00263675	0.00588015	0.01171784	0.00171482	0.00138903	0.00876752	0.00549964	0.00746253
CG>GC	0.00000542	0.00036908	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
CG>GT	0.00000170	0.00128027	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
CG>TA	0.00035609	0.00000000	0.01417132	0.00006341	0.00227634	0.00005076	0.00717383	0.00830090	0.00588927	0.00748221	0.00171824	0.00445526	0.01057811
CG>TC	0.00001260	0.00215045	0.02440610	0.00306272	0.01405600	0.01232786	0.00502421	0.01357653	0.00419078	0.01344288	0.02947033	0.01700755	0.01124808
CG>TT	0.00012403	0.00556118	0.03574820	0.00778850	0.05066208	0.00913069	0.00004663	0.01650094	0.00004339	0.00005379	0.02619665	0.00003852	0.00005363
CT>AA	0.00002770	0.00321068	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
CT>AC	0.00041911	0.00000000	0.00646140	0.00079813	0.02162034	0.00401540	0.01008753	0.00713732	0.00710804	0.00449335	0.00338496	0.00522213	0.00006681
CT>AG	0.00000000	0.00058712	0.04013537	0.00490007	0.02506968	0.00002732	0.00780327	0.03881247	0.03247482	0.00003821	0.01763573	0.01762433	0.00004431
CT>GA	0.00008920	0.00001810	0.00727768	0.00098793	0.00514466	0.00224949	0.04977833	0.01070124	0.00226019	0.02434879	0.00004888	0.00004750	0.01891472
CT>GC	0.00025206	0.00013403	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
CT>GG	0.00001080	0.00008980	0.00527924	0.00335443	0.07370837	0.00811870	0.05105846	0.01010327	0.00456161	0.00436725	0.02047462	0.03118312	0.00833338
CT>TA	0.00781198	0.00338071	0.15676750	0.00436099	0.00004022	0.00434870	0.00003573	0.04348255	0.00455040	0.01167413	0.01210770	0.00579852	0.02409205
CT>TC	0.01050267	0.00003840	0.00005493	0.00231759	0.00338359	0.00573770	0.00006354	0.00805034	0.00634720	0.00826547	0.00658843	0.00579065	0.00683573
CT>TG	0.00224057	0.00039008	0.04635264	0.00445397	0.02091746	0.00579473	0.01958222	0.01781203	0.01653430	0.00461363	0.01873543	0.01385039	0.03836959
GC>AA	0.00158040	0.00508108	0.00002540	0.84812670	0.00004181	0.00001275	0.00003280	0.00003403	0.00001830	0.00002352	0.00002781	0.00001848	0.00002896
GC>AG	0.00010703	0.00032507	0.01100000	0.00003299	0.05739022	0.00949965	0.02870286	0.00832376	0.03027986	0.00808839	0.01809524	0.02765299	0.01200604
GC>AT	0.00004870	0.00095320	0.00002257	0.00001938	0.00002991	0.02434139	0.27396301	0.00002686	0.00997853	0.02245147	0.00002402	0.01940260	0.04031363
GC>CA	0.00005760	0.00106022	0.01042493	0.00321096	0.01974510	0.00868309	0.00615707	0.01026639	0.00178929	0.00824920	0.04353633	0.02019797	0.01123758
GC>CG	0.00000515	0.00006690	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
GC>TA	0.00000083	0.00073616	0.06614677	0.00004199	0.01333323	0.00003162	0.02872242	0.01694840	0.00864452	0.00004308	0.01558334	0.00569456	0.00397747
TA>AT	0.00050513	0.00275058	0.02851125	0.00118661	0.03316200	0.00692668	0.00590276	0.01803193	0.00715780	0.00292549	0.03710747	0.00742046	0.01133692
TA>CG	0.00000755	0.00001890	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
TA>CT	0.00070218	0.00028006	0.01194325	0.00232846	0.00590089	0.00002836	0.02412145	0.05336358	0.00003895	0.00845785	0.03433422	0.01634881	0.00528904
TA>GC	0.00002010	0.00008220	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
TA>GG	0.00007030	0.00007890	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
TA>GT	0.00115029	0.00130028	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
TC>AA	0.00001090	0.00145031	0.00001861	0.00001115	0.00001883	0.00000633	0.00003178	0.00002313	0.00002273	0.63011768	0.00002341	0.00001559	0.00003071
TC>AG	0.00000309	0.00020004	0.00002371	0.00001667	0.00003255	0.04046675	0.00002713	0.00003065	0.00002208	0.00001841	0.00002993	0.46087374	0.01050539
TC>AT	0.00246063	0.00000000	0.00002327	0.00001131	0.00002796	0.70333498	0.00004341	0.00002559	0.00002011	0.00001987	0.00002657	0.00201518	0.00002600
TC>CA	0.00000442	0.00068214	0.08103815	0.00609619	0.00766026	0.00309236	0.00004664	0.01877501	0.00388806	0.00619399	0.03372670	0.00003791	0.00668454
TC>CG	0.00003300	0.00000389	0.04727562	0.00315134	0.01117966	0.00224292	0.03070560	0.02125579	0.00952691	0.00921095	0.00305157	0.02465476	0.02159343
TC>CT	0.00190048	0.00335071	0.00002961	0.00323088	0.00003332	0.00723138	0.00002937	0.26965179	0.02113365	0.00002572	0.01040836	0.01553722	0.01994555
TC>GA	0.00006420	0.00088519	0.00002379	0.00591598	0.00002441	0.00001066	0.00001906	0.00002944	0.01495871	0.00002268	0.00002302	0.00002191	0.44082250
TC>GG	0.00041110	0.00000987	0.02078923	0.00270343	0.00940519	0.00003511	0.02957768	0.02051241	0.01131671	0.00004927	0.00991406	0.00419332	0.01906838
TC>GT	0.00510130	0.00008570	0.01245177	0.00588821	0.01665444	0.02605223	0.04458153	0.00004083	0.01281631	0.00418073	0.08051187	0.05512539	0.01021655
TG>AA	0.00137035	0.00296063	0.04095620	0.00637555	0.02328142	0.00002301	0.02839041	0.02446977	0.03491524	0.01165842	0.03646289	0.00002964	0.03873220
TG>AC	0.00023706	0.00022005	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
TG>AT	0.00241061	0.00429091	0.00668056	0.00430684	0.11069473	0.00436136	0.02287599	0.03235464	0.00769886	0.01232594	0.00003654	0.00887382	0.00004246
TG>CA	0.00027907	0.00014403	0.01548635	0.00006147	0.01607346	0.00321262	0.00434836	0.00418053	0.00171455	0.00190500	0.00457460	0.00841028	0.00962533
TG>CC	0.00010303	0.00005940	0.00618145	0.00006102	0.00374349	0.00206318	0.01456906	0.01128503	0.00385813	0.00006011	0.01466004	0.01024658	0.00423918
TG>CT	0.00185047	0.00307065	0.03768883	0.00590385	0.00241893	0.00102547	0.04223596	0.03609163	0.06706015	0.00004229	0.00003528	0.01247910	0.02636285
TG>GA	0.00040710	0.00147031	0.01308473	0.00006166	0.01285676	0.00270862	0.00006059	0.01113203	0.00559279	0.00006118	0.00559242	0.00395930	0.00308170
TG>GC	0.00008890	0.00027206	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
TG>GT	0.00190048	0.00640136	0.03436346	0.00299694	0.01636067	0.00708949	0.00375002	0.00815505	0.00004741	0.00856073	0.00609127	0.00178466	0.00803824
TT>AA	0.00549140	0.00431091	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
TT>AC	0.00072018	0.00034507	0.02294590	0.00005059	0.02101887	0.02010957	0.00227481	0.00260959	0.00525548	0.00771879	0.01504675	0.00004375	0.01592356
TT>AG	0.00041811	0.00021505	0.00990211	0.00322162	0.00613125	0.00119563	0.01707367	0.00282623	0.00630380	0.00490886	0.00999685	0.00212702	0.00493182
TT>CA	0.00072518	0.00000000	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
TT>CC	0.00542138	0.00000298	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
TT>CG	0.00008380	0.00001520	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
TT>GA	0.00186047	0.00004790	0.01773741	0.00420036	0.01801488	0.00440536	0.00891597	0.00456941	0.00156262	0.00435336	0.00213373	0.00408130	0.00490844
TT>GC	0.00106027	0.00000154	0.00006295	0.00007664	0.00007013	0.00006358	0.00007243	0.00007386	0.00006600	0.00007522	0.00006837	0.00006717	0.00008073
TT>GG	0.00161041	0.00000000	0.00539624	0.00335946	0.01271045	0.00149476	0.00180964	0.01136250	0.00306999	0.00006283	0.01394145	0.00798927	0.00401969
