MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M	DBS78N	DBS78O
GC>CG	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
GC>TA	3.32E-03	1.11E-02	3.57E-03	6.79E-03	5.86E-03	3.46E-02	4.37E-06	3.69E-03	9.48E-03	1.66E-03	1.04E-02	5.35E-03	1.08E-02	6.85E-03	2.37E-03
TA>AT	2.94E-03	1.44E-02	7.22E-03	6.81E-03	2.70E-02	1.67E-02	5.54E-03	3.24E-06	1.05E-02	3.28E-06	1.14E-02	7.55E-03	2.41E-02	1.04E-02	2.51E-02
TA>CG	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
TA>CT	4.00E-06	2.08E-02	3.56E-03	5.45E-03	1.07E-02	1.85E-02	3.49E-06	8.50E-03	1.06E-02	6.99E-03	1.87E-02	9.87E-03	5.24E-03	4.15E-03	2.16E-02
TA>GC	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
TA>GG	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
TA>GT	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
TC>AA	1.60E-02	4.61E-06	2.95E-06	1.48E-06	3.21E-06	4.92E-06	4.32E-06	4.44E-02	3.55E-06	1.14E-02	4.30E-06	2.84E-06	3.72E-06	2.79E-06	6.13E-06
TC>AG	2.90E-06	4.82E-06	3.41E-06	1.73E-02	4.62E-06	3.48E-06	4.32E-06	3.34E-06	3.61E-06	1.33E-02	3.70E-03	1.54E-02	5.48E-02	9.05E-03	4.83E-06
TC>AT	2.87E-06	5.35E-06	3.11E-06	3.31E-02	4.67E-06	4.05E-06	4.59E-06	4.02E-06	3.59E-06	1.18E-02	9.48E-06	3.46E-06	7.35E-06	2.66E-06	4.04E-06
TC>CA	2.14E-03	1.80E-02	2.21E-03	3.35E-06	2.18E-02	1.26E-02	1.74E-02	1.03E-02	4.75E-03	3.69E-06	1.17E-05	9.97E-03	1.94E-02	5.34E-03	1.99E-02
TC>CG	6.20E-06	1.98E-02	5.68E-03	3.50E-06	5.53E-03	1.97E-02	4.56E-06	6.26E-03	2.18E-02	5.69E-03	1.71E-02	5.13E-03	8.30E-03	2.37E-02	2.38E-03
TC>CT	3.88E-06	3.33E-06	8.57E-03	2.65E-06	4.38E-06	3.12E-06	1.21E-02	7.90E-03	4.83E-02	7.38E-03	4.35E-06	7.50E-03	1.05E-02	1.18E-02	1.34E-02
TC>GA	3.90E-06	4.70E-06	2.89E-06	2.21E-06	5.19E-06	3.56E-06	3.67E-06	3.71E-06	4.15E-06	1.88E-02	4.57E-06	1.11E-02	1.93E-02	1.21E-02	5.27E-02
TC>GG	2.99E-03	1.13E-02	3.61E-06	2.89E-03	9.90E-03	1.48E-02	1.38E-02	3.16E-03	5.53E-03	5.00E-03	7.39E-03	3.36E-06	1.64E-02	8.03E-03	7.71E-03
TC>GT	4.34E-06	4.35E-06	3.97E-06	1.33E-02	4.49E-06	1.21E-02	4.31E-06	3.84E-06	1.41E-02	4.13E-06	4.25E-02	7.55E-03	1.74E-02	3.27E-06	4.75E-06
TG>AA	3.50E-03	4.37E-06	3.83E-03	1.07E-03	1.25E-02	3.62E-06	4.40E-02	1.21E-02	1.16E-02	1.66E-03	1.77E-02	5.25E-03	1.67E-02	1.24E-02	1.79E-02
TG>AC	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
TG>AT	5.03E-03	4.06E-06	6.39E-03	1.09E-02	3.38E-02	2.38E-02	4.43E-06	6.99E-03	4.58E-06	6.35E-03	2.94E-02	3.63E-06	7.39E-03	2.44E-02	1.85E-02
TG>CA	1.01E-03	5.05E-03	2.37E-03	2.21E-06	4.34E-03	7.88E-03	1.01E-02	2.21E-06	2.85E-06	2.57E-03	8.97E-03	3.94E-03	8.37E-03	2.44E-06	2.68E-06
TG>CC	1.11E-03	4.32E-03	2.42E-06	2.19E-06	5.69E-03	7.39E-03	2.37E-03	4.15E-03	4.16E-03	2.31E-06	7.00E-03	6.23E-03	3.90E-03	3.46E-03	2.92E-06
TG>CT	2.74E-03	8.43E-03	3.80E-06	2.76E-06	1.46E-02	2.09E-02	1.19E-02	4.16E-06	2.91E-02	4.23E-03	3.06E-02	5.53E-03	1.11E-02	1.73E-02	1.10E-02
TG>GA	1.64E-03	1.74E-02	3.58E-03	2.77E-03	4.15E-03	8.72E-03	5.97E-03	2.56E-03	4.18E-06	4.15E-03	6.63E-03	3.55E-03	4.10E-06	2.19E-03	2.93E-06
TG>GC	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
TG>GT	6.30E-06	4.15E-03	4.67E-06	3.05E-06	1.52E-02	7.12E-03	3.17E-02	6.19E-03	1.12E-02	1.33E-03	1.63E-02	6.65E-03	4.75E-03	7.34E-03	7.40E-03
TT>AA	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
TT>AC	5.42E-06	1.09E-02	3.01E-03	4.82E-03	1.66E-02	3.65E-06	3.75E-06	4.92E-03	5.45E-03	6.64E-03	1.94E-02	6.65E-03	3.16E-03	1.49E-02	9.43E-03
TT>AG	8.52E-04	2.22E-03	1.66E-03	2.23E-03	9.14E-03	7.79E-03	6.20E-03	3.23E-03	4.74E-03	1.63E-06	3.02E-03	1.44E-03	5.03E-03	4.88E-03	8.75E-03
TT>CA	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
TT>CC	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
TT>CG	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
TT>GA	1.28E-03	5.01E-03	2.37E-06	2.16E-03	4.14E-03	5.95E-03	6.89E-03	1.66E-03	4.41E-03	2.04E-06	1.48E-02	3.54E-03	2.77E-03	2.77E-03	5.34E-03
TT>GC	9.50E-07	2.68E-06	6.96E-07	1.16E-06	2.90E-06	2.71E-06	2.66E-06	1.47E-06	2.76E-06	1.11E-06	3.23E-06	1.32E-06	2.55E-06	1.71E-06	2.08E-06
TT>GG	2.13E-06	1.75E-02	2.65E-03	1.89E-03	4.90E-03	3.78E-03	4.69E-03	1.58E-03	5.90E-03	2.08E-03	4.41E-03	2.32E-03	3.32E-03	2.08E-03	2.22E-03
