MutationType	ID1	ID2	ID7	ID13	ID16	ID83A	ID83B	ID83C	ID83E	ID83G	ID83H	ID83I	ID83J
3:Del:R:1	0.00501109	0.00500326	0.01168900	0.00118696	0.00232592	0.00000075	0.00332957	0.00000228	0.00000406	0.00199885	0.00022534	0.00513560	0.00234809
3:Del:R:2	0.00076938	0.00228989	0.00547485	0.00038438	0.00115037	0.00029149	0.00000536	0.00134930	0.00000789	0.00001468	0.00007103	0.00050997	0.00183086
3:Del:R:3	0.00037126	0.00040259	0.00345675	0.00006900	0.00012055	0.00000148	0.00000630	0.00000288	0.00000827	0.00001696	0.00002360	0.00003175	0.00002794
3:Del:R:4	0.00000000	0.00000000	0.00049254	0.00000309	0.00001610	0.00000148	0.00000630	0.00000288	0.00000827	0.00001696	0.00002360	0.00003175	0.00002794
3:Del:R:5	0.00000000	0.00000000	0.00043659	0.00009960	0.00000958	0.00000148	0.00000630	0.00000288	0.00000827	0.00001696	0.00002360	0.00003175	0.00002794
4:Del:R:0	0.00009970	0.00001210	0.00013088	0.00215535	0.00069891	0.00193504	0.00000449	0.00000027	0.00000182	0.01373642	0.01131578	0.02506218	0.02218201
4:Del:R:1	0.00090050	0.00211579	0.00339680	0.00002300	0.00042630	0.00122952	0.00000548	0.00000160	0.00000940	0.00032672	0.00011164	0.00213439	0.00176160
4:Del:R:2	0.00000323	0.00054329	0.00277739	0.00007920	0.00007830	0.00000148	0.00000629	0.00000288	0.00000827	0.00001696	0.00002360	0.00003176	0.00002795
4:Del:R:3	0.00000000	0.00000727	0.00043959	0.00003920	0.00000000	0.00000148	0.00000630	0.00000288	0.00000827	0.00001696	0.00002360	0.00003175	0.00002794
4:Del:R:4	0.00000000	0.00000000	0.00020181	0.00000947	0.00000263	0.00000148	0.00000630	0.00000288	0.00000827	0.00001696	0.00002360	0.00003175	0.00002794
4:Del:R:5	0.00002890	0.00021041	0.00025076	0.00006300	0.00000000	0.00000148	0.00000629	0.00000288	0.00000827	0.00001696	0.00002360	0.00003176	0.00002795
5:Del:R:0	0.00000835	0.00003850	0.00008550	0.02009754	0.00556879	0.00000015	0.00000162	0.00000001	0.00000010	0.00000931	0.65733598	0.00000405	0.01318997
5:Del:R:1	0.00019068	0.00297751	0.00347673	0.00298053	0.00011024	0.00000148	0.00000630	0.00000288	0.00000827	0.00001696	0.00002360	0.00003175	0.00002794
5:Del:R:2	0.00012636	0.00039753	0.00116890	0.00006990	0.00001540	0.00000148	0.00000630	0.00000288	0.00000827	0.00001696	0.00002360	0.00003175	0.00002794
5:Del:R:3	0.00001890	0.00015815	0.00040662	0.00000640	0.00000673	0.00000148	0.00000630	0.00000288	0.00000827	0.00001696	0.00002360	0.00003175	0.00002794
5:Del:R:4	0.00000311	0.00008470	0.00012588	0.00000146	0.00000027	0.00000148	0.00000630	0.00000288	0.00000827	0.00001696	0.00002360	0.00003175	0.00002794
5:Del:R:5	0.00003130	0.00002120	0.00002080	0.00000235	0.00000000	0.00000148	0.00000630	0.00000288	0.00000827	0.00001696	0.00002360	0.00003175	0.00002794
2:Ins:R:0	0.00040204	0.00033185	0.00003040	0.01061841	0.00219179	0.00000045	0.00381876	0.00000230	0.00122506	0.00818611	0.00051645	0.01545352	0.00494895
2:Ins:R:1	0.00000788	0.00027166	0.00039763	0.00180137	0.00108785	0.00122938	0.00253801	0.00000344	0.00000235	0.01417980	0.00233218	0.03727488	0.00972134
2:Ins:R:2	0.00022135	0.00103534	0.00007010	0.00068852	0.00072993	0.00000073	0.00574309	0.00000136	0.00269633	0.00587995	0.00451905	0.02180662	0.00439158
2:Ins:R:3	0.00051427	0.00038133	0.00314704	0.00074354	0.00009480	0.00000131	0.00000595	0.00000247	0.00000789	0.00007831	0.00002227	0.00003038	0.00003031
2:Ins:R:4	0.00291310	0.00197742	0.00182828	0.00021335	0.00013166	0.00101823	0.00013159	0.00000198	0.00000676	0.00120532	0.00016832	0.00091944	0.00022227
2:Ins:R:5	0.01812158	0.01363338	0.00024477	0.00084658	0.00000118	0.00081497	0.00115632	0.00000171	0.00012396	0.00027872	0.00080382	0.00021621	0.00088337
3:Ins:R:0	0.00000031	0.00005780	0.00000000	0.00008210	0.00057059	0.00000083	0.00000341	0.00000229	0.00000514	0.00638090	0.00234251	0.00573826	0.00447482
3:Ins:R:1	0.00025469	0.00122705	0.00000551	0.00368833	0.00109218	0.00000040	0.00136488	0.00000120	0.00044020	0.00117232	0.00059125	0.01074747	0.00195168
3:Ins:R:2	0.00004410	0.00021007	0.00005470	0.00020251	0.00028127	0.00000130	0.00000513	0.00000215	0.00000706	0.00145267	0.00171024	0.00401774	0.00181343
3:Ins:R:3	0.00016670	0.00000302	0.00017783	0.00002370	0.00003180	0.00000148	0.00000629	0.00000288	0.00000827	0.00001696	0.00002360	0.00003176	0.00002795
3:Ins:R:4	0.00008890	0.00014181	0.00041561	0.00000349	0.00007560	0.00000100	0.00000463	0.00000181	0.00000608	0.00017391	0.00030470	0.00052757	0.00031875
3:Ins:R:5	0.00124870	0.00186471	0.00076928	0.00003540	0.00002290	0.00000078	0.00129639	0.00092414	0.00013889	0.00096153	0.00102399	0.00002866	0.00071736
4:Ins:R:0	0.00000000	0.00001680	0.00000000	0.00111880	0.00032756	0.00000052	0.00017029	0.00134854	0.00012315	0.00318748	0.00250726	0.00228229	0.00251229
4:Ins:R:1	0.00074438	0.00120373	0.00002610	0.00269163	0.00150698	0.00000189	0.00206560	0.00000168	0.00000551	0.00628376	0.00226889	0.01544573	0.00170136
4:Ins:R:2	0.00007550	0.00001220	0.00019482	0.00006930	0.00004500	0.00000084	0.00047887	0.00000160	0.00011562	0.00081824	0.00019645	0.00243342	0.00035781
4:Ins:R:3	0.00015754	0.00013417	0.00027374	0.00000064	0.00000030	0.00000148	0.00000630	0.00000288	0.00000827	0.00001696	0.00002360	0.00003175	0.00002794
4:Ins:R:4	0.00031965	0.00024939	0.00025876	0.00001210	0.00000940	0.00000148	0.00000630	0.00000288	0.00000827	0.00001696	0.00002360	0.00003175	0.00002794
4:Ins:R:5	0.00100132	0.00219354	0.00000874	0.00000031	0.00000000	0.00000077	0.00000534	0.00000187	0.00000635	0.00022205	0.00014098	0.00023164	0.00053764
5:Ins:R:0	0.00000000	0.00000000	0.00000000	0.00259023	0.00117259	0.00000008	0.00477330	0.00368491	0.00161061	0.00570392	0.00670673	0.00589395	0.00177739
5:Ins:R:1	0.00144313	0.00013566	0.00000000	0.01350195	0.00110119	0.00001022	0.01017378	0.00000240	0.00083529	0.00844391	0.00618675	0.02654660	0.01327805
5:Ins:R:2	0.00025483	0.00000553	0.00000884	0.00004590	0.00000083	0.00000148	0.00000630	0.00000288	0.00000827	0.00001696	0.00002360	0.00003175	0.00002794
5:Ins:R:3	0.00023709	0.00009770	0.00000446	0.00004610	0.00000000	0.00000148	0.00000629	0.00000288	0.00000827	0.00001696	0.00002360	0.00003176	0.00002795
5:Ins:R:4	0.00026187	0.00000215	0.00001060	0.00000243	0.00000000	0.00000095	0.00000570	0.00000228	0.00020645	0.00018852	0.00002019	0.00071186	0.00062085
5:Ins:R:5	0.00011983	0.00011563	0.00000428	0.00004330	0.00000000	0.00000080	0.00029537	0.00000213	0.00000601	0.00039027	0.00013045	0.00023598	0.00037570
2:Del:M:1	0.00119782	0.00017555	0.00312706	0.00887241	0.00137420	0.02452460	0.00000291	0.00000045	0.00815442	0.02508543	0.00598053	0.04953362	0.05251640
3:Del:M:1	0.00008190	0.00000055	0.00025476	0.00114008	0.00076447	0.00000001	0.00000638	0.00000000	0.00000085	0.04449039	0.00000477	0.09522636	0.03333708
3:Del:M:2	0.00147959	0.00294406	0.00463564	0.00045031	0.00098036	0.00000051	0.00000396	0.00077717	0.00118303	0.00860379	0.00091195	0.04042309	0.02304147
4:Del:M:1	0.00008380	0.00014700	0.00018383	0.00127080	0.00050472	0.00000169	0.00000279	0.00000094	0.00330946	0.00747525	0.00532914	0.06729944	0.02264704
4:Del:M:2	0.00014548	0.00055061	0.00101904	0.00015972	0.00040980	0.00000070	0.00000355	0.00000068	0.00189592	0.00405395	0.00101777	0.01416347	0.00959214
4:Del:M:3	0.00016068	0.00069357	0.00071732	0.00027058	0.00040237	0.00000070	0.00000397	0.00000144	0.00114325	0.00142717	0.00001637	0.00686163	0.00210764
5:Del:M:1	0.00000082	0.00062496	0.00002360	0.01174078	0.00536205	0.00000028	0.00000157	0.00000309	0.01287461	0.30151152	0.12477760	0.00658514	0.00651445
5:Del:M:2	0.00000000	0.00011771	0.00024577	0.00705542	0.00502172	0.00000029	0.00000184	0.00000887	0.00420187	0.07122270	0.04245216	0.01650637	0.00001982
5:Del:M:3	0.00000000	0.00005670	0.00006160	0.00216598	0.00333884	0.00000120	0.00662597	0.00000149	0.00000425	0.01080353	0.01269454	0.00581331	0.00408356
5:Del:M:4	0.00003880	0.00046284	0.00006820	0.00028174	0.00132990	0.00000090	0.00376773	0.00000149	0.00000401	0.00156109	0.00398178	0.00833754	0.00136369
5:Del:M:5	0.00066512	0.00236732	0.00173836	0.01313191	0.00160163	0.00101873	0.00019084	0.00000178	0.00000436	0.00207757	0.00125075	0.00315259	0.00125379
