MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
4:Del:R:0	0.00000002	0.00617537	0.04675953	0.00591196	0.02035508
4:Del:R:1	0.00001263	0.00006681	0.00121241	0.00015699	0.00047225
4:Del:R:2	0.00000049	0.00001107	0.00002502	0.00000625	0.00002577
4:Del:R:3	0.00000049	0.00001107	0.00002502	0.00000625	0.00002577
4:Del:R:4	0.00000049	0.00001107	0.00002502	0.00000625	0.00002577
4:Del:R:5	0.00000049	0.00001107	0.00002502	0.00000625	0.00002577
5:Del:R:0	0.00000001	0.00000362	0.00000334	0.00022504	0.40926844
5:Del:R:1	0.00000049	0.00001107	0.00002502	0.00000625	0.00002577
5:Del:R:2	0.00000049	0.00001107	0.00002502	0.00000625	0.00002577
5:Del:R:3	0.00000049	0.00001107	0.00002502	0.00000625	0.00002577
5:Del:R:4	0.00000049	0.00001107	0.00002502	0.00000625	0.00002577
5:Del:R:5	0.00000049	0.00001107	0.00002502	0.00000625	0.00002577
2:Ins:R:0	0.00000001	0.00685121	0.00725146	0.00299744	0.00363491
2:Ins:R:1	0.00000001	0.00159671	0.01029006	0.00289470	0.01525807
2:Ins:R:2	0.00000001	0.00344177	0.00878632	0.00124884	0.00651558
2:Ins:R:3	0.00000023	0.00001206	0.00009188	0.00091305	0.00002238
2:Ins:R:4	0.00000001	0.00029511	0.00140901	0.00161692	0.00034010
2:Ins:R:5	0.00000003	0.00034323	0.00128474	0.00205902	0.00075657
3:Ins:R:0	0.00000001	0.00110098	0.00677152	0.00106875	0.00271812
3:Ins:R:1	0.00000001	0.00183109	0.00447817	0.00110888	0.00208834
3:Ins:R:2	0.00000001	0.00031023	0.00243757	0.00156265	0.00170418
3:Ins:R:3	0.00000049	0.00001107	0.00002502	0.00000625	0.00002577
3:Ins:R:4	0.00000012	0.00016372	0.00041111	0.00068392	0.00040066
3:Ins:R:5	0.00000005	0.00051220	0.00111161	0.00146831	0.00029540
4:Ins:R:0	0.00000001	0.00038655	0.00273358	0.00121837	0.00171544
4:Ins:R:1	0.00000001	0.00368054	0.00665144	0.00069417	0.00445553
4:Ins:R:2	0.00000003	0.00034222	0.00083753	0.00008065	0.00097418
4:Ins:R:3	0.00000049	0.00001107	0.00002502	0.00000625	0.00002577
4:Ins:R:4	0.00000049	0.00001107	0.00002502	0.00000625	0.00002577
4:Ins:R:5	0.00000015	0.00005933	0.00058949	0.00019891	0.00020392
5:Ins:R:0	0.00000001	0.00415006	0.00296070	0.00051958	0.00773273
5:Ins:R:1	0.00000001	0.00962690	0.01056828	0.00103378	0.01000807
5:Ins:R:2	0.00000049	0.00001107	0.00002502	0.00000625	0.00002577
5:Ins:R:3	0.00000049	0.00001107	0.00002502	0.00000625	0.00002577
5:Ins:R:4	0.00000019	0.00009097	0.00065124	0.00061422	0.00002155
5:Ins:R:5	0.00000014	0.00000874	0.00049022	0.00023952	0.00023865
2:Del:M:1	0.00000002	0.01560527	0.04576189	0.01087326	0.01478877
3:Del:M:1	0.00000001	0.00624892	0.07708862	0.03095079	0.00020880
3:Del:M:2	0.00000001	0.00782242	0.02128040	0.00923681	0.00526287
4:Del:M:1	0.00000002	0.00067573	0.02763621	0.00592850	0.01355524
4:Del:M:2	0.00000001	0.00396890	0.00784706	0.00086481	0.00524505
4:Del:M:3	0.00000001	0.00047290	0.00251883	0.00065282	0.00142689
5:Del:M:1	0.00000001	0.01897640	0.00815684	0.00000037	0.19645489
5:Del:M:2	0.00000001	0.00484755	0.00286258	0.00021476	0.06432022
5:Del:M:3	0.00000001	0.00232873	0.00111408	0.00000212	0.01407319
5:Del:M:4	0.00000001	0.00120850	0.00184167	0.00017950	0.00496007
5:Del:M:5	0.00000818	0.00103162	0.00099787	0.00054797	0.00123654
