MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M	DBS78N	DBS78O
CG>AT	1.14E-06	1.42E-07	2.83E-03	2.98E-07	2.06E-03	5.06E-07	6.16E-07	4.91E-07	5.26E-07	1.22E-06	2.14E-06	1.88E-06	3.26E-07	2.27E-06	5.14E-07
CG>GC	3.15E-07	2.15E-07	4.91E-07	3.10E-07	1.36E-07	4.35E-07	6.12E-07	5.08E-07	5.16E-07	9.52E-07	2.22E-06	1.86E-06	2.02E-07	2.36E-06	5.01E-07
CG>GT	3.10E-03	1.76E-07	4.92E-07	2.61E-07	2.92E-03	2.89E-03	1.07E-06	4.41E-07	1.05E-06	7.33E-07	2.08E-06	2.08E-06	2.32E-07	2.41E-02	8.24E-07
CG>TA	5.73E-07	2.25E-07	5.47E-07	3.03E-07	2.78E-07	3.91E-07	9.79E-07	3.63E-07	8.90E-07	1.13E-06	4.03E-03	9.10E-06	1.05E-02	1.01E-02	4.64E-02
CG>TC	3.15E-07	2.15E-07	4.91E-07	3.10E-07	1.36E-07	4.35E-07	6.12E-07	5.08E-07	5.16E-07	9.52E-07	2.22E-06	1.86E-06	2.02E-07	2.36E-06	5.01E-07
CG>TT	3.15E-07	2.15E-07	4.91E-07	3.10E-07	1.36E-07	4.35E-07	6.12E-07	5.08E-07	5.16E-07	9.52E-07	2.22E-06	1.86E-06	2.02E-07	2.36E-06	5.01E-07
CT>AA	9.24E-03	8.89E-03	3.51E-02	2.64E-03	1.08E-02	7.92E-03	7.20E-03	7.99E-03	2.32E-02	4.85E-03	5.10E-07	3.16E-03	1.08E-02	1.54E-06	1.93E-02
CT>AC	1.23E-02	2.53E-07	3.89E-03	3.04E-07	3.41E-07	4.68E-07	2.14E-07	4.77E-07	5.06E-07	1.23E-06	2.14E-06	1.92E-06	4.30E-07	3.03E-06	5.38E-07
CT>AG	2.52E-07	2.53E-07	2.70E-03	4.44E-03	6.17E-03	8.26E-03	3.44E-07	1.02E-02	2.24E-02	2.43E-03	3.04E-06	8.93E-03	1.03E-02	2.58E-06	5.02E-07
CT>GA	3.05E-07	1.07E-07	1.90E-03	2.30E-03	3.43E-07	1.05E-02	3.39E-07	3.70E-07	4.77E-07	9.25E-07	2.31E-06	2.06E-06	2.97E-07	1.42E-06	5.26E-07
CT>GC	2.53E-07	3.81E-03	3.95E-07	2.96E-07	3.39E-07	2.13E-03	7.62E-07	4.69E-07	8.82E-07	2.13E-02	2.71E-06	1.99E-06	5.40E-07	7.37E-03	9.41E-03
CT>GG	6.48E-07	5.21E-03	3.49E-07	5.52E-03	3.02E-07	3.85E-03	2.35E-07	9.17E-07	7.40E-07	1.02E-06	7.04E-03	1.75E-06	4.66E-07	1.63E-06	5.23E-07
CT>TA	2.53E-03	1.77E-02	9.56E-03	2.08E-07	1.20E-02	3.95E-07	6.68E-07	6.09E-03	0.00E+00	5.29E-02	4.61E-02	2.57E-06	3.12E-02	2.85E-06	6.09E-07
CT>TC	2.69E-07	1.68E-03	3.55E-07	1.77E-07	2.92E-07	3.69E-07	2.75E-02	4.95E-07	5.51E-07	1.02E-06	1.22E-06	1.62E-06	5.45E-07	2.09E-06	1.10E-02
CT>TG	0.00E+00	2.56E-07	3.23E-03	4.57E-07	9.39E-03	6.95E-03	8.94E-07	5.04E-07	6.12E-07	2.03E-02	2.15E-06	9.68E-03	6.45E-03	1.47E-02	4.30E-02
GC>AA	3.45E-02	7.75E-03	1.78E-02	1.37E-02	1.59E-02	1.46E-02	2.34E-02	1.84E-02	2.79E-02	1.04E-02	1.53E-02	1.63E-02	1.94E-02	1.02E-02	4.37E-02
GC>AG	1.21E-02	5.70E-03	3.71E-03	2.02E-02	9.28E-03	0.00E+00	9.74E-08	1.15E-02	2.12E-02	1.28E-02	1.17E-05	2.27E-02	9.85E-03	4.91E-02	6.88E-07
GC>AT	5.61E-46	1.46E-07	6.45E-03	4.00E-03	2.29E-07	5.78E-03	6.99E-07	2.33E-02	1.33E-06	9.62E-07	7.65E-03	3.55E-02	1.53E-02	1.47E-02	8.13E-07
GC>CA	9.49E-07	4.38E-03	2.77E-03	2.56E-07	4.12E-03	1.04E-02	4.98E-07	3.84E-07	4.72E-07	6.72E-07	7.65E-03	8.25E-07	4.61E-07	1.64E-02	3.10E-02
GC>CG	3.15E-07	2.15E-07	4.91E-07	3.10E-07	1.36E-07	4.35E-07	6.12E-07	5.08E-07	5.16E-07	9.52E-07	2.22E-06	1.86E-06	2.02E-07	2.36E-06	5.01E-07
GC>TA	4.74E-03	2.19E-07	2.81E-07	1.23E-07	5.83E-03	7.83E-03	4.70E-07	3.68E-07	9.95E-03	9.62E-07	2.31E-06	1.34E-06	2.35E-07	1.02E-02	7.15E-03
TA>AT	7.36E-07	1.72E-03	1.09E-02	2.42E-07	4.05E-03	3.97E-21	5.95E-07	9.25E-03	4.79E-07	9.33E-07	1.73E-02	1.07E-06	1.21E-02	6.78E-03	2.15E-02
TA>CG	1.90E-07	2.11E-07	2.45E-07	2.21E-07	2.83E-07	5.35E-03	8.17E-07	3.03E-07	5.53E-07	1.08E-06	1.10E-06	1.94E-06	4.98E-07	1.82E-06	2.15E-02
TA>CT	2.51E-07	2.66E-07	8.67E-03	4.14E-07	3.72E-03	1.22E-02	5.71E-07	9.38E-07	6.35E-07	2.43E-03	1.87E-02	7.82E-03	1.65E-02	1.91E-06	1.91E-02
TA>GC	3.15E-07	2.15E-07	4.91E-07	3.10E-07	1.36E-07	4.35E-07	6.12E-07	5.08E-07	5.16E-07	9.52E-07	2.22E-06	1.86E-06	2.02E-07	2.36E-06	5.01E-07
TA>GG	1.44E-07	8.13E-08	2.19E-07	2.21E-07	2.94E-07	2.52E-07	6.44E-07	4.78E-07	4.84E-07	1.10E-06	1.96E-06	1.04E-06	3.63E-07	2.32E-06	1.78E-02
TA>GT	7.38E-03	2.11E-07	1.46E-04	2.38E-07	5.92E-03	3.95E-07	5.63E-07	5.36E-07	8.68E-07	1.11E-06	2.60E-06	3.91E-03	6.45E-03	2.34E-02	1.43E-02
TC>AA	1.23E-02	3.73E-03	3.39E-02	9.15E-03	1.21E-02	1.18E-02	1.67E-02	1.62E-02	1.39E-02	4.40E-02	2.34E-02	2.79E-02	4.35E-02	1.46E-02	2.68E-02
TC>AG	8.95E-03	6.85E-03	2.73E-07	3.09E-07	2.92E-03	4.15E-03	1.95E-02	3.96E-02	5.43E-07	2.96E-07	2.12E-06	3.43E-02	2.50E-02	1.87E-06	1.18E-06
TC>AT	9.76E-03	2.82E-02	1.52E-02	1.03E-02	1.37E-02	3.00E-03	1.28E-02	4.06E-03	2.03E-02	3.55E-02	8.78E-03	1.99E-02	2.50E-02	3.22E-02	1.50E-03
TC>CA	6.45E-03	3.79E-03	2.58E-02	3.88E-03	2.04E-02	1.14E-02	6.14E-03	1.66E-06	7.62E-03	1.29E-02	1.85E-02	1.50E-02	1.94E-02	1.53E-06	4.26E-07
TC>CG	5.66E-03	2.15E-07	2.62E-07	2.01E-07	2.92E-03	5.45E-03	7.23E-07	4.15E-07	8.77E-07	2.13E-02	2.78E-06	1.65E-06	4.92E-07	7.37E-03	5.93E-07
TC>CT	7.38E-03	1.18E-03	6.95E-03	5.20E-03	8.34E-03	4.29E-03	4.76E-03	7.38E-07	7.01E-03	2.43E-03	3.00E-02	3.22E-03	5.44E-03	1.36E-02	9.67E-03
TC>GA	3.10E-03	1.07E-07	1.19E-02	6.43E-03	8.89E-03	2.05E-06	1.13E-06	2.19E-02	3.87E-02	1.70E-02	3.07E-02	9.68E-03	6.45E-03	2.84E-06	6.20E-07
TC>GG	5.41E-07	3.26E-03	3.40E-07	2.63E-03	3.93E-07	5.35E-03	7.10E-07	1.04E-06	8.15E-07	1.05E-06	1.34E-06	1.84E-06	5.19E-07	2.25E-06	4.26E-07
TC>GT	1.41E-06	1.98E-03	3.57E-03	1.76E-07	3.87E-03	2.03E-07	1.95E-07	4.10E-07	1.04E-02	2.43E-03	1.21E-02	9.22E-07	4.29E-07	1.02E-02	2.41E-02
TG>AA	4.00E-03	1.70E-07	4.82E-03	3.57E-03	1.64E-07	5.30E-03	3.86E-07	4.64E-07	4.23E-07	2.43E-03	1.11E-06	1.62E-06	3.44E-07	2.03E-06	4.57E-07
TG>AC	5.23E-07	1.90E-07	5.20E-07	6.25E-03	3.41E-07	3.81E-07	6.07E-07	5.80E-07	5.01E-07	1.02E-06	1.22E-06	1.83E-06	1.72E-07	2.36E-06	4.11E-07
TG>AT	8.95E-03	1.26E-07	2.03E-02	6.42E-03	7.24E-03	7.05E-03	4.32E-03	2.27E-03	7.09E-07	7.28E-03	1.63E-02	2.62E-02	8.34E-03	1.61E-02	7.14E-07
TG>CA	9.94E-07	4.89E-03	8.10E-03	6.73E-03	1.33E-02	7.80E-03	5.75E-03	3.98E-02	2.24E-06	1.02E-02	5.35E-07	3.54E-02	9.68E-03	1.02E-02	3.63E-02
TG>CC	2.89E-07	3.80E-03	5.21E-07	2.80E-07	9.06E-03	4.60E-07	5.72E-07	3.12E-07	1.37E-02	9.49E-07	1.61E-06	6.46E-03	3.97E-03	1.01E-02	7.15E-03
TG>CT	1.36E-02	9.87E-08	2.22E-02	1.46E-02	1.77E-02	2.32E-02	2.80E-46	2.09E-02	2.22E-02	1.73E-02	2.99E-11	4.74E-02	1.44E-02	4.13E-02	7.15E-03
TG>GA	2.43E-07	1.81E-07	4.95E-07	3.10E-07	2.75E-07	8.11E-03	4.73E-07	3.91E-07	4.88E-07	9.12E-07	2.28E-06	2.11E-06	2.88E-07	1.70E-06	5.30E-07
TG>GC	4.31E-07	1.67E-07	5.45E-07	2.34E-07	1.29E-07	2.43E-03	3.53E-07	4.29E-07	4.12E-07	8.24E-07	2.34E-02	1.77E-06	4.22E-07	1.96E-06	9.53E-03
TG>GT	5.06E-03	4.56E-03	1.34E-07	1.29E-07	3.78E-03	7.96E-03	6.90E-07	6.95E-03	9.23E-03	7.91E-07	2.12E-06	3.22E-03	1.03E-02	1.46E-06	6.43E-07
TT>AA	3.10E-03	3.56E-03	6.95E-03	2.25E-07	1.17E-02	7.32E-03	2.84E-06	3.43E-07	9.30E-07	4.10E-06	7.65E-03	1.99E-02	3.68E-07	4.93E-02	6.54E-07
TT>AC	2.46E-07	2.01E-07	4.10E-07	2.66E-07	1.57E-07	1.74E-03	3.90E-07	4.19E-07	5.48E-07	8.84E-07	2.25E-06	1.71E-06	2.78E-07	1.59E-06	5.19E-07
TT>AG	2.28E-07	1.88E-07	3.47E-03	1.68E-07	1.02E-02	4.86E-07	4.00E-07	8.19E-07	1.21E-06	9.85E-07	1.86E-02	1.32E-06	2.14E-02	3.39E-03	9.53E-03
TT>CA	6.01E-07	3.98E-03	5.08E-07	2.69E-07	3.16E-07	4.25E-07	3.25E-07	5.55E-07	6.44E-07	1.41E-06	2.29E-06	1.90E-06	4.48E-07	2.30E-06	6.79E-07
TT>CC	6.76E-07	2.15E-07	5.82E-07	8.12E-03	3.38E-07	1.78E-07	5.54E-07	6.02E-07	8.86E-07	1.26E-06	2.26E-06	1.94E-06	2.18E-07	2.34E-06	4.70E-07
TT>CG	2.80E-07	1.91E-07	5.12E-07	2.56E-07	1.28E-07	2.89E-03	1.30E-02	5.21E-07	6.98E-07	8.88E-07	1.48E-06	1.22E-02	5.51E-07	4.86E-02	8.97E-07
TT>GA	3.15E-07	2.15E-07	4.91E-07	3.10E-07	1.36E-07	4.35E-07	6.12E-07	5.08E-07	5.16E-07	9.52E-07	2.22E-06	1.86E-06	2.02E-07	2.36E-06	5.01E-07
TT>GC	3.10E-07	1.62E-07	4.22E-07	2.53E-07	2.32E-07	4.49E-07	5.42E-07	1.07E-06	1.21E-06	1.25E-06	1.21E-02	8.74E-06	8.42E-03	2.40E-06	5.25E-07
TT>GG	3.15E-07	1.99E-07	4.91E-07	2.48E-07	3.39E-03	4.92E-07	6.12E-07	5.26E-07	5.16E-07	9.88E-07	2.22E-06	1.76E-06	2.02E-07	3.39E-03	4.80E-07
