MutationType	PD3851a_non-exome	PD3890a_non-exome	PD3904a_non-exome	PD3905a_non-exome	PD3945a_non-exome	PD4005a_non-exome	PD4006a_non-exome	PD4085a_non-exome	PD4086a_non-exome	PD4088a_non-exome	PD4103a_non-exome	PD4107a_non-exome	PD4109a_non-exome	PD4115a_non-exome	PD4116a_non-exome	PD4120a_non-exome	PD4192a_non-exome	PD4194a_non-exome	PD4198a_non-exome	PD4199a_non-exome	PD4248a_non-exome
CG>TT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT>AA	2	0	2	1	2	2	2	0	0	0	0	1	1	1	2	2	0	0	0	0	1
CT>AC	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CT>AG	0	0	1	0	2	2	0	0	0	0	3	2	1	3	0	0	0	0	0	0	0
CT>GA	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0
CT>GC	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
CT>GG	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
CT>TA	1	0	2	0	3	1	0	1	0	0	0	0	2	0	2	8	0	0	0	1	0
CT>TC	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CT>TG	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0
GC>AA	2	1	2	4	8	2	4	1	1	0	2	5	0	2	3	2	1	0	0	0	0
GC>AG	0	0	0	0	3	2	2	1	0	0	2	4	1	0	4	2	0	0	1	0	0
GC>AT	0	1	1	0	0	3	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0
GC>CA	0	1	0	0	1	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	0
GC>CG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GC>TA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0
TA>AT	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
TA>CG	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
TA>CT	0	3	1	0	1	0	1	0	0	0	0	0	2	3	0	0	0	0	0	0	0
TA>GC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TA>GG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TA>GT	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
TC>AA	0	2	5	4	17	4	4	0	0	1	3	2	3	11	4	1	1	0	0	1	4
TC>AG	0	0	0	2	0	2	0	0	0	0	0	0	3	1	2	6	0	0	0	0	0
TC>AT	0	1	4	1	6	1	3	0	0	0	3	2	4	1	4	18	0	0	2	3	1
TC>CA	0	1	6	1	5	0	0	0	0	0	1	1	0	4	3	1	0	0	0	0	1
TC>CG	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0
TC>CT	1	0	1	0	1	0	2	0	0	0	0	2	1	2	2	4	0	0	0	0	0
TC>GA	1	0	1	0	5	1	0	0	0	0	2	4	0	1	1	0	0	0	0	0	0
TC>GG	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
TC>GT	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
TG>AA	0	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0
TG>AC	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TG>AT	0	1	1	0	3	2	2	0	0	1	0	2	1	3	2	0	0	0	0	0	2
TG>CA	0	0	2	2	2	2	2	0	1	0	0	1	0	1	0	1	1	0	0	1	2
TG>CC	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0
TG>CT	0	0	5	0	3	4	5	1	1	0	1	4	3	7	1	0	0	2	1	1	2
TG>GA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TG>GC	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TG>GT	0	0	1	0	0	1	0	0	0	0	0	0	1	2	1	2	0	0	1	0	0
TT>AA	0	1	0	0	0	0	0	0	0	1	0	0	0	4	1	1	0	1	0	0	1
TT>AC	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TT>AG	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TT>CA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TT>CC	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
TT>CG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
TT>GA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TT>GC	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
TT>GG	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
