MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G
CC>GA	5.86E-03	1.02E-02	9.87E-08	7.20E-03	7.98E-03	5.70E-03	1.84E-02
CC>GG	6.04E-07	3.82E-03	1.68E-07	5.92E-03	5.56E-03	3.15E-06	3.66E-07
CC>GT	1.21E-02	2.23E-03	8.78E-03	3.79E-07	2.77E-02	5.53E-03	6.08E-03
CC>TA	6.66E-04	4.95E-03	8.86E-03	2.63E-07	3.13E-04	9.42E-03	2.10E-03
CC>TG	9.50E-04	2.36E-03	2.23E-03	2.88E-07	1.25E-06	5.06E-07	1.61E-03
CC>TT	1.73E-02	4.62E-03	2.29E-02	7.68E-03	4.68E-03	1.92E-02	2.02E-02
CG>AT	8.58E-04	6.03E-07	1.37E-07	2.18E-07	1.27E-06	8.46E-03	2.74E-03
CG>GC	3.55E-07	5.61E-07	9.02E-08	2.44E-07	1.09E-06	4.22E-07	4.46E-07
CG>GT	9.50E-04	4.72E-03	6.51E-06	5.55E-03	6.25E-03	8.21E-07	4.83E-03
CG>TA	3.43E-07	4.72E-03	9.85E-08	2.93E-07	1.48E-02	3.33E-03	1.76E-03
CG>TC	3.55E-07	5.61E-07	9.02E-08	2.44E-07	1.09E-06	4.22E-07	4.46E-07
CG>TT	3.55E-07	5.61E-07	9.02E-08	2.44E-07	1.09E-06	4.22E-07	4.46E-07
CT>AA	1.33E-02	1.38E-02	6.41E-03	3.74E-03	8.78E-03	2.08E-02	8.74E-03
CT>AC	9.46E-07	6.15E-07	1.35E-07	1.74E-07	1.16E-06	2.82E-03	5.47E-03
CT>AG	2.68E-03	2.36E-03	1.75E-07	6.25E-03	9.56E-03	2.11E-02	1.67E-02
CT>GA	3.91E-03	3.28E-03	3.46E-07	3.33E-03	9.66E-07	2.94E-03	2.52E-03
CT>GC	5.71E-07	6.50E-07	1.28E-03	2.33E-03	6.77E-07	1.86E-03	2.66E-07
CT>GG	3.17E-03	6.05E-03	3.11E-03	5.03E-03	5.52E-03	3.89E-05	2.76E-03
CT>TA	5.27E-03	8.97E-03	5.31E-03	8.10E-03	7.50E-03	1.08E-02	1.79E-02
CT>TC	1.33E-02	2.54E-07	2.05E-03	3.96E-07	3.23E-03	6.87E-07	1.08E-06
CT>TG	8.58E-04	3.91E-07	2.63E-03	4.57E-03	1.04E-02	6.67E-03	5.27E-03
GC>AA	1.68E-02	1.25E-02	2.78E-03	7.72E-03	2.13E-02	1.36E-02	2.41E-02
GC>AG	7.44E-03	1.56E-02	1.00E-02	6.80E-08	1.06E-02	1.17E-02	1.63E-02
GC>AT	9.22E-03	1.32E-02	2.60E-07	1.35E-02	9.35E-03	1.47E-02	3.23E-03
GC>CA	3.07E-03	3.92E-07	1.58E-03	8.83E-03	3.13E-03	6.86E-03	4.37E-03
GC>CG	3.55E-07	5.61E-07	9.02E-08	2.44E-07	1.09E-06	4.22E-07	4.46E-07
GC>TA	9.50E-04	2.95E-03	2.19E-07	3.71E-03	8.20E-03	8.39E-07	1.63E-06
TA>AT	5.06E-03	1.79E-03	2.73E-03	5.30E-07	2.07E-02	3.23E-03	1.03E-02
TA>CG	3.79E-07	4.31E-07	1.63E-07	1.91E-03	3.71E-03	4.76E-07	5.27E-03
TA>CT	9.28E-03	7.01E-04	1.75E-07	1.25E-02	1.34E-02	1.01E-02	1.30E-02
TA>GC	3.55E-07	5.61E-07	9.02E-08	2.44E-07	1.09E-06	4.22E-07	4.46E-07
TA>GG	3.85E-07	4.42E-07	1.50E-07	2.82E-07	4.27E-03	5.99E-07	1.76E-03
TA>GT	2.11E-03	3.99E-03	1.87E-07	1.93E-03	7.55E-03	8.11E-04	9.97E-07
TC>AA	3.37E-02	1.66E-03	6.28E-03	2.67E-02	2.09E-02	4.33E-02	4.49E-02
TC>AG	9.18E-03	7.04E-03	9.69E-03	4.65E-03	9.20E-03	1.29E-02	7.09E-03
TC>AT	8.38E-03	1.86E-02	2.66E-02	4.40E-03	1.26E-02	2.75E-02	1.83E-02
TC>CA	1.09E-02	4.23E-03	3.06E-03	1.29E-02	5.84E-07	1.12E-02	1.56E-02
TC>CG	9.50E-04	6.38E-03	1.27E-03	9.04E-03	9.96E-07	8.54E-07	7.45E-07
TC>CT	7.70E-03	1.26E-02	3.98E-03	8.42E-03	3.04E-03	6.36E-07	2.52E-03
TC>GA	1.71E-02	6.55E-03	2.17E-07	4.38E-03	1.22E-06	2.20E-02	1.78E-02
TC>GG	2.46E-03	1.12E-03	3.57E-03	4.80E-03	1.19E-06	5.47E-07	4.24E-07
TC>GT	3.43E-03	5.41E-03	2.64E-03	5.79E-03	1.22E-02	2.07E-02	6.57E-03
TG>AA	7.02E-03	3.23E-03	2.55E-07	5.68E-03	4.62E-07	2.82E-03	1.76E-03
TG>AC	2.46E-03	1.21E-03	1.68E-07	2.87E-07	9.80E-07	8.01E-07	1.76E-03
TG>AT	1.44E-02	1.13E-02	1.12E-07	1.50E-02	5.59E-03	1.02E-02	2.24E-02
TG>CA	8.68E-03	8.01E-03	2.33E-03	3.79E-03	3.78E-03	3.92E-02	2.37E-02
TG>CC	8.54E-04	1.62E-03	2.32E-03	3.85E-03	1.02E-06	4.98E-03	4.24E-07
TG>CT	7.42E-03	1.42E-02	1.15E-07	1.59E-02	3.61E-02	4.50E-02	4.43E-03
TG>GA	4.11E-07	6.49E-07	1.93E-07	2.48E-03	8.27E-07	1.71E-03	3.43E-07
TG>GC	6.35E-03	5.84E-07	1.91E-07	3.74E-03	5.54E-03	3.69E-07	4.86E-07
TG>GT	1.38E-03	1.29E-02	6.19E-03	8.23E-03	4.49E-03	8.96E-03	9.77E-03
TT>AA	5.08E-07	3.74E-03	2.73E-03	1.62E-02	1.21E-02	1.25E-02	3.79E-07
TT>AC	4.59E-07	8.06E-07	1.56E-07	2.81E-03	8.47E-07	5.14E-03	3.66E-07
TT>AG	6.35E-03	2.77E-03	3.83E-07	3.85E-03	1.68E-02	3.32E-03	1.04E-02
TT>CA	4.72E-07	6.26E-07	3.42E-03	3.21E-07	9.00E-07	4.16E-07	3.86E-07
TT>CC	4.22E-07	3.81E-07	1.64E-03	2.90E-07	1.03E-06	4.16E-07	3.52E-07
TT>CG	5.63E-07	2.23E-07	2.68E-07	5.73E-03	1.25E-02	2.57E-03	1.54E-07
TT>GA	3.55E-07	5.61E-07	9.02E-08	2.44E-07	1.09E-06	4.22E-07	4.46E-07
TT>GC	3.76E-07	5.38E-03	1.78E-07	1.92E-03	4.23E-03	2.55E-06	5.22E-03
TT>GG	4.45E-07	4.88E-07	1.67E-07	1.64E-07	3.83E-03	3.32E-03	6.57E-07
