MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
CG>GC	2.12E-07	1.21E-07	1.13E-06	5.66E-07	6.15E-07	6.31E-07	7.49E-07	9.52E-07
CG>GT	3.05E-03	1.83E-07	7.35E-03	2.31E-06	4.82E-07	1.25E-03	2.81E-03	3.19E-03
CG>TA	2.09E-07	2.48E-03	3.54E-03	6.60E-03	1.42E-06	1.65E-02	4.83E-07	9.77E-03
CG>TC	2.12E-07	1.21E-07	1.13E-06	5.66E-07	6.15E-07	6.31E-07	7.49E-07	9.52E-07
CG>TT	2.12E-07	1.21E-07	1.13E-06	5.66E-07	6.15E-07	6.31E-07	7.49E-07	9.52E-07
CT>AA	8.28E-03	3.22E-03	9.49E-03	2.23E-02	5.21E-03	9.99E-03	1.11E-02	1.53E-02
CT>AC	2.47E-03	1.27E-07	8.52E-07	2.65E-07	7.83E-07	2.60E-03	9.01E-07	1.41E-06
CT>AG	5.14E-03	1.98E-07	8.86E-03	4.80E-03	1.16E-02	7.01E-07	4.89E-03	7.29E-06
CT>GA	3.42E-03	1.26E-07	5.30E-03	4.04E-03	1.96E-03	7.93E-07	7.12E-07	1.11E-06
CT>GC	2.25E-07	3.30E-03	2.11E-03	6.69E-03	4.54E-07	3.94E-03	6.99E-07	4.72E-03
CT>GG	1.15E-03	4.60E-03	2.11E-03	4.80E-03	7.05E-07	7.29E-07	7.70E-03	9.56E-03
CT>TA	4.17E-03	1.70E-02	1.58E-03	1.25E-02	7.74E-03	1.23E-02	1.64E-02	8.12E-03
CT>TC	1.50E-07	1.79E-03	7.58E-07	8.76E-07	5.48E-07	8.72E-03	5.44E-03	3.19E-03
CT>TG	1.18E-07	2.02E-07	7.28E-03	3.80E-03	6.23E-07	7.24E-07	5.62E-07	2.53E-02
GC>AA	1.54E-02	1.09E-02	8.91E-03	7.16E-03	3.87E-02	2.90E-02	1.91E-02	7.66E-03
GC>AG	1.13E-02	1.26E-02	4.67E-07	0.00E+00	1.53E-02	9.60E-03	2.03E-02	1.79E-02
GC>AT	4.33E-03	2.40E-07	3.71E-03	4.95E-07	1.12E-02	5.98E-07	1.41E-02	1.27E-02
GC>CA	2.14E-07	4.04E-03	8.44E-03	2.04E-03	4.14E-03	2.72E-03	8.05E-07	1.70E-02
GC>CG	2.12E-07	1.21E-07	1.13E-06	5.66E-07	6.15E-07	6.31E-07	7.49E-07	9.52E-07
GC>TA	1.04E-03	2.76E-07	5.12E-07	2.42E-03	1.44E-02	1.27E-03	5.34E-07	1.34E-06
TA>AT	1.93E-07	1.85E-03	4.21E-03	2.85E-03	4.56E-03	2.15E-03	4.01E-03	1.91E-02
TA>CG	2.00E-07	8.80E-08	5.17E-03	2.04E-03	4.95E-07	5.49E-03	5.03E-07	2.69E-02
TA>CT	2.79E-03	2.25E-07	7.61E-03	5.01E-03	9.44E-07	1.96E-03	2.50E-02	1.79E-02
TA>GC	2.12E-07	1.21E-07	1.13E-06	5.66E-07	6.15E-07	6.31E-07	7.49E-07	9.52E-07
TA>GG	2.93E-07	1.02E-07	1.08E-06	6.84E-07	6.70E-07	5.49E-03	1.11E-06	1.68E-02
TA>GT	2.46E-03	1.24E-03	3.57E-03	1.17E-02	8.70E-07	1.37E-06	1.72E-06	3.43E-03
TC>AA	1.34E-02	2.28E-03	2.64E-02	2.52E-02	2.49E-02	2.50E-02	2.90E-02	1.40E-02
TC>AG	3.04E-03	5.27E-03	2.04E-03	2.03E-03	1.54E-07	4.92E-03	3.19E-02	1.23E-02
TC>AT	1.09E-02	1.47E-02	4.72E-03	3.28E-02	2.65E-02	1.14E-02	8.32E-03	1.62E-02
TC>CA	5.59E-03	2.07E-03	6.46E-03	1.55E-02	1.16E-02	1.92E-02	9.50E-03	1.02E-06
TC>CG	2.31E-03	3.28E-07	1.98E-03	1.08E-02	6.73E-07	7.87E-03	7.92E-07	7.66E-03
TC>CT	8.77E-03	6.64E-03	4.65E-03	1.83E-02	0.00E+00	1.17E-02	6.76E-03	9.56E-03
TC>GA	1.47E-02	3.55E-07	6.62E-03	3.47E-07	1.26E-02	9.48E-03	6.57E-03	1.50E-06
TC>GG	3.99E-03	2.43E-03	1.78E-03	7.91E-03	4.89E-07	4.94E-07	6.49E-07	1.52E-06
TC>GT	1.07E-07	3.77E-03	1.66E-03	5.50E-03	4.80E-03	1.94E-03	4.90E-03	2.46E-02
TG>AA	4.55E-03	1.14E-07	6.15E-03	1.87E-03	2.87E-03	1.46E-03	6.50E-07	1.16E-06
TG>AC	2.60E-03	1.70E-07	6.94E-07	4.32E-07	5.61E-07	8.17E-07	7.04E-07	9.49E-07
TG>AT	4.64E-03	1.72E-07	6.30E-03	1.61E-02	7.69E-03	3.78E-07	1.07E-02	3.02E-03
TG>CA	1.91E-03	3.05E-03	1.45E-02	1.04E-02	3.09E-03	1.56E-02	1.97E-02	2.49E-02
TG>CC	2.50E-03	6.39E-03	1.74E-06	2.52E-03	3.74E-02	2.74E-03	9.11E-07	8.48E-03
TG>CT	1.33E-02	4.70E-08	3.33E-02	1.63E-02	6.02E-02	3.96E-12	1.07E-02	2.45E-02
TG>GA	1.80E-07	1.33E-07	2.11E-03	3.16E-07	5.67E-07	6.70E-07	3.60E-07	1.04E-06
TG>GC	1.55E-07	9.41E-08	3.29E-03	2.40E-03	5.25E-07	7.27E-07	8.41E-03	3.19E-03
TG>GT	2.46E-03	3.40E-03	3.61E-03	5.04E-03	5.39E-07	3.18E-07	7.31E-03	1.46E-02
TT>AA	2.31E-03	3.94E-03	1.22E-02	8.39E-03	4.70E-07	6.77E-07	2.88E-02	3.70E-04
TT>AC	1.35E-07	9.87E-08	1.98E-03	2.40E-03	5.36E-07	6.19E-07	3.67E-07	1.02E-06
TT>AG	1.77E-03	6.18E-07	9.44E-07	5.86E-07	8.46E-07	1.50E-03	1.79E-02	7.60E-03
TT>CA	3.05E-07	2.89E-03	1.29E-06	5.96E-07	7.46E-07	4.68E-07	5.61E-07	1.20E-06
TT>CC	1.25E-03	3.72E-03	7.05E-07	7.56E-07	1.02E-06	6.92E-07	9.30E-07	7.55E-07
TT>CG	2.08E-03	1.26E-07	4.95E-03	4.64E-07	5.41E-07	7.15E-07	1.85E-06	9.56E-03
TT>GA	2.12E-07	1.21E-07	1.13E-06	5.66E-07	6.15E-07	6.31E-07	7.49E-07	9.52E-07
TT>GC	2.12E-07	1.24E-03	3.42E-06	5.06E-07	7.09E-07	7.38E-07	1.12E-02	7.60E-03
TT>GG	1.25E-03	1.84E-07	3.01E-06	2.91E-07	6.44E-07	4.66E-03	8.77E-07	2.55E-03
