MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L
CC>TG	0.011835427120729491	1.711704294393712e-06	0.007247001597670532	1.382370817282208e-06	1.1289204394415719e-06	1.7794517248148623e-06	0.0017977602391511028	3.7196224639046704e-06	6.056943857402075e-06	0.003818029951810331	1.6624599993519952e-06	6.0252831644902475e-06
CC>TT	0.013942488841712475	0.008409588201902808	0.2650120496749878	0.08022214695811272	0.042154949903488156	0.06968712583184242	0.0062014921845559455	0.009804105386137962	0.03352396472564578	0.025713052365153997	0.01606329161825215	0.05053494423627854
CG>AT	0.0013158893104673552	0.005716591936402437	1.0596828815323533e-06	7.463024530807161e-07	1.8490942693460965e-06	0.005255704493083613	2.285831078552292e-06	0.003488387025117845	6.6300699018029265e-06	3.358746630510723e-06	2.5476024688941835e-06	6.601418363061384e-06
CG>GC	1.641038534216932e-06	2.0662798306148035e-06	1.1952236263823578e-06	1.412883898410655e-06	2.0596316744558863e-06	3.2882680443435676e-06	1.9762799638556315e-06	4.23288647652953e-06	7.630469053765409e-06	4.653438350032957e-06	2.649209216087911e-06	7.099510321495473e-06
CG>GT	0.01233646994433002	1.2826034662793973e-06	4.787512580151087e-07	8.145529818648356e-07	1.373105510538153e-06	2.1309279418346703e-06	0.0017964385389234393	2.603004713819246e-06	0.027549601805094425	0.0038163311959920087	1.4516142755383043e-06	0.05187272422954266
CG>TA	1.2808775636585778e-06	1.5019841612229357e-06	8.881998951437709e-07	8.19360138848424e-07	1.676033662548029e-06	0.01579162793735777	2.9408367936412114e-06	2.1316977381502513e-06	0.02214738672666954	0.0770889418353761	1.944658833963331e-06	0.01370382127722678
CG>TC	1.641038534216932e-06	2.0662798306148035e-06	1.1952236263823578e-06	1.412883898410655e-06	2.0596316744558863e-06	3.2882680443435676e-06	1.9762799638556315e-06	4.23288647652953e-06	7.630469053765409e-06	4.653438350032957e-06	2.649209216087911e-06	7.099510321495473e-06
CG>TT	1.641038534216932e-06	2.0662798306148035e-06	1.1952236263823578e-06	1.412883898410655e-06	2.0596316744558863e-06	3.2882680443435676e-06	1.9762799638556315e-06	4.23288647652953e-06	7.630469053765409e-06	4.653438350032957e-06	2.649209216087911e-06	7.099510321495473e-06
CT>AA	0.031225444190204142	0.005331401571429239	0.013825374096632004	0.009785976000443952	0.0072905204117148514	0.02476757611498215	0.02571107696821855	0.026804838417046995	0.015857434082363397	0.0021282111421470516	0.03576774606158324	0.013702744773877385
CT>AC	0.0071239895411054025	0.001906734189742565	7.594392627652269e-07	6.163321472740791e-07	1.8976440514961723e-06	0.005255528520956431	2.3755478196108017e-06	0.0069579802848238614	6.972414712436148e-06	0.0021012781074432494	3.0434707696258556e-06	6.291599174801377e-06
CT>AG	2.0579673218890093e-07	0.005714280544873418	3.6719283119486013e-07	0.023274058662354945	0.013669857006789243	0.045648428797721866	1.1170167795171437e-06	2.471790367053472e-07	0.057700781835410456	0.029567737676461547	0.019103886227640032	0.00831485761955264
CT>GA	0.002089425682129331	0.005716209007391626	1.0247895829706977e-06	0.004337324463585901	0.002129268705539289	2.7233792479819384e-06	1.6259138192253885e-06	0.006942698344164455	0.0026494154711144803	0.00213083121013824	2.2990134539213613e-06	5.018112142352038e-06
CT>GC	0.0041779016400369075	4.558605752436051e-07	0.009300363729209948	7.529562708441518e-07	0.00478166226673693	0.007494826315110004	1.1996346813702985e-06	2.1216474578977794e-06	3.737445422302699e-06	0.008514844641490526	0.005074982701739827	5.8381313920108365e-06
CT>GG	0.0041765125262372745	9.26301433351595e-07	0.001909650365143989	0.018971702791833422	0.002128878690859892	1.7348114269566395e-06	7.694240650835127e-07	1.807919898055843e-06	0.005290188125468376	0.008513381451439272	0.01874843293212507	0.024569346490352473
CT>TA	0.020405071415007116	0.02264354935718984	0.09685379713773727	5.6051938572992686e-46	0.010610249638557724	0.04572028927505016	0.003541560227949958	3.57089020966761e-05	0.01687529865862416	1.9055248230870347e-05	0.016922566396488037	0.020548294974605596
CT>TC	0.0045926406979560856	8.77371417118411e-07	0.014359943060753722	7.993771760084201e-07	8.597891110184719e-07	1.984854907277622e-06	2.1292559608809826e-07	0.02945986409890793	4.477114487144718e-06	2.181201261919341e-06	0.012497054040431976	0.06024840173686243
CT>TG	2.8894448860228296e-07	0.005341034267132727	0.00339562768755286	6.970059871491685e-07	0.005308602194781997	0.01498475533421697	3.753871192202496e-06	1.5548567489531706e-06	0.022142177046498547	0.046264078832342646	0.007498611824712498	5.652476590967126e-06
GC>AA	0.044994546473026274	0.032196465879678726	0.02178467847406864	0.0674767978489399	0.023005120673769853	0.010428687930107117	0.05030874162912369	0.19718602150678635	0.05205751284956932	0.02919683400541544	0.015907831146637363	0.06643780432641506
GC>AG	0.028086882457137106	0.0019044645224823853	0.012241210329614205	0.05235415101051331	0.00876501806418446	0.01457032020935003	0.06829336136579514	0.012969605866146594	0.01645109339087867	0.027146373094478805	0.005836280722587617	0.01491224251713561
GC>AT	2.6590919333102647e-07	0.008385716378688813	2.9722666567977284e-07	0.02181375939399004	0.03222882285473361	2.150647173948528e-06	2.628965603435063e-07	1.0429540933852567e-06	0.03840322835221741	8.658332262712065e-07	0.03813268784433603	0.019479168872658194
GC>CA	0.008139682531975723	0.0019056669696510653	0.0015903013708395974	6.346538214074826e-07	0.025131606060959478	0.005239499555955263	1.2149196123801778e-06	3.9003849110486045e-07	0.028590618260644185	0.045437433011829856	0.004579232104629227	0.03944619191906895
GC>CG	1.641038534216932e-06	2.0662798306148035e-06	1.1952236263823578e-06	1.412883898410655e-06	2.0596316744558863e-06	3.2882680443435676e-06	1.9762799638556315e-06	4.23288647652953e-06	7.630469053765409e-06	4.653438350032957e-06	2.649209216087911e-06	7.099510321495473e-06
GC>TA	0.004336473861644663	1.617014686416951e-06	6.512836762340157e-07	9.521498895992409e-07	1.5586356312269345e-06	3.0058220318096573e-06	0.00658235149498978	2.635795294736454e-06	8.065595329753705e-06	0.019516852694573573	2.04132949193081e-06	0.02055436962227759
TA>AT	2.7009659504528826e-07	0.007527765783970608	0.015818603941943364	5.049759295161493e-07	0.017582773008825825	1.8737576965577318e-06	0.006959270000538709	0.003471624538042307	0.007386190697064876	0.006277267006282727	0.011662917991588983	0.01832106965011917
TA>CG	0.006265399820654239	1.4557073427567956e-06	9.292766549151566e-07	1.2610788644451532e-06	2.100458800669003e-06	2.307602119344665e-06	1.3362696336116642e-06	2.7697706400431343e-06	0.01003269978446042	0.008450520895621594	0.009158629255171035	5.3359329285740385e-06
TA>CT	0.002088116171444199	0.01095869933415088	3.2990496947604695e-07	2.402347263341653e-07	0.0571923390914435	0.04306873641908169	0.00713682258813293	0.009415109671454047	0.0026451658872019834	0.010640046303251438	0.018749119755676703	0.02456775493283203
TA>GC	1.641038534216932e-06	2.0662798306148035e-06	1.1952236263823578e-06	1.412883898410655e-06	2.0596316744558863e-06	3.2882680443435676e-06	1.9762799638556315e-06	4.23288647652953e-06	7.630469053765409e-06	4.653438350032957e-06	2.649209216087911e-06	7.099510321495473e-06
TA>GG	1.28766229181565e-06	1.4357033251144458e-06	9.882987797027454e-07	1.202613316308998e-06	1.864850344190927e-06	2.2659927708717543e-06	1.2440992918527626e-06	2.8452876904339063e-06	0.014770543409372294	0.027261693252455643	0.00915864478020012	6.013976963004097e-06
TA>GT	0.010492611506924732	0.008436457812786102	4.5131881165616505e-07	6.829837332134048e-07	0.005310322795230605	0.008591404012076965	0.025362710282206536	0.005949075890839595	6.509593663395208e-06	0.007631550819451149	2.522064687582315e-06	6.3884330302244056e-06
TC>AA	0.08155850848997943	0.1566528633236885	0.009452134743332863	0.006895069770507689	0.05038596019148826	0.12329051047563552	0.03718494474887848	0.10262814462184906	0.06560414477717132	0.10340726003050804	0.12032121121883392	0.029500515758991243
TC>AG	0.022212128341197967	4.318541868997272e-07	0.07557632401585579	3.915368154139287e-08	0.017983254748764922	0.05229533091187477	2.8025969286496343e-46	0.0341551274061203	0.005626475520796248	0.017825892571090664	0.024530974216759205	0.020747975735480394
TC>AT	0.03652529139071703	0.06619857028126716	0.15296849906444548	0.03181822132319212	0.05350771304219961	0.12146485224366188	0.0759837718680501	0.057333220914006236	0.015875819697976114	0.02234898785054611	0.02856051576159189	0.029482315016866777
TC>CA	0.03400951735675335	0.09272732734680175	0.007141743227839557	0.005348879444454724	0.019124045522130474	0.0015658826255275926	0.0034375622800581597	0.010869044065475463	0.008691875945703486	0.017031841964922023	0.006249051528857308	0.012405022853818082
TC>CG	0.011709990108761304	1.0143663473627385e-06	6.155868049972923e-07	7.360674146639212e-07	0.002655515587593982	0.0037478870374343387	0.011328253810006572	2.0127998368479895e-06	0.002649101641327434	0.020398094711640623	1.8897473864853965e-06	5.192895787331508e-06
TC>CT	0.017640947178006173	0.008148097433149815	0.03683326430618763	0.023595646396279334	3.222034706595878e-07	0.01612583483409935	0.023759907160933836	0.011893502684779483	1.943495317391353e-06	0.008556089229159625	1.968768606275262e-06	0.020552834539898868
TC>GA	0.02393113051673481	0.016144659687017792	1.3927103736932622e-07	0.04678491204977035	0.007511726272787201	0.018431957745519867	0.002792529534633559	0.024300891579537166	0.00793087908759844	0.024021164684086216	0.004168051947294771	0.015956943793753453
TC>GG	0.004176997477065925	1.3917255046180799e-06	0.014145200917300826	0.011496092598054019	0.0021284639058194443	2.1048247390353935e-06	1.4256129816203611e-06	3.0240321848395977e-06	5.613787652691826e-06	0.0021303711637756352	1.5971090533639654e-06	5.35953363396402e-06
TC>GT	0.001189575239777696	0.013292593121843766	0.013524071951326277	8.844457056511601e-07	0.010616942595066802	1.9412784695305163e-06	2.1396757631464426e-06	0.003471979013329474	4.648902358894702e-06	0.013918538292887205	0.018747378041825868	0.017206506878210348
TG>AA	0.013323887623846531	0.0019059456242302986	4.5615752242156304e-07	0.007248522815041269	0.002128820099460427	2.273193399560114e-06	0.007140124283148452	0.0034720748927760782	5.486833663326251e-06	0.004307266530577181	2.8586226335391986e-06	4.2233100430166814e-06
TG>AC	1.4701803365824162e-06	2.0206811086609378e-06	1.1345771554260863e-06	0.009088890317661935	1.9959397377533607e-06	3.1398471492138926e-06	1.8098839291269542e-06	4.159336003795033e-06	7.396836440420884e-06	4.57477769941761e-06	2.6497014346205106e-06	6.756121956641437e-06
TG>AT	0.02368561699986458	0.044547258876264095	1.655307926284877e-07	0.013886751979589463	0.02968069219582503	0.020083969387405885	0.021406249701976778	0.005202655789884147	0.00015095030512384254	0.010642334800195385	0.0394482681598106	0.014310731303203404
TG>CA	0.01152278445661068	0.048459815606474874	0.006908286413829501	0.002168436534702778	0.015290303671463334	3.872082857014911e-07	0.03002350330352783	0.08383077345788478	0.00870246944812152	0.018005094299041957	0.04590191962470271	0.002791929377517377
TG>CC	0.0027474248510316102	0.022197300571582444	0.005409311686753427	6.620015369662724e-07	0.005281875435184702	0.003748241306550426	0.021609153893223265	0.00297468164685597	0.012781670324307015	0.002100676187706085	3.155869353577145e-06	0.0068568258146115115
TG>CT	0.01850660927593708	0.08329536914825439	1.759581982486666e-26	0.04614668264985085	0.06495626739345259	0.04259461392502999	0.0822965707629919	0.027801230157274405	0.1700422003865242	0.008512571080996168	0.043487806742302834	0.007233520597219467
TG>GA	0.004177460696269009	1.490952547555935e-06	9.756666486282483e-07	1.2642984529520619e-06	2.0930168375343784e-06	2.8477711566665675e-06	1.8334563776534196e-06	2.93367775157094e-06	0.005292848371209402	0.008514594507869334	2.2905692503627505e-06	5.450693174680055e-06
TG>GC	1.0762399938357702e-06	1.5789626331752515e-06	7.579708722005307e-07	1.3777526760350155e-06	0.014628067622243179	2.285183143158065e-06	1.7722713408829804e-06	3.0199337288649986e-06	6.132741191322566e-06	0.0021317230786735307	0.006250935652951745	0.012074251953526982
TG>GT	0.01262756087348862	0.008415994673941895	0.014913947703466168	2.3598989997708487e-07	0.0173006348882609	0.007493370722841064	0.0035895062259584166	1.1422364877944347e-06	0.0026453402146671577	0.023770363913490654	0.018335736322796947	4.0048643313639335e-06
TT>AA	0.01950557793054486	7.35309718619126e-07	0.014607691764831543	2.158792767659179e-07	0.00638585385083843	1.9089041188637385e-06	0.0017946980020042246	0.005515907659764707	0.08482970202985599	0.0170239160033816	0.006249229578588711	0.014529145691562917
TT>AC	1.504163139998127e-06	1.8238568145534372e-06	1.1513640288285387e-06	1.2232558219693601e-06	0.0021294187677767694	3.1959908483258915e-06	1.8498968302083085e-06	3.563944324014301e-06	0.0052925714276170766	0.004258840199850056	2.5204731059602635e-06	6.262145916480222e-06
TT>AG	8.539817002883864e-07	2.5246453674299116e-07	6.119137196947122e-07	8.247191885857319e-07	0.014973240425365474	0.02693871828423653	0.010527164957215973	0.00297552197390587	5.296018298395211e-06	3.588334971027507e-06	2.6051636837109983e-06	0.018336134112541914
TT>CA	1.2912401416542707e-06	1.7552567442180588e-06	0.01606475420176139	1.156320342943218e-06	1.3320411085260275e-06	2.5787348477024354e-06	1.5487035966543772e-06	4.302447587178904e-06	5.733532771046157e-06	4.779701748702792e-06	1.8350300479141879e-06	6.249453326745424e-06
TT>CC	1.0857930078600476e-06	1.4148104810374206e-06	0.008651243189092384	0.01581819600419294	1.3427630619844423e-06	2.3627142127224943e-06	1.7312733916696744e-06	3.060398512388929e-06	6.90553798676774e-06	2.619842939566297e-06	2.06439156045235e-06	5.986833093629684e-06
TT>CG	1.5817885923752328e-06	1.5156781728364876e-06	1.1401966958146658e-06	1.025735684834217e-06	1.7763562482286944e-06	2.3417908664669086e-06	1.3377444474826916e-06	3.3422207252442602e-06	0.031961426164207295	3.978207973887038e-06	2.3791913918103092e-06	6.98439680490992e-06
TT>GA	1.641038534216932e-06	2.0662798306148035e-06	1.1952236263823578e-06	1.412883898410655e-06	2.0596316744558863e-06	3.2882680443435676e-06	1.9762799638556315e-06	4.23288647652953e-06	7.630469053765409e-06	4.653438350032957e-06	2.649209216087911e-06	7.099510321495473e-06
TT>GC	1.5556236007796543e-06	1.9390490024306926e-06	1.1527294418556267e-06	1.2505648442129313e-06	1.9476892020975354e-06	0.027455908764432026	1.979183753064717e-06	3.7231185160635506e-06	7.140549632822512e-06	4.22932375840901e-06	2.4304082899107014e-06	6.357733900586026e-06
TT>GG	1.2279348311494687e-06	6.793588454456767e-07	9.994348260988772e-07	8.177242079909775e-07	0.0026288203339618122	3.0869951842760202e-06	0.009523969263136678	0.002977368484471299	6.732089423167053e-06	4.185733951089788e-06	3.801956609095214e-06	7.20034486221266e-06
