MutationType	ID1	ID2	ID7	ID13	ID83A	ID83B	ID83C	ID83D	ID83G	ID83H	ID83I
1:Ins:C:3	0.00084599	0.00043005	0.00240773	0.00037556	0.00000229	0.00000054	0.00000968	0.00084236	0.01172331	0.00503800	0.00438154
1:Ins:C:4	0.00178553	0.00291185	0.01548543	0.00014858	0.00000238	0.00000482	0.00218769	0.00082139	0.02911789	0.00718811	0.00400763
1:Ins:C:5	0.02429654	0.00901754	0.06034323	0.00070698	0.00000104	0.00000074	0.00000123	0.00000301	0.01160569	0.00001389	0.01182339
1:Ins:T:0	0.00228382	0.00132856	0.00000136	0.04113701	0.00000158	0.00000160	0.00000088	0.00092404	0.02601125	0.00811166	0.00889829
1:Ins:T:1	0.00004030	0.00000000	0.00037365	0.00474885	0.00000080	0.00000120	0.00000116	0.00000412	0.11108884	0.02597387	0.05829003
1:Ins:T:2	0.00019286	0.00064703	0.01838271	0.00305417	0.00462517	0.00000025	0.00295904	0.00000331	0.02427678	0.00561481	0.01296872
1:Ins:T:3	0.00424327	0.00108288	0.00889164	0.00927186	0.00000123	0.00000094	0.00849037	0.00000379	0.00929434	0.00383576	0.01143597
1:Ins:T:4	0.01664913	0.00348746	0.01278797	0.01209864	0.00028249	0.00000093	0.00094048	0.00105635	0.00899230	0.00109340	0.00611091
1:Ins:T:5	0.89090647	0.00313258	0.01078985	0.01109979	0.00000075	0.00000000	0.00000108	0.01512489	0.00000761	0.00012031	0.03519301
2:Del:R:0	0.00068605	0.00016381	0.00002330	0.02218440	0.00000001	0.00000000	0.00000204	0.00000000	0.00000475	0.02806388	0.40936975
2:Del:R:1	0.00121997	0.00356888	0.00818230	0.00433321	0.00167143	0.00000068	0.00109370	0.00000505	0.01010056	0.00126746	0.00487683
2:Del:R:2	0.00047275	0.00184957	0.00899154	0.00310892	0.00047100	0.00000133	0.00000165	0.00000787	0.00138883	0.00006485	0.00057206
2:Del:R:3	0.00042672	0.00073904	0.07213214	0.00010557	0.00000289	0.00000104	0.00000243	0.00000557	0.00094070	0.00041746	0.00051294
2:Del:R:4	0.00005460	0.00088193	0.05225084	0.00000613	0.00000225	0.00000107	0.00000158	0.00000475	0.00162098	0.00123923	0.00058968
2:Del:R:5	0.00000000	0.00000000	0.05704633	0.00006630	0.00000327	0.00000182	0.00000254	0.00000716	0.00003006	0.00002364	0.00002708
3:Del:R:0	0.00012804	0.00001250	0.00062541	0.00303967	0.00015109	0.00000001	0.00913026	0.01015556	0.03394055	0.01708591	0.08125224
3:Del:R:1	0.00501109	0.00500326	0.01168900	0.00118696	0.00195503	0.00000112	0.00181138	0.00033695	0.00731920	0.00075292	0.00331186
3:Del:R:2	0.00076938	0.00228989	0.00547485	0.00038438	0.00000246	0.00000086	0.00014320	0.00000544	0.00064671	0.00037291	0.00176108
3:Del:R:3	0.00037126	0.00040259	0.00345675	0.00006900	0.00000327	0.00000182	0.00000254	0.00000716	0.00003006	0.00002364	0.00002708
3:Del:R:4	0.00000000	0.00000000	0.00049254	0.00000309	0.00000327	0.00000182	0.00000254	0.00000716	0.00003006	0.00002364	0.00002708
3:Del:R:5	0.00000000	0.00000000	0.00043659	0.00009960	0.00000327	0.00000182	0.00000254	0.00000716	0.00003006	0.00002364	0.00002708
4:Del:R:0	0.00009970	0.00001210	0.00013088	0.00215535	0.01278545	0.00000056	0.00209205	0.00297373	0.03783985	0.01968867	0.02310372
4:Del:R:1	0.00090050	0.00211579	0.00339680	0.00002300	0.00000290	0.00000097	0.00000187	0.00007366	0.00113905	0.00016378	0.00177364
4:Del:R:2	0.00000323	0.00054329	0.00277739	0.00007920	0.00000327	0.00000182	0.00000254	0.00000716	0.00003006	0.00002364	0.00002708
4:Del:R:3	0.00000000	0.00000727	0.00043959	0.00003920	0.00000327	0.00000182	0.00000254	0.00000716	0.00003006	0.00002364	0.00002708
4:Del:R:4	0.00000000	0.00000000	0.00020181	0.00000947	0.00000327	0.00000182	0.00000254	0.00000716	0.00003006	0.00002364	0.00002708
4:Del:R:5	0.00002890	0.00021041	0.00025076	0.00006300	0.00000327	0.00000182	0.00000254	0.00000716	0.00003006	0.00002364	0.00002708
5:Del:R:0	0.00000835	0.00003850	0.00008550	0.02009754	0.00000035	0.00000010	0.00000114	0.00000051	0.00001168	0.60984968	0.00000144
5:Del:R:1	0.00019068	0.00297751	0.00347673	0.00298053	0.00000327	0.00000182	0.00000254	0.00000716	0.00003006	0.00002364	0.00002708
5:Del:R:2	0.00012636	0.00039753	0.00116890	0.00006990	0.00000327	0.00000182	0.00000254	0.00000716	0.00003006	0.00002364	0.00002708
5:Del:R:3	0.00001890	0.00015815	0.00040662	0.00000640	0.00000327	0.00000182	0.00000254	0.00000716	0.00003006	0.00002364	0.00002708
5:Del:R:4	0.00000311	0.00008470	0.00012588	0.00000146	0.00000327	0.00000182	0.00000254	0.00000716	0.00003006	0.00002364	0.00002708
5:Del:R:5	0.00003130	0.00002120	0.00002080	0.00000235	0.00000327	0.00000182	0.00000254	0.00000716	0.00003006	0.00002364	0.00002708
2:Ins:R:0	0.00040204	0.00033185	0.00003040	0.01061841	0.00872402	0.00415798	0.00084573	0.00171225	0.02188228	0.00131600	0.00301071
2:Ins:R:1	0.00000788	0.00027166	0.00039763	0.00180137	0.01818270	0.00095511	0.00000195	0.00000140	0.02830105	0.00549998	0.01114159
2:Ins:R:2	0.00022135	0.00103534	0.00007010	0.00068852	0.00000278	0.00044670	0.00135300	0.00127474	0.01663612	0.00320155	0.00937777
2:Ins:R:3	0.00051427	0.00038133	0.00314704	0.00074354	0.00000317	0.00000122	0.00000243	0.00000615	0.00002695	0.00002135	0.00002664
2:Ins:R:4	0.00291310	0.00197742	0.00182828	0.00021335	0.00000279	0.00000091	0.00000254	0.00003393	0.00154832	0.00005204	0.00039914
2:Ins:R:5	0.01812158	0.01363338	0.00024477	0.00084658	0.00000200	0.00000082	0.00000176	0.00000489	0.00177807	0.00124905	0.00072538
3:Ins:R:0	0.00000031	0.00005780	0.00000000	0.00008210	0.00306125	0.00000046	0.00000133	0.00000418	0.00472977	0.00407549	0.00282249
3:Ins:R:1	0.00025469	0.00122705	0.00000551	0.00368833	0.00245979	0.00000063	0.00058017	0.00000808	0.00461988	0.00149716	0.00203545
3:Ins:R:2	0.00004410	0.00021007	0.00005470	0.00020251	0.00097666	0.00000059	0.00000165	0.00000548	0.00516422	0.00164529	0.00081077
3:Ins:R:3	0.00016670	0.00000302	0.00017783	0.00002370	0.00000327	0.00000182	0.00000254	0.00000716	0.00003006	0.00002364	0.00002708
3:Ins:R:4	0.00008890	0.00014181	0.00041561	0.00000349	0.00000316	0.00000125	0.00000445	0.00000553	0.00029025	0.00017650	0.00021079
3:Ins:R:5	0.00124870	0.00186471	0.00076928	0.00003540	0.00000233	0.00001847	0.00072398	0.00006980	0.00067785	0.00038344	0.00052084
4:Ins:R:0	0.00000000	0.00001680	0.00000000	0.00111880	0.00163093	0.00000080	0.00000241	0.00026882	0.00238957	0.00145445	0.00142698
4:Ins:R:1	0.00074438	0.00120373	0.00002610	0.00269163	0.00382375	0.00000127	0.00000224	0.00118319	0.01590869	0.00334602	0.00452910
4:Ins:R:2	0.00007550	0.00001220	0.00019482	0.00006930	0.00093574	0.00000092	0.00000150	0.00006411	0.00262644	0.00073319	0.00053024
4:Ins:R:3	0.00015754	0.00013417	0.00027374	0.00000064	0.00000327	0.00000182	0.00000254	0.00000716	0.00003006	0.00002364	0.00002708
4:Ins:R:4	0.00031965	0.00024939	0.00025876	0.00001210	0.00000327	0.00000182	0.00000254	0.00000716	0.00003006	0.00002364	0.00002708
4:Ins:R:5	0.00100132	0.00219354	0.00000874	0.00000031	0.00000289	0.00000120	0.00000189	0.00007687	0.00059654	0.00012954	0.00013528
5:Ins:R:0	0.00000000	0.00000000	0.00000000	0.00259023	0.00000241	0.00000077	0.00000248	0.00000402	0.00539598	0.00771041	0.00471516
5:Ins:R:1	0.00144313	0.00013566	0.00000000	0.01350195	0.00001431	0.00000074	0.00000147	0.00000291	0.02294622	0.00539850	0.01085497
5:Ins:R:2	0.00025483	0.00000553	0.00000884	0.00004590	0.00000327	0.00000182	0.00000254	0.00000716	0.00003006	0.00002364	0.00002708
5:Ins:R:3	0.00023709	0.00009770	0.00000446	0.00004610	0.00000327	0.00000182	0.00000254	0.00000716	0.00003006	0.00002364	0.00002708
5:Ins:R:4	0.00026187	0.00000215	0.00001060	0.00000243	0.00000261	0.00000126	0.00036599	0.00010919	0.00044702	0.00002053	0.00111695
5:Ins:R:5	0.00011983	0.00011563	0.00000428	0.00004330	0.00000270	0.00000120	0.00000203	0.00000556	0.00027103	0.00044969	0.00021126
2:Del:M:1	0.00119782	0.00017555	0.00312706	0.00887241	0.00000617	0.00000054	0.00000047	0.00543606	0.01446576	0.00873651	0.08793456
3:Del:M:1	0.00008190	0.00000055	0.00025476	0.00114008	0.00000095	0.00000001	0.02486056	0.00532655	0.03819693	0.00281050	0.03431838
3:Del:M:2	0.00147959	0.00294406	0.00463564	0.00045031	0.00000910	0.00000200	0.00242800	0.00000337	0.02725848	0.00240707	0.02106059
4:Del:M:1	0.00008380	0.00014700	0.00018383	0.00127080	0.00000133	0.00000073	0.00000599	0.00000265	0.03685626	0.00467569	0.02656126
4:Del:M:2	0.00014548	0.00055061	0.00101904	0.00015972	0.00000150	0.00000041	0.00000370	0.00000456	0.00641802	0.00476667	0.01103393
4:Del:M:3	0.00016068	0.00069357	0.00071732	0.00027058	0.00083793	0.00000082	0.00032228	0.00000459	0.00384714	0.00148817	0.00283857
5:Del:M:1	0.00000082	0.00062496	0.00002360	0.01174078	0.00000110	0.00000002	0.00000005	0.02667110	0.21151071	0.13740840	0.00716788
5:Del:M:2	0.00000000	0.00011771	0.00024577	0.00705542	0.02289991	0.00000118	0.00000039	0.00787067	0.09691268	0.02941635	0.00542109
5:Del:M:3	0.00000000	0.00005670	0.00006160	0.00216598	0.00278150	0.00000075	0.00000112	0.00057431	0.00842345	0.01490690	0.00539816
5:Del:M:4	0.00003880	0.00046284	0.00006820	0.00028174	0.00348488	0.00000157	0.00000163	0.00035614	0.00683222	0.00368853	0.00199226
5:Del:M:5	0.00066512	0.00236732	0.00173836	0.01313191	0.00192665	0.00000069	0.00019521	0.00000366	0.00295353	0.00050285	0.00103083
