MutationType	DBS2	DBS4	DBS6	DBS11	DBS13	DBS17	DBS18	DBS20	DBS78F	DBS78J
CG>GT	0.00128027	0.00000000	0.00322069	0.00117992	0.00236357	0.00476132	0.00161280	0.00024229	0.00338737	0.00466116
CG>TA	0.00000000	0.00000000	0.00000000	0.00000000	0.00065557	0.00584808	0.00025472	0.00051120	0.00937710	0.00169054
CG>TC	0.00215045	0.00000000	0.00891191	0.00068495	0.00221426	0.00563701	0.00120722	0.00127668	0.00000279	0.00000444
CG>TT	0.00556118	0.00036116	0.01870401	0.00069895	0.00164313	0.01232192	0.00254547	0.00039108	0.00000279	0.00000444
CT>AA	0.00321068	0.00000000	0.00448096	0.00439970	0.06168987	0.01041216	0.02653683	0.00960691	0.01672463	0.00000210
CT>AC	0.00000000	0.00000000	0.00195042	0.00234984	0.02589689	0.01459908	0.02614757	0.00569839	0.00000218	0.00000419
CT>AG	0.00058712	0.00036316	0.03950848	0.00049597	0.01328834	0.00812751	0.00726700	0.00057029	0.05795628	0.00836749
CT>GA	0.00001810	0.00067330	0.00734158	0.01159921	0.00109409	0.00552022	0.00364736	0.00312897	0.00219512	0.00000283
CT>GC	0.00013403	0.00007220	0.00179038	0.00610958	0.00388039	0.01109459	0.00122454	0.00063377	0.00000105	0.00000225
CT>GG	0.00008980	0.00092641	0.00681146	0.00401973	0.00264999	0.00774922	0.00198528	0.00050315	0.01261913	0.02491975
CT>TA	0.00338071	0.00000000	0.00008840	0.04169716	0.03108580	0.00091217	0.00952199	0.01808698	0.03581706	0.01751440
CT>TC	0.00003840	0.00000000	0.00000000	0.00298980	0.00851099	0.01873298	0.00632082	0.00065994	0.00000091	0.02682262
CT>TG	0.00039008	0.00003080	0.01120240	0.00147990	0.00391349	0.02444075	0.00259603	0.00600496	0.00625268	0.00000317
GC>AA	0.00508108	0.32814716	0.00000000	0.00099993	0.00000003	0.12592949	0.03483500	0.01018321	0.03940874	0.01489198
GC>AG	0.00032507	0.01130507	0.00366079	0.00328978	0.01696915	0.01890403	0.04229653	0.00971442	0.04142253	0.01190054
GC>AT	0.00095320	0.00924415	0.00188040	0.02719815	0.01737239	0.04625069	0.05069040	0.01683102	0.05806503	0.00931710
GC>CA	0.00106022	0.01190534	0.00869187	0.00210986	0.01039921	0.01134939	0.02342080	0.00996847	0.00000044	0.01782448
GC>CG	0.00006690	0.00000098	0.00000000	0.00403973	0.00086487	0.00036973	0.00193531	0.00098246	0.00000279	0.00000444
GC>TA	0.00073616	0.01770794	0.00082918	0.00024298	0.00003390	0.00875514	0.01902483	0.00031415	0.00000240	0.00000320
TA>AT	0.00275058	0.03041364	0.00857184	0.00222985	0.00624589	0.00876246	0.01045004	0.16094933	0.00625527	0.01811359
TA>CG	0.00001890	0.00038918	0.00025906	0.00058396	0.00024471	0.00728658	0.00192574	0.00644311	0.00312721	0.00000300
TA>CT	0.00028006	0.00872391	0.02610560	0.00337977	0.01638484	0.01692123	0.01114200	0.11690854	0.01016488	0.11605155
TA>GC	0.00008220	0.00007020	0.00026406	0.00101993	0.00012677	0.00070131	0.00026241	0.00286647	0.00000279	0.00000444
TA>GG	0.00007890	0.00222100	0.00021805	0.00037497	0.00059345	0.00588205	0.00374396	0.00980494	0.00625241	0.00000360
TA>GT	0.00130028	0.00806362	0.00006250	0.00266982	0.00614737	0.01238385	0.00703109	0.05618043	0.00000202	0.00000196
TC>AA	0.00145031	0.37917005	0.04580983	0.00021698	0.06810894	0.05815784	0.00367499	0.18018691	0.06914989	0.06209526
TC>AG	0.00020004	0.00187084	0.00828178	0.04739677	0.06721666	0.00023258	0.01185058	0.00799556	0.05805295	0.02028217
TC>AT	0.00000000	0.00841377	0.00059413	0.08459423	0.15791239	0.00131200	0.07356488	0.02395770	0.04301124	0.02226433
TC>CA	0.00068214	0.08463796	0.01180253	0.00028198	0.03750799	0.00534883	0.01880728	0.01512029	0.00000237	0.02835096
TC>CG	0.00000389	0.00040018	0.00086219	0.00323978	0.00722690	0.00164163	0.00219228	0.00047311	0.00000161	0.00000236
TC>CT	0.00335071	0.00000828	0.00939202	0.02009863	0.03250165	0.02070633	0.02551303	0.01822673	0.00127165	0.00851404
TC>GA	0.00088519	0.03641633	0.00734158	0.00023498	0.01158433	0.00622415	0.00190081	0.00704212	0.01350377	0.00000114
TC>GG	0.00000987	0.00001040	0.00151032	0.00732950	0.01538438	0.00028347	0.00183872	0.00095776	0.00439362	0.00000241
TC>GT	0.00008570	0.00000000	0.00000000	0.01519896	0.03331173	0.00038857	0.00812228	0.00543547	0.00000057	0.02849572
TG>AA	0.00296063	0.00763342	0.02550547	0.00782947	0.01924088	0.00824444	0.01004784	0.02281667	0.00347482	0.00000301
TG>AC	0.00022005	0.00011805	0.01010217	0.00086594	0.00442355	0.00232139	0.00451536	0.00386415	0.00566902	0.00000430
TG>AT	0.00429091	0.00000000	0.22104743	0.01049928	0.01851971	0.00910307	0.02696959	0.04884615	0.02685040	0.04291222
TG>CA	0.00014403	0.00080436	0.01140245	0.05609617	0.02863780	0.14554516	0.01573682	0.00243813	0.01503987	0.00000077
TG>CC	0.00005940	0.00012005	0.00789169	0.00312979	0.00520651	0.01729274	0.00378254	0.00013112	0.00347619	0.00000064
TG>CT	0.00307065	0.00008210	0.27505902	0.00557962	0.01650479	0.00373540	0.01057465	0.01212043	0.07433494	0.00571595
TG>GA	0.00147031	0.00785352	0.00744160	0.00730950	0.00610512	0.00996574	0.00077124	0.01915110	0.00000257	0.00000370
TG>GC	0.00027206	0.00060427	0.00560120	0.00611958	0.00219436	0.00747641	0.00083096	0.00051919	0.00000240	0.00571972
TG>GT	0.00640136	0.00003230	0.02740588	0.00523964	0.01916183	0.00323767	0.00310198	0.00525343	0.01391351	0.00000289
TT>AA	0.00431091	0.00001800	0.00019304	0.00476968	0.01318549	0.00021184	0.02723286	0.06266200	0.00000072	0.06636758
TT>AC	0.00034507	0.00000066	0.00012803	0.00103993	0.00147249	0.01197658	0.01746798	0.01054644	0.00000247	0.00000360
TT>AG	0.00021505	0.00000000	0.00212045	0.00126991	0.00579217	0.00640216	0.00804527	0.01556096	0.00000199	0.03996820
TT>CA	0.00000000	0.00000000	0.00000000	0.00201986	0.00380848	0.01389748	0.01696879	0.00064064	0.00000214	0.00000361
TT>CC	0.00000298	0.00000000	0.00000000	0.00399973	0.00000105	0.00000380	0.00000021	0.00275531	0.01261873	0.00000305
TT>CG	0.00001520	0.00000000	0.00001120	0.00000000	0.00085676	0.00637330	0.00382531	0.00098567	0.00338759	0.00466112
TT>GA	0.00004790	0.00000000	0.00000000	0.00070695	0.00282684	0.00866266	0.00135720	0.00134789	0.00000279	0.00000444
TT>GC	0.00000154	0.00000000	0.00000041	0.00000578	0.00075511	0.01817436	0.00270108	0.00271044	0.00849991	0.02248196
TT>GG	0.00000000	0.00000000	0.00000000	0.00000000	0.00000232	0.00000475	0.00000040	0.00018887	0.00000255	0.00000430
