MutationType	DBS2	DBS4	DBS6	DBS10	DBS11	DBS13	DBS18	DBS20	DBS78F
TA>AT	0.00275058	0.03041364	0.00857184	0.01040045	0.00222985	0.00624589	0.01045004	0.16094933	0.00435127
TA>CG	0.00001890	0.00038918	0.00025906	0.00411018	0.00058396	0.00024471	0.00192574	0.00644311	0.00000298
TA>CT	0.00028006	0.00872391	0.02610560	0.00162007	0.00337977	0.01638484	0.01114200	0.11690854	0.02351750
TA>GC	0.00008220	0.00007020	0.00026406	0.00000000	0.00101993	0.00012677	0.00026241	0.00286647	0.00000358
TA>GG	0.00007890	0.00222100	0.00021805	0.00859037	0.00037497	0.00059345	0.00374396	0.00980494	0.00000324
TA>GT	0.00130028	0.00806362	0.00006250	0.00361016	0.00266982	0.00614737	0.00703109	0.05618043	0.00081209
TC>AA	0.00145031	0.37917005	0.04580983	0.00756033	0.00021698	0.06810894	0.00367499	0.18018691	0.11250379
TC>AG	0.00020004	0.00187084	0.00828178	0.00027101	0.04739677	0.06721666	0.01185058	0.00799556	0.01590296
TC>AT	0.00000000	0.00841377	0.00059413	0.00309013	0.08459423	0.15791239	0.07356488	0.02395770	0.03862031
TC>CA	0.00068214	0.08463796	0.01180253	0.02520109	0.00028198	0.03750799	0.01880728	0.01512029	0.01825458
TC>CG	0.00000389	0.00040018	0.00086219	0.00084204	0.00323978	0.00722690	0.00219228	0.00047311	0.00000195
TC>CT	0.00335071	0.00000828	0.00939202	0.02620114	0.02009863	0.03250165	0.02551303	0.01822673	0.00000064
TC>GA	0.00088519	0.03641633	0.00734158	0.04380190	0.00023498	0.01158433	0.00190081	0.00704212	0.03924331
TC>GG	0.00000987	0.00001040	0.00151032	0.00000000	0.00732950	0.01538438	0.00183872	0.00095776	0.00000241
TC>GT	0.00008570	0.00000000	0.00000000	0.04590199	0.01519896	0.03331173	0.00812228	0.00543547	0.02575132
TG>AA	0.00296063	0.00763342	0.02550547	0.00142006	0.00782947	0.01924088	0.01004784	0.02281667	0.00282271
TG>AC	0.00022005	0.00011805	0.01010217	0.00020701	0.00086594	0.00442355	0.00451536	0.00386415	0.00000306
TG>AT	0.00429091	0.00000000	0.22104743	0.00250011	0.01049928	0.01851971	0.02696959	0.04884615	0.01267623
TG>CA	0.00014403	0.00080436	0.01140245	0.02920127	0.05609617	0.02863780	0.01573682	0.00243813	0.07826916
TG>CC	0.00005940	0.00012005	0.00789169	0.00019001	0.00312979	0.00520651	0.00378254	0.00013112	0.01121107
TG>CT	0.00307065	0.00008210	0.27505902	0.00433019	0.00557962	0.01650479	0.01057465	0.01212043	0.09996564
TG>GA	0.00147031	0.00785352	0.00744160	0.00002020	0.00730950	0.00610512	0.00077124	0.01915110	0.00171510
TG>GC	0.00027206	0.00060427	0.00560120	0.00000000	0.00611958	0.00219436	0.00083096	0.00051919	0.00000274
TG>GT	0.00640136	0.00003230	0.02740588	0.00217009	0.00523964	0.01916183	0.00310198	0.00525343	0.01252385
TT>AA	0.00431091	0.00001800	0.00019304	0.01450063	0.00476968	0.01318549	0.02723286	0.06266200	0.01966726
TT>AC	0.00034507	0.00000066	0.00012803	0.00000000	0.00103993	0.00147249	0.01746798	0.01054644	0.00513884
TT>AG	0.00021505	0.00000000	0.00212045	0.00696030	0.00126991	0.00579217	0.00804527	0.01556096	0.00331927
TT>CA	0.00000000	0.00000000	0.00000000	0.00129006	0.00201986	0.00380848	0.01696879	0.00064064	0.00000284
TT>CC	0.00000298	0.00000000	0.00000000	0.00288012	0.00399973	0.00000105	0.00000021	0.00275531	0.00000216
TT>CG	0.00001520	0.00000000	0.00001120	0.00858037	0.00000000	0.00085676	0.00382531	0.00098567	0.00257287
TT>GA	0.00004790	0.00000000	0.00000000	0.00869038	0.00070695	0.00282684	0.00135720	0.00134789	0.00000358
TT>GC	0.00000154	0.00000000	0.00000041	0.02580112	0.00000578	0.00075511	0.00270108	0.00271044	0.00000549
TT>GG	0.00000000	0.00000000	0.00000000	0.08470367	0.00000000	0.00000232	0.00000040	0.00018887	0.00332075
