MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
2:Del:R:3	0.00000013	0.00027059	0.00000609	0.00077487	0.00000232	0.00022154	0.00032015	0.00033281
2:Del:R:4	0.00000002	0.00000769	0.00000546	0.00001960	0.00033741	0.00186401	0.00028449	0.00054489
2:Del:R:5	0.00000034	0.00001143	0.00000789	0.00002102	0.00000319	0.00002446	0.00002406	0.00002566
3:Del:R:0	0.00002652	0.01589370	0.00869778	0.03727624	0.00836262	0.02093735	0.06250998	0.07996477
3:Del:R:1	0.00000000	0.00126707	0.00015751	0.00218064	0.00539734	0.00025249	0.00303960	0.00175491
3:Del:R:2	0.00000001	0.00021790	0.00023372	0.00014970	0.00010153	0.00066866	0.00035818	0.00132871
3:Del:R:3	0.00000034	0.00001143	0.00000789	0.00002102	0.00000319	0.00002446	0.00002406	0.00002566
3:Del:R:4	0.00000034	0.00001143	0.00000789	0.00002102	0.00000319	0.00002446	0.00002406	0.00002566
3:Del:R:5	0.00000034	0.00001143	0.00000789	0.00002102	0.00000319	0.00002446	0.00002406	0.00002566
4:Del:R:0	0.00000002	0.01184815	0.00412984	0.02871675	0.00361903	0.01815039	0.05347919	0.01364739
4:Del:R:1	0.00001621	0.00040253	0.00007168	0.00020459	0.00000163	0.00029411	0.00072674	0.00198474
4:Del:R:2	0.00000034	0.00001143	0.00000789	0.00002102	0.00000319	0.00002446	0.00002406	0.00002566
4:Del:R:3	0.00000034	0.00001143	0.00000789	0.00002102	0.00000319	0.00002446	0.00002406	0.00002566
4:Del:R:4	0.00000034	0.00001143	0.00000789	0.00002102	0.00000319	0.00002446	0.00002406	0.00002566
4:Del:R:5	0.00000034	0.00001143	0.00000789	0.00002102	0.00000319	0.00002446	0.00002406	0.00002566
5:Del:R:0	0.00000002	0.00000219	0.00000067	0.00997873	0.00028401	0.54602241	0.00000289	0.00000272
5:Del:R:1	0.00000034	0.00001143	0.00000789	0.00002102	0.00000319	0.00002446	0.00002406	0.00002566
5:Del:R:2	0.00000034	0.00001143	0.00000789	0.00002102	0.00000319	0.00002446	0.00002406	0.00002566
5:Del:R:3	0.00000034	0.00001143	0.00000789	0.00002102	0.00000319	0.00002446	0.00002406	0.00002566
5:Del:R:4	0.00000034	0.00001143	0.00000789	0.00002102	0.00000319	0.00002446	0.00002406	0.00002566
5:Del:R:5	0.00000034	0.00001143	0.00000789	0.00002102	0.00000319	0.00002446	0.00002406	0.00002566
2:Ins:R:0	0.00000001	0.00188321	0.00000630	0.00642401	0.00000118	0.00547428	0.00857835	0.00800388
2:Ins:R:1	0.00000001	0.00397551	0.00000311	0.01542384	0.00230958	0.00619909	0.01934812	0.00865514
2:Ins:R:2	0.00000000	0.00660705	0.00191800	0.01063153	0.00078301	0.00452422	0.00835869	0.00719100
2:Ins:R:3	0.00000021	0.00001017	0.00000676	0.00001942	0.00108665	0.00002240	0.00020488	0.00002833
2:Ins:R:4	0.00000003	0.00097926	0.00000534	0.00202585	0.00159032	0.00005049	0.00157493	0.00097149
2:Ins:R:5	0.00000002	0.00131840	0.00018323	0.00227355	0.00179286	0.00054372	0.00219607	0.00037470
3:Ins:R:0	0.00000001	0.00340873	0.00039901	0.00820904	0.00068327	0.00213249	0.00221701	0.00415340
3:Ins:R:1	0.00000000	0.00160129	0.00283587	0.00652217	0.00040460	0.00177238	0.00418400	0.00154357
3:Ins:R:2	0.00000001	0.00158843	0.00085602	0.00111548	0.00159257	0.00111690	0.00376407	0.00189014
3:Ins:R:3	0.00000034	0.00001143	0.00000789	0.00002102	0.00000319	0.00002446	0.00002406	0.00002566
3:Ins:R:4	0.00000004	0.00061864	0.00000574	0.00046889	0.00172415	0.00033466	0.00078376	0.00038689
3:Ins:R:5	0.00000004	0.00062668	0.00003719	0.00248628	0.00117892	0.00028315	0.00099176	0.00070524
4:Ins:R:0	0.00000001	0.00267133	0.00000451	0.00159657	0.00000240	0.00151650	0.00300246	0.00275583
4:Ins:R:1	0.00000001	0.00163610	0.00088474	0.00675102	0.00052459	0.00249404	0.01237885	0.00546445
4:Ins:R:2	0.00000003	0.00123135	0.00000548	0.00130026	0.00009095	0.00030544	0.00151151	0.00034579
4:Ins:R:3	0.00000034	0.00001143	0.00000789	0.00002102	0.00000319	0.00002446	0.00002406	0.00002566
4:Ins:R:4	0.00000034	0.00001143	0.00000789	0.00002102	0.00000319	0.00002446	0.00002406	0.00002566
4:Ins:R:5	0.00000014	0.00071470	0.00017509	0.00048664	0.00008242	0.00024941	0.00048427	0.00014728
5:Ins:R:0	0.00000001	0.00674088	0.00000340	0.00933899	0.00000059	0.00554253	0.00555770	0.00638066
5:Ins:R:1	0.00000001	0.00497799	0.00000648	0.01711851	0.00000029	0.00648171	0.01523999	0.01426469
5:Ins:R:2	0.00000034	0.00001143	0.00000789	0.00002102	0.00000319	0.00002446	0.00002406	0.00002566
5:Ins:R:3	0.00000034	0.00001143	0.00000789	0.00002102	0.00000319	0.00002446	0.00002406	0.00002566
5:Ins:R:4	0.00000012	0.00077693	0.00020098	0.00033830	0.00036822	0.00002187	0.00016157	0.00061139
5:Ins:R:5	0.00000012	0.00026884	0.00003857	0.00077420	0.00013087	0.00020394	0.00126308	0.00015809
2:Del:M:1	0.00000003	0.00000634	0.00000280	0.01603690	0.00120357	0.00629011	0.04192088	0.06963423
3:Del:M:1	0.00000001	0.00000422	0.00000150	0.00871744	0.03119952	0.00807373	0.08676060	0.04393324
3:Del:M:2	0.00000001	0.00462757	0.00182163	0.01240843	0.00931263	0.00241205	0.01927885	0.02000070
4:Del:M:1	0.00000002	0.01117512	0.00351495	0.01539834	0.00258103	0.00699332	0.01242857	0.03200288
4:Del:M:2	0.00000000	0.00369303	0.00108352	0.00476001	0.00086413	0.00317233	0.00332580	0.01156792
4:Del:M:3	0.00000000	0.00053832	0.00014679	0.00316959	0.00061573	0.00088567	0.00328173	0.00187113
5:Del:M:1	0.00000001	0.00000524	0.00788399	0.21731706	0.00008181	0.14173203	0.00000803	0.00000622
5:Del:M:2	0.00000000	0.00952996	0.00000999	0.04816542	0.00004967	0.04959385	0.00932350	0.00679421
5:Del:M:3	0.00000000	0.00530921	0.00111358	0.01160229	0.00000055	0.01028741	0.00462910	0.00075081
5:Del:M:4	0.00000000	0.00394471	0.00009058	0.00611005	0.00021360	0.00257572	0.00340795	0.00160404
5:Del:M:5	0.00000001	0.00343651	0.00000446	0.00190514	0.00098030	0.00137693	0.00104248	0.00173906
