MutationType	TCGA-3C-AALI-01	TCGA-5L-AAT0-01	TCGA-5L-AAT1-01	TCGA-A1-A0SE-01	TCGA-A1-A0SI-01	TCGA-A1-A0SO-01	TCGA-A2-A04R-01	TCGA-A2-A04W-01	TCGA-A2-A0CR-01	TCGA-A2-A0SU-01	TCGA-A2-A0T0-01	TCGA-A2-A0T4-01	TCGA-A2-A0T6-01	TCGA-A2-A0YE-01	TCGA-A2-A0YI-01	TCGA-A2-A0YT-01	TCGA-A2-A1G0-01	TCGA-A2-A1G6-01	TCGA-A2-A25B-01	TCGA-A2-A3XT-01	TCGA-A2-A3XX-01	TCGA-A2-A3Y0-01	TCGA-A2-A4S1-01	TCGA-A7-A26G-01	TCGA-A7-A4SE-01	TCGA-A7-A5ZV-01	TCGA-A7-A6VV-01	TCGA-A7-A6VX-01	TCGA-AC-A23H-01	TCGA-AC-A5EH-01	TCGA-AC-A5XS-01	TCGA-AC-A6NO-01	TCGA-AC-A8OP-01	TCGA-AN-A0XU-01	TCGA-AO-A03M-01	TCGA-AO-A124-01	TCGA-AO-A125-01	TCGA-AR-A0TQ-01	TCGA-AR-A0TW-01	TCGA-AR-A0U1-01	TCGA-AR-A24H-01	TCGA-AR-A24Q-01	TCGA-AR-A250-01	TCGA-AR-A251-01	TCGA-AR-A254-01	TCGA-AR-A2LR-01	TCGA-B6-A0I1-01	TCGA-B6-A0RM-01	TCGA-B6-A0RT-01	TCGA-B6-A0RU-01	TCGA-B6-A0WW-01	TCGA-BH-A0AY-01	TCGA-BH-A0AZ-01	TCGA-BH-A0BL-01	TCGA-BH-A0BT-01	TCGA-BH-A0BW-01	TCGA-BH-A0BZ-01	TCGA-BH-A0C1-01	TCGA-BH-A0DH-01	TCGA-BH-A0DV-01	TCGA-BH-A0H7-01	TCGA-BH-A0HA-01	TCGA-BH-A0HP-01	TCGA-BH-A0RX-01	TCGA-BH-A0WA-01	TCGA-BH-A18G-01	TCGA-BH-A18H-01	TCGA-BH-A18L-01	TCGA-BH-A18P-01	TCGA-BH-A18Q-01	TCGA-BH-A18T-01	TCGA-BH-A18V-01	TCGA-BH-A1ET-01	TCGA-BH-A1F0-01	TCGA-BH-A1FC-01	TCGA-BH-A1FU-01	TCGA-BH-A2L8-01	TCGA-BH-A8FY-01	TCGA-BH-A8FZ-01	TCGA-C8-A12K-01	TCGA-C8-A12M-01	TCGA-C8-A12P-01	TCGA-C8-A12W-01	TCGA-C8-A12Y-01	TCGA-C8-A131-01	TCGA-C8-A133-01	TCGA-C8-A138-01	TCGA-C8-A1HJ-01	TCGA-C8-A1HM-01	TCGA-C8-A1HO-01	TCGA-C8-A26Y-01	TCGA-C8-A3M8-01	TCGA-C8-A8HP-01	TCGA-C8-A8HQ-01	TCGA-C8-A8HR-01	TCGA-D8-A13Y-01	TCGA-D8-A1J8-01	TCGA-D8-A1JD-01	TCGA-D8-A1JK-01	TCGA-D8-A1JM-01	TCGA-D8-A1JP-01	TCGA-D8-A1X9-01	TCGA-D8-A1XL-01	TCGA-D8-A1XQ-01	TCGA-D8-A1XU-01	TCGA-D8-A1XW-01	TCGA-D8-A1Y0-01	TCGA-D8-A27F-01	TCGA-D8-A27G-01	TCGA-D8-A27H-01	TCGA-D8-A27M-01	TCGA-E2-A105-01	TCGA-E2-A109-01	TCGA-E2-A10C-01	TCGA-E2-A14N-01	TCGA-E2-A14R-01	TCGA-E2-A14W-01	TCGA-E2-A14Z-01	TCGA-E2-A150-01	TCGA-E2-A152-01	TCGA-E2-A159-01	TCGA-E2-A15F-01	TCGA-E2-A15M-01	TCGA-E2-A1AZ-01	TCGA-E2-A1B6-01	TCGA-E2-A1BD-01	TCGA-E2-A1IH-01	TCGA-E2-A1IJ-01	TCGA-E2-A1IN-01	TCGA-E2-A1L7-01	TCGA-E2-A1LA-01	TCGA-E2-A1LB-01	TCGA-E2-A1LH-01	TCGA-E2-A1LI-01	TCGA-E2-A56Z-01	TCGA-E9-A1N5-01	TCGA-E9-A1R2-01	TCGA-E9-A1RH-01	TCGA-E9-A22E-01	TCGA-E9-A243-01	TCGA-E9-A2JS-01	TCGA-E9-A3HO-01	TCGA-E9-A5FL-01	TCGA-EW-A1IX-01	TCGA-EW-A1OV-01	TCGA-EW-A1PD-01	TCGA-EW-A6SA-01	TCGA-EW-A6SB-01	TCGA-GI-A2C8-01	TCGA-GM-A2DB-01	TCGA-GM-A2DH-01	TCGA-GM-A2DM-01	TCGA-GM-A4E0-01	TCGA-HN-A2NL-01	TCGA-LD-A66U-01	TCGA-LL-A5YL-01	TCGA-LL-A5YP-01	TCGA-LL-A8F5-01	TCGA-LL-A9Q3-01	TCGA-OL-A5RZ-01	TCGA-OL-A66I-01	TCGA-OL-A66N-01	TCGA-PE-A5DC-01	TCGA-PE-A5DE-01	TCGA-PL-A8LX-01	TCGA-S3-AA11-01	TCGA-S3-AA17-01	TCGA-UU-A93S-01	TCGA-XX-A899-01	TCGA-Z7-A8R6-01
AT>CC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT>CG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT>GA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT>GC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT>TA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CC>AA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
CC>AG	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CC>AT	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CC>GA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CC>GG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CC>GT	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CC>TA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CC>TG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CC>TT	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
CG>AT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
