MutationType	DBS1	DBS2	DBS18	DBS78A	DBS78B	DBS78C	DBS78D	DBS78F	DBS78H
CC>TG	0.00255065	0.00023705	0.01806850	0.01710730	0.02673317	0.00005465	0.00326229	0.01355213	0.01351096
CC>TT	0.85821813	0.00000000	0.03204135	0.00002773	0.00002119	0.00752907	0.00002696	0.03346813	0.01963650
CG>AT	0.00000060	0.00115024	0.00082662	0.00292106	0.00899331	0.00143002	0.00374785	0.00454231	0.00636922
CG>GC	0.00000542	0.00036908	0.00003220	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
CG>GT	0.00000170	0.00128027	0.00161280	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
CG>TA	0.00035609	0.00000000	0.00025472	0.00646572	0.00354274	0.00266916	0.00941064	0.00112365	0.00734364
CG>TC	0.00001260	0.00215045	0.00120722	0.02008245	0.02110864	0.00669285	0.03133015	0.01053589	0.00502757
CG>TT	0.00012403	0.00556118	0.00254547	0.01484671	0.00479827	0.00835470	0.00421927	0.01311301	0.01072211
CT>AA	0.00002770	0.00321068	0.02653683	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
CT>AC	0.00041911	0.00000000	0.02614757	0.00709031	0.00507135	0.00303020	0.00949087	0.00185375	0.00822328
CT>AG	0.00000000	0.00058712	0.00726700	0.00947527	0.03753071	0.00408867	0.02055939	0.00261368	0.00873469
CT>GA	0.00008920	0.00001810	0.00364736	0.01296251	0.01297625	0.00457484	0.01541691	0.00673369	0.01794399
CT>GC	0.00025206	0.00013403	0.00122454	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
CT>GG	0.00001080	0.00008980	0.00198528	0.02634304	0.02519641	0.00457687	0.01980854	0.00878533	0.02642720
CT>TA	0.00781198	0.00338071	0.00952199	0.04174481	0.02000259	0.00005231	0.03305952	0.01133442	0.03361010
CT>TC	0.01050267	0.00003840	0.00632082	0.00424749	0.00418131	0.00170778	0.01068435	0.00638340	0.00553269
CT>TG	0.00224057	0.00039008	0.00259603	0.02731959	0.04050300	0.01308127	0.01723746	0.01400640	0.02707249
GC>AA	0.00158040	0.00508108	0.03483500	0.00002154	0.00002783	0.63457170	0.00001541	0.00000828	0.00002502
GC>AG	0.00010703	0.00032507	0.04229653	0.01442955	0.01411896	0.00910347	0.01687514	0.01845100	0.01532900
GC>AT	0.00004870	0.00095320	0.05069040	0.00002623	0.18971155	0.01154410	0.01058614	0.01053797	0.03281809
GC>CA	0.00005760	0.00106022	0.02342080	0.00637752	0.00900591	0.00902427	0.04372424	0.01589516	0.00514076
GC>CG	0.00000515	0.00006690	0.00193531	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
GC>TA	0.00000083	0.00073616	0.01902483	0.00137488	0.00855622	0.00472386	0.02314843	0.01179688	0.00799218
TA>AT	0.00050513	0.00275058	0.01045004	0.01407509	0.02776336	0.00476985	0.00713477	0.01781852	0.00802138
TA>CG	0.00000755	0.00001890	0.00192574	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
TA>CT	0.00070218	0.00028006	0.01114200	0.04455587	0.01669050	0.01495961	0.00437502	0.00372340	0.01448134
TA>GC	0.00002010	0.00008220	0.00026241	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
TA>GG	0.00007030	0.00007890	0.00374396	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
TA>GT	0.00115029	0.00130028	0.00703109	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
TC>AA	0.00001090	0.00145031	0.00367499	0.00002963	0.00002214	0.03436130	0.00001403	0.02096761	0.38183427
TC>AG	0.00000309	0.00020004	0.01185058	0.00002365	0.00525708	0.00815183	0.25627003	0.01868956	0.00748955
TC>AT	0.00246063	0.00000000	0.07356488	0.00002495	0.00002212	0.01088785	0.00006365	0.47945070	0.00001316
TC>CA	0.00000442	0.00068214	0.01880728	0.00577106	0.00438789	0.00701973	0.01733899	0.00757965	0.02164390
TC>CG	0.00003300	0.00000389	0.00219228	0.00515417	0.00348567	0.00480290	0.03098494	0.02374129	0.01710110
TC>CT	0.00190048	0.00335071	0.02551303	0.06071865	0.01401223	0.00685516	0.02556534	0.00505841	0.03021479
TC>GA	0.00006420	0.00088519	0.00190081	0.16731562	0.01950200	0.00555392	0.01063831	0.01556756	0.00508130
TC>GG	0.00041110	0.00000987	0.00183872	0.01880712	0.00854133	0.00534999	0.01656890	0.00411954	0.01076944
TC>GT	0.00510130	0.00008570	0.00812228	0.01589594	0.01180399	0.00246884	0.04335340	0.03516993	0.00004277
TG>AA	0.00137035	0.00296063	0.01004784	0.03911631	0.01621205	0.01985499	0.00447221	0.00679889	0.01879204
TG>AC	0.00023706	0.00022005	0.00451536	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
TG>AT	0.00241061	0.00429091	0.02696959	0.01985913	0.04971951	0.00003281	0.01276705	0.02204906	0.01607475
TG>CA	0.00027907	0.00014403	0.01573682	0.00809762	0.00617047	0.00006451	0.01332546	0.00758771	0.00297159
TG>CC	0.00010303	0.00005940	0.00378254	0.00302446	0.00839279	0.00006781	0.00284748	0.00190059	0.00272919
TG>CT	0.00185047	0.00307065	0.01057465	0.02751006	0.05678897	0.00004228	0.02915033	0.01914963	0.01146690
TG>GA	0.00040710	0.00147031	0.00077124	0.00338736	0.00658283	0.00261477	0.00156302	0.00649715	0.00644595
TG>GC	0.00008890	0.00027206	0.00083096	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
TG>GT	0.00190048	0.00640136	0.00310198	0.00577097	0.00156155	0.01297949	0.02336823	0.00241636	0.02480861
TT>AA	0.00549140	0.00431091	0.02723286	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
TT>AC	0.00072018	0.00034507	0.01746798	0.01350333	0.01156447	0.00124131	0.01331455	0.01749197	0.01585635
TT>AG	0.00041811	0.00021505	0.00804527	0.01067212	0.00383111	0.00345760	0.00516854	0.00239011	0.00405985
TT>CA	0.00072518	0.00000000	0.01696879	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
TT>CC	0.00542138	0.00000298	0.00000021	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
TT>CG	0.00008380	0.00001520	0.00382531	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
TT>GA	0.00186047	0.00004790	0.00135720	0.00509306	0.00633628	0.00006514	0.00675817	0.00278566	0.01069339
TT>GC	0.00106027	0.00000154	0.00270108	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
TT>GG	0.00161041	0.00000000	0.00000040	0.00283278	0.00654970	0.00184049	0.00961702	0.00092632	0.00316245
