MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F
CT>AG	5.90E-03	6.35E-03	3.00E-03	5.44E-03	5.03E-03	3.82E-03
CT>GA	2.31E-03	2.75E-03	6.04E-03	3.57E-03	3.12E-03	1.94E-03
CT>GC	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
CT>GG	7.13E-03	9.90E-03	5.68E-03	3.67E-03	6.85E-03	2.91E-03
CT>TA	1.09E-02	4.85E-03	3.45E-03	5.89E-03	6.09E-03	9.23E-03
CT>TC	1.68E-03	2.38E-03	2.76E-03	7.78E-04	1.85E-03	1.67E-03
CT>TG	9.73E-03	1.03E-02	1.18E-02	4.23E-03	2.84E-06	7.14E-03
GC>AA	2.11E-06	2.51E-06	2.26E-06	1.67E-02	2.00E-06	2.56E-06
GC>AG	2.71E-03	7.92E-03	1.52E-02	3.29E-03	7.28E-03	6.92E-03
GC>AT	1.24E-02	1.45E-02	8.04E-03	7.65E-03	1.38E-02	1.55E-02
GC>CA	7.88E-03	5.56E-03	8.33E-03	3.28E-03	4.51E-03	1.46E-03
GC>CG	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
GC>TA	2.25E-03	6.53E-03	3.13E-03	3.47E-03	3.70E-03	4.81E-03
TA>AT	6.48E-03	7.57E-03	8.74E-03	9.02E-04	6.64E-03	2.26E-03
TA>CG	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
TA>CT	9.55E-03	7.74E-03	9.43E-03	4.40E-03	1.25E-03	4.45E-03
TA>GC	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
TA>GG	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
TA>GT	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
TC>AA	3.39E-06	1.11E-02	3.42E-02	1.04E-02	1.26E-02	1.98E-02
TC>AG	1.25E-02	1.50E-02	8.40E-03	7.27E-03	2.00E-02	1.60E-02
TC>AT	2.28E-06	6.12E-06	4.71E-06	1.28E-02	2.65E-02	1.11E-02
TC>CA	1.17E-02	2.49E-03	6.92E-03	6.64E-03	5.63E-03	6.74E-03
TC>CG	8.83E-03	1.02E-02	5.93E-03	2.57E-03	6.57E-03	4.56E-03
TC>CT	1.06E-02	9.75E-03	1.27E-02	6.38E-03	8.04E-03	8.55E-03
TC>GA	2.28E-02	1.26E-02	1.50E-02	9.07E-03	1.22E-02	8.51E-03
TC>GG	4.27E-03	5.80E-03	4.53E-03	3.01E-03	3.28E-03	1.78E-03
TC>GT	3.65E-03	9.57E-03	7.42E-03	2.94E-03	8.23E-03	6.91E-03
TG>AA	9.88E-03	9.83E-03	3.06E-03	6.05E-03	4.26E-03	8.44E-03
TG>AC	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
TG>AT	7.59E-03	7.90E-03	1.55E-02	5.93E-03	6.69E-03	4.82E-03
TG>CA	2.33E-03	2.59E-03	2.80E-03	7.22E-04	2.18E-03	1.18E-03
TG>CC	3.66E-03	3.26E-03	2.40E-03	1.44E-03	2.14E-03	2.10E-03
TG>CT	8.04E-03	7.87E-03	7.28E-03	4.10E-03	8.22E-03	9.49E-03
TG>GA	2.35E-03	3.25E-03	2.25E-03	9.25E-04	2.75E-03	3.34E-03
TG>GC	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
TG>GT	4.37E-03	1.04E-03	4.57E-03	4.93E-03	3.51E-03	5.15E-03
TT>AA	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
TT>AC	1.68E-03	4.15E-03	6.63E-03	1.63E-03	3.42E-03	3.76E-03
TT>AG	1.47E-03	1.60E-03	2.16E-03	1.38E-03	1.64E-03	1.60E-03
TT>CA	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
TT>CC	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
TT>CG	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
TT>GA	2.71E-03	1.30E-03	2.62E-03	1.53E-03	1.37E-03	1.74E-03
TT>GC	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
TT>GG	2.65E-03	1.99E-03	2.90E-03	1.57E-03	1.49E-03	1.41E-03
