MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F
TC>AA	0.00002380	0.01109003	0.21741746	0.01493773	0.02270255	0.05248856
TC>AG	0.02230338	0.03715562	0.01415183	0.01287288	0.07858904	0.04236375
TC>AT	0.00001335	0.00003090	0.00002267	0.01845961	0.37043512	0.01107573
TC>CA	0.03641366	0.00253285	0.01330797	0.01232376	0.01123614	0.01837317
TC>CG	0.02684248	0.02546619	0.01426742	0.00346624	0.01430300	0.00595888
TC>CT	0.02784150	0.02817146	0.03340300	0.01534557	0.01368725	0.01526788
TC>GA	0.08522907	0.02183258	0.03150037	0.01865495	0.03224127	0.01509118
TC>GG	0.01143444	0.01372068	0.01082563	0.00704868	0.00874600	0.00261254
TC>GT	0.00516995	0.02750170	0.01831963	0.00412281	0.03404140	0.01686799
TG>AA	0.02294374	0.02809353	0.00441851	0.01295627	0.00874104	0.02020937
TG>AC	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
TG>AT	0.01580762	0.01374297	0.06513253	0.01387016	0.01415529	0.00693282
TG>CA	0.00563815	0.00822648	0.00716935	0.00078539	0.00625781	0.00214310
TG>CC	0.00922754	0.00730643	0.00562224	0.00150747	0.00418585	0.00308747
TG>CT	0.01793403	0.01851995	0.01655774	0.00649040	0.02361152	0.02015943
TG>GA	0.00409058	0.01176951	0.00331128	0.00138804	0.00550559	0.00679917
TG>GC	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
TG>GT	0.00999607	0.00109381	0.01068359	0.01276755	0.00643311	0.01547272
TT>AA	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
TT>AC	0.00306245	0.00946161	0.01942192	0.00345113	0.00928335	0.00860189
TT>AG	0.00268973	0.00344283	0.00581611	0.00332634	0.00442541	0.00434502
TT>CA	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
TT>CC	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
TT>CG	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
TT>GA	0.00782716	0.00183145	0.00842993	0.00324422	0.00294799	0.00415032
TT>GC	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
TT>GG	0.00930652	0.00348021	0.00647251	0.00370056	0.00362562	0.00253648
